[2024-06-01T21:51:27] Estimation window: 2010-05-26 - 2016-05-10, Best order: (5, 0, 3)-(1, 1), AIC: -6.64436333612399, Final model converged
[2024-06-01T21:51:54] Estimation window: 2010-05-27 - 2016-05-11, Best order: (5, 0, 3)-(1, 1), AIC: -6.63726805744742, Final model converged
[2024-06-01T21:52:32] Estimation window: 2010-05-28 - 2016-05-12, Best order: (5, 0, 5)-(1, 1), AIC: -6.65258985528664, Final model converged
[2024-06-01T21:52:58] Estimation window: 2010-06-01 - 2016-05-13, Best order: (5, 0, 5)-(1, 1), AIC: -6.6535014287574, Final model converged
[2024-06-01T21:53:25] Estimation window: 2010-06-02 - 2016-05-16, Best order: (5, 0, 4)-(1, 1), AIC: -6.65883785389937, Final model converged
[2024-06-01T21:53:49] Estimation window: 2010-06-03 - 2016-05-17, Best order: (5, 0, 4)-(1, 1), AIC: -6.64474929201987, Final model converged
[2024-06-01T21:54:20] Estimation window: 2010-06-04 - 2016-05-18, Best order: (3, 0, 5)-(1, 1), AIC: -6.64644562560233, Final model converged
[2024-06-01T21:54:50] Estimation window: 2010-06-07 - 2016-05-19, Best order: (5, 0, 5)-(1, 1), AIC: -6.67908326797916, Final model FAILED to converge
[2024-06-01T21:55:16] Estimation window: 2010-06-08 - 2016-05-20, Best order: (4, 0, 5)-(1, 1), AIC: -6.65896206775711, Final model converged
[2024-06-01T21:55:42] Estimation window: 2010-06-09 - 2016-05-23, Best order: (4, 0, 5)-(1, 1), AIC: -6.65928163801767, Final model FAILED to converge
[2024-06-01T21:56:07] Estimation window: 2010-06-10 - 2016-05-24, Best order: (3, 0, 4)-(1, 1), AIC: -6.66258469884171, Final model converged
[2024-06-01T21:56:34] Estimation window: 2010-06-11 - 2016-05-25, Best order: (5, 0, 5)-(1, 1), AIC: -6.6681645764328, Final model FAILED to converge
[2024-06-01T21:57:01] Estimation window: 2010-06-14 - 2016-05-26, Best order: (5, 0, 5)-(1, 1), AIC: -6.67863539080399, Final model converged
[2024-06-01T21:57:42] Estimation window: 2010-06-15 - 2016-05-27, Best order: (1, 0, 1)-(1, 1), AIC: -6.65829157809776, Final model converged
[2024-06-01T21:58:08] Estimation window: 2010-06-16 - 2016-05-31, Best order: (4, 0, 4)-(1, 1), AIC: -6.66623047224417, Final model converged
