[2024-06-01T20:43:49] Estimation window: 2006-03-15 - 2012-02-27, Best order: (3, 0, 4)-(1, 1), AIC: -6.06436753408859, Final model converged
[2024-06-01T20:44:15] Estimation window: 2006-03-16 - 2012-02-28, Best order: (3, 0, 3)-(1, 1), AIC: -6.06144575056874, Final model converged
[2024-06-01T20:44:39] Estimation window: 2006-03-17 - 2012-02-29, Best order: (4, 0, 4)-(1, 1), AIC: -6.05887293559828, Final model converged
[2024-06-01T20:45:04] Estimation window: 2006-03-20 - 2012-03-01, Best order: (4, 0, 3)-(1, 1), AIC: -6.06522238567976, Final model converged
[2024-06-01T20:45:27] Estimation window: 2006-03-21 - 2012-03-02, Best order: (3, 0, 3)-(1, 1), AIC: -6.06685353730427, Final model converged
[2024-06-01T20:45:51] Estimation window: 2006-03-22 - 2012-03-05, Best order: (3, 0, 3)-(1, 1), AIC: -6.06719172298951, Final model converged
[2024-06-01T20:46:15] Estimation window: 2006-03-23 - 2012-03-06, Best order: (4, 0, 4)-(1, 1), AIC: -6.05994169656786, Final model converged
[2024-06-01T20:46:40] Estimation window: 2006-03-24 - 2012-03-07, Best order: (3, 0, 3)-(1, 1), AIC: -6.06240014385058, Final model converged
[2024-06-01T20:47:04] Estimation window: 2006-03-27 - 2012-03-08, Best order: (2, 0, 3)-(1, 1), AIC: -6.06300023949336, Final model converged
[2024-06-01T20:47:28] Estimation window: 2006-03-28 - 2012-03-09, Best order: (5, 0, 5)-(1, 1), AIC: -6.06251539290364, Final model FAILED to converge
[2024-06-01T20:47:53] Estimation window: 2006-03-29 - 2012-03-12, Best order: (3, 0, 3)-(1, 1), AIC: -6.06227987010437, Final model converged
[2024-06-01T20:48:17] Estimation window: 2006-03-30 - 2012-03-13, Best order: (5, 0, 5)-(1, 1), AIC: -6.06078364723131, Final model converged
[2024-06-01T20:48:49] Estimation window: 2006-03-31 - 2012-03-14, Best order: (5, 0, 5)-(1, 1), AIC: -6.05359946372547, Final model converged
[2024-06-01T20:49:13] Estimation window: 2006-04-03 - 2012-03-15, Best order: (5, 0, 5)-(1, 1), AIC: -6.06359114258835, Final model converged
[2024-06-01T20:49:38] Estimation window: 2006-04-04 - 2012-03-16, Best order: (5, 0, 4)-(1, 1), AIC: -6.0599080124048, Final model converged
[2024-06-01T20:50:05] Estimation window: 2006-04-05 - 2012-03-19, Best order: (5, 0, 5)-(1, 1), AIC: -6.05346508530128, Final model converged
[2024-06-01T20:50:29] Estimation window: 2006-04-06 - 2012-03-20, Best order: (4, 0, 4)-(1, 1), AIC: -6.0574433851459, Final model converged
[2024-06-01T20:50:53] Estimation window: 2006-04-07 - 2012-03-21, Best order: (3, 0, 3)-(1, 1), AIC: -6.0599840377393, Final model converged
[2024-06-01T20:51:18] Estimation window: 2006-04-10 - 2012-03-22, Best order: (4, 0, 3)-(1, 1), AIC: -6.05781367703177, Final model converged
[2024-06-01T20:51:42] Estimation window: 2006-04-11 - 2012-03-23, Best order: (3, 0, 3)-(1, 1), AIC: -6.06224243711497, Final model converged
[2024-06-01T20:52:06] Estimation window: 2006-04-12 - 2012-03-26, Best order: (3, 0, 3)-(1, 1), AIC: -6.05868735483549, Final model converged
[2024-06-01T20:52:31] Estimation window: 2006-04-13 - 2012-03-27, Best order: (3, 0, 3)-(1, 1), AIC: -6.05886481206666, Final model converged
