,arima_base_case,arima-garch_base_case,arima-sgarch_snorm_1000,arima-sgarch_sstd_1000,arima-sgarch_sged_1000,arima_base_case_forecast,arima-garch_base_case_forecast,buy_n_hold,buy_n_hold_forecast,arima-sgarch_snorm_1000_forecast,arima-sgarch_sstd_1000_forecast,arima-sgarch_sged_1000_forecast
2005-12-20,1.0,1.0,1.0,1.0,1.0,0.00043100502924224343,1.205520461181617e-05,0.9997618508971526,-0.00023814910284736257,0.00044591643846500343,0.00044591643846500343,0.00031378506141136473
2005-12-21,1.0025166668976364,1.0025166668976364,1.0025166668976364,1.0025166668976364,1.0025166668976364,0.0014495183748935454,0.001707366724948485,1.0022779184528252,0.0025166668976364104,0.0017056421149400057,0.0017056421149400057,0.0017056421149400057
2005-12-22,0.9982852668918024,1.0067480669034705,,0.9982852668918024,1.0067480669034705,-0.0027486775347999996,0.00021038593011615966,1.006508310754544,0.004220777714278201,,-0.001786139276573402,1.2333405395264889e-05
2005-12-23,0.9987103946728606,1.0063193351712074,1.0020897371409756,0.9987103946728606,1.0063193351712074,0.001865704867838417,-0.0004599069957919368,1.00693694038473,0.00042585801389405376,-0.00045409234946281195,0.00022842883395798787,-0.0008038350338616454
2005-12-27,1.0082514575114532,0.9967055812103265,0.9925163901497264,1.0082514575114532,1.0159330891320884,-0.001699408040135447,8.811703888285697e-05,0.9973172862047432,-0.009553382932114052,0.0007517763706473548,-0.0003156571486028913,-0.0003156571486028913
2005-12-28,1.006943536754648,0.9954126379585447,0.9938038991123717,1.0095593782682584,1.0172509746306928,-0.0001710628093358033,-0.001695332053504073,0.998611022970537,0.0012972168272717965,0.0009977382893366568,0.00040255357774927805,0.0003057277994274549
2005-12-29,1.0039423221883013,0.9924457914577018,0.9908418474885823,1.0065503671359997,1.014219038547631,0.0015603237761871776,0.0014571047794788182,0.9956346436216879,-0.0029805192215838217,0.003345159648261086,0.0005978757253033342,0.0011883257310925837
2005-12-30,1.0088483115072544,0.9972956004008279,0.9956838183997748,1.001631633020484,1.0191752473459095,-0.0027279211223466336,-0.0021535102931092057,0.990769251637275,-0.004886724277406218,-0.0012521927427974475,0.001095734742691534,-0.0012250181740715666
2006-01-03,1.0254241777511186,1.0136816500073742,1.0120433856476168,1.0180889257424846,1.03592079014592,0.002428494103535116,0.000612818190504356,1.0070480701735687,0.016430484201434892,0.002078309970733566,0.0020664938507526627,0.002078309970733566
2006-01-04,1.0216581103179074,1.009958709264833,1.0083264617458974,1.014349798432496,1.0321161718856884,-0.0014974912853119669,-0.000979952928640863,1.0107466478188476,0.0036726922525569528,-0.000611137844913009,-0.0006642157080486053,-0.0006091224548418744
2006-01-05,1.0216741713776138,1.0099428321265156,1.0083106102674604,1.014365744601289,1.0320999464191716,0.000957218180883632,-0.0011206749124200253,1.0107625373440172,1.572058161558587e-05,-0.0011054508722026807,0.000849401654799146,-0.0013409030428957218
2006-01-06,1.0312773140159677,1.0194357070030688,,1.023900192281151,1.0418010852755413,0.0024092840355218782,0.000538732647193816,1.0202631169725802,0.009399418040885843,,0.0005386946907302501,0.0015649118731504092
2006-01-09,1.0350480395152084,1.0157082787323317,1.0046238594026666,1.0201564402260639,1.0379918810353281,0.0010646983400116599,-0.00032277030365927004,1.0239935705555472,0.0036563642465448076,-0.001534742406810229,-0.0015987662061105823,-0.001534742406810229
2006-01-10,1.0346789289418339,1.015346064950139,1.004982120347679,1.0205202402761175,1.0376217206526792,0.0018823736740149941,0.0006562397244686464,1.0236284021386912,-0.0003566120211651036,-0.000197917364660125,-0.001060213682828423,0.0006562549586447918
2006-01-11,1.0310766487029286,1.0188810369720014,1.0084810098401749,1.0240732264171508,1.041234246350471,-0.00018264636238932714,0.001211843646391094,1.027192209482074,0.003481544021186611,0.0004680423687626503,0.0016114383628750258,0.0016114383628750258
2006-01-12,1.0375458701446492,1.0252737402295464,1.0148084608406736,1.0304985067128145,1.0477671989886845,-0.0016414750062750825,-0.0013860987322282794,1.0207473599408599,-0.006274239116809244,-0.0009086023982096022,-4.250607777094452e-05,-0.0011557090942838693
2006-01-13,1.0387962939455044,1.0265093739726563,1.0160314820961749,1.0317404372111354,1.0490299412741781,0.002328321190013417,0.0007684802914398009,1.021977538605975,0.0012051744764605132,0.0006107726590533656,0.0014458012424408864,0.0006107726590533656
2006-01-17,1.0425718903601846,1.022778435448332,1.0197243378017284,1.0279904859277906,1.0452171497689993,-0.0025127069816700954,0.0004781941122551591,1.0182630714355265,-0.0036345878751066207,-0.0008292642481037104,0.0006103940225224177,0.0004918386255779914
2006-01-18,1.0385086451063046,1.0187923317925252,1.0157501369680504,1.031996902657036,1.049290704468048,0.0010104734683950918,0.0008161754349779097,1.014294565637061,-0.0038973286076955382,0.0012371979810639143,-0.0002363951450463208,-0.00016793071269328302
2006-01-19,1.0442865679532831,1.0244605595130445,1.0100988350257265,1.0262552090178243,1.0434527937650055,0.0003308276712877227,0.0005112047046078351,1.0199377692559974,0.005563673325403196,-0.0014457588687016912,-0.00013660085385146063,-0.00013660085385146063
2006-01-20,1.0634244927791872,1.0432351466586882,1.0286102246812912,1.0074477325596438,1.0625754385823116,-0.0011569302281154157,-0.0004011109024038487,1.001246068190285,-0.01832631522151318,-0.00040099657515745284,8.444747043497448e-05,-0.00040099657515745284
2006-01-23,1.0653886243655135,1.045161988778116,1.0305100547548254,1.0093084757779254,1.0645380019762767,0.002152433243332206,0.002283410667701874,1.0030953570129246,0.0018469873504542988,0.0027888949355579064,0.0030313427077777472,0.0030313427077777472
