[2024-06-02T04:08:59] Estimation window: 2015-05-08 - 2019-04-29, Best order: (5, 0, 2)-(1, 1), AIC: -6.99717404579888, Final model converged
[2024-06-02T04:10:17] Estimation window: 2015-05-11 - 2019-04-30, Best order: (3, 0, 3)-(1, 1), AIC: -7.00784439657294, Final model FAILED to converge
[2024-06-02T04:11:35] Estimation window: 2015-05-12 - 2019-05-01, Best order: (5, 0, 5)-(1, 1), AIC: -6.99586346046019, Final model converged
[2024-06-02T04:12:47] Estimation window: 2015-05-13 - 2019-05-02, Best order: (5, 0, 3)-(1, 1), AIC: -6.99693433948459, Final model converged
[2024-06-02T04:14:08] Estimation window: 2015-05-14 - 2019-05-03, Best order: (4, 0, 3)-(1, 1), AIC: -7.01000233179405, Final model converged
[2024-06-02T04:15:21] Estimation window: 2015-05-15 - 2019-05-06, Best order: (3, 0, 4)-(1, 1), AIC: -6.9973961292664, Final model converged
[2024-06-02T04:17:28] Estimation window: 2015-05-18 - 2019-05-07, Best order: (5, 0, 4)-(1, 1), AIC: -6.99651980164, Final model converged
[2024-06-02T04:18:30] Estimation window: 2015-05-19 - 2019-05-08, Best order: (2, 0, 4)-(1, 1), AIC: -6.99449346376406, Final model converged
[2024-06-02T04:19:33] Estimation window: 2015-05-20 - 2019-05-09, Best order: (5, 0, 5)-(1, 1), AIC: -6.99795433935671, Final model converged
[2024-06-02T04:22:03] Estimation window: 2015-05-21 - 2019-05-10, Best order: (3, 0, 3)-(1, 1), AIC: -6.98602690002267, Final model FAILED to converge
[2024-06-02T04:23:16] Estimation window: 2015-05-22 - 2019-05-13, Best order: (4, 0, 4)-(1, 1), AIC: -6.9756079693877, Final model converged
[2024-06-02T04:24:32] Estimation window: 2015-05-26 - 2019-05-14, Best order: (3, 0, 5)-(1, 1), AIC: -6.99396209882032, Final model FAILED to converge
[2024-06-02T04:25:52] Estimation window: 2015-05-27 - 2019-05-15, Best order: (4, 0, 3)-(1, 1), AIC: -6.98698079594626, Final model converged
[2024-06-02T04:27:02] Estimation window: 2015-05-28 - 2019-05-16, Best order: (4, 0, 5)-(1, 1), AIC: -6.9853320573865, Final model converged
[2024-06-02T04:28:13] Estimation window: 2015-05-29 - 2019-05-17, Best order: (3, 0, 4)-(1, 1), AIC: -6.98153527004949, Final model converged
