[2024-06-02T00:38:05] Estimation window: 2014-10-16 - 2018-10-04, Best order: (5, 0, 4)-(1, 1), AIC: -7.12465481644186, Final model converged
[2024-06-02T00:39:27] Estimation window: 2014-10-17 - 2018-10-05, Best order: (2, 0, 1)-(1, 1), AIC: -7.1130527695854, Final model converged
[2024-06-02T00:42:21] Estimation window: 2014-10-20 - 2018-10-08, Best order: (5, 0, 5)-(1, 1), AIC: -7.12941729040279, Final model converged
[2024-06-02T00:43:45] Estimation window: 2014-10-21 - 2018-10-09, Best order: (4, 0, 4)-(1, 1), AIC: -7.12092043876437, Final model converged
[2024-06-02T00:45:23] Estimation window: 2014-10-22 - 2018-10-10, Best order: (5, 0, 5)-(1, 1), AIC: -7.08245012473078, Final model converged
[2024-06-02T00:46:51] Estimation window: 2014-10-23 - 2018-10-11, Best order: (4, 0, 3)-(1, 1), AIC: -7.08788252888054, Final model converged
[2024-06-02T00:48:41] Estimation window: 2014-10-24 - 2018-10-12, Best order: (4, 0, 3)-(1, 1), AIC: -7.09586842633336, Final model converged
[2024-06-02T00:50:17] Estimation window: 2014-10-27 - 2018-10-15, Best order: (4, 0, 4)-(1, 1), AIC: -7.07243681693345, Final model converged
[2024-06-02T00:52:22] Estimation window: 2014-10-28 - 2018-10-16, Best order: (3, 0, 4)-(1, 1), AIC: -7.09045339286726, Final model converged
[2024-06-02T00:53:40] Estimation window: 2014-10-29 - 2018-10-17, Best order: (4, 0, 3)-(1, 1), AIC: -7.07528999393773, Final model converged
[2024-06-02T00:55:04] Estimation window: 2014-10-30 - 2018-10-18, Best order: (4, 0, 3)-(1, 1), AIC: -7.07200756644623, Final model converged
[2024-06-02T00:56:48] Estimation window: 2014-10-31 - 2018-10-19, Best order: (5, 0, 5)-(1, 1), AIC: -7.06711199063182, Final model converged
[2024-06-02T00:58:36] Estimation window: 2014-11-03 - 2018-10-22, Best order: (2, 0, 2)-(1, 1), AIC: -7.07292705055413, Final model converged
[2024-06-02T01:00:15] Estimation window: 2014-11-04 - 2018-10-23, Best order: (5, 0, 3)-(1, 1), AIC: -7.06393913843388, Final model converged
[2024-06-02T01:02:24] Estimation window: 2014-11-05 - 2018-10-24, Best order: (3, 0, 5)-(1, 1), AIC: -7.05074680250035, Final model converged
[2024-06-02T01:03:48] Estimation window: 2014-11-06 - 2018-10-25, Best order: (4, 0, 4)-(1, 1), AIC: -7.05344612605652, Final model converged
[2024-06-02T01:05:15] Estimation window: 2014-11-07 - 2018-10-26, Best order: (4, 0, 4)-(1, 1), AIC: -7.05302085126153, Final model converged
[2024-06-02T01:07:00] Estimation window: 2014-11-10 - 2018-10-29, Best order: (2, 0, 1)-(1, 1), AIC: -7.04980997243837, Final model converged
[2024-06-02T01:10:00] Estimation window: 2014-11-11 - 2018-10-30, Best order: (3, 0, 5)-(1, 1), AIC: 342.200667101935, Final model FAILED to converge
