[2024-06-01T19:25:12] Estimation window: 2003-07-10 - 2007-06-28, Best order: (4, 0, 4)-(1, 1), AIC: -7.12941397733118, Final model converged
[2024-06-01T19:27:52] Estimation window: 2003-07-11 - 2007-06-29, Best order: (5, 0, 3)-(1, 1), AIC: -7.16567308061728, Final model converged
[2024-06-01T19:29:41] Estimation window: 2003-07-14 - 2007-07-02, Best order: (4, 0, 3)-(1, 1), AIC: -7.14039209966627, Final model converged
[2024-06-01T19:30:48] Estimation window: 2003-07-15 - 2007-07-03, Best order: (3, 0, 3)-(1, 1), AIC: -7.14077225988846, Final model converged
[2024-06-01T19:31:53] Estimation window: 2003-07-16 - 2007-07-05, Best order: (5, 0, 5)-(1, 1), AIC: -7.15511315798018, Final model converged
[2024-06-01T19:32:57] Estimation window: 2003-07-17 - 2007-07-06, Best order: (5, 0, 5)-(1, 1), AIC: -7.14370870216782, Final model converged
[2024-06-01T19:34:48] Estimation window: 2003-07-18 - 2007-07-09, Best order: (5, 0, 3)-(1, 1), AIC: -7.17051326999835, Final model converged
[2024-06-01T19:36:46] Estimation window: 2003-07-21 - 2007-07-10, Best order: (5, 0, 5)-(1, 1), AIC: -7.15970286659706, Final model converged
[2024-06-01T19:37:56] Estimation window: 2003-07-22 - 2007-07-11, Best order: (3, 0, 3)-(1, 1), AIC: -7.14235413478191, Final model converged
[2024-06-01T19:39:37] Estimation window: 2003-07-23 - 2007-07-12, Best order: (5, 0, 5)-(1, 1), AIC: -7.14840563534074, Final model converged
[2024-06-01T19:40:56] Estimation window: 2003-07-24 - 2007-07-13, Best order: (5, 0, 5)-(1, 1), AIC: -7.13638774589927, Final model converged
[2024-06-01T19:43:01] Estimation window: 2003-07-25 - 2007-07-16, Best order: (3, 0, 3)-(1, 1), AIC: -7.13678610622187, Final model converged
[2024-06-01T19:44:38] Estimation window: 2003-07-28 - 2007-07-17, Best order: (1, 0, 1)-(1, 1), AIC: -7.14841737283415, Final model converged
[2024-06-01T19:45:47] Estimation window: 2003-07-29 - 2007-07-18, Best order: (5, 0, 5)-(1, 1), AIC: -7.17242656165334, Final model FAILED to converge
[2024-06-01T19:46:51] Estimation window: 2003-07-30 - 2007-07-19, Best order: (5, 0, 5)-(1, 1), AIC: -7.14208385705267, Final model FAILED to converge
[2024-06-01T19:48:53] Estimation window: 2003-07-31 - 2007-07-20, Best order: (4, 0, 4)-(1, 1), AIC: -7.14708226750159, Final model converged
[2024-06-01T19:49:54] Estimation window: 2003-08-01 - 2007-07-23, Best order: (3, 0, 4)-(1, 1), AIC: -7.13817172737074, Final model converged
[2024-06-01T19:50:56] Estimation window: 2003-08-04 - 2007-07-24, Best order: (5, 0, 5)-(1, 1), AIC: -7.15583633550166, Final model converged
[2024-06-01T19:52:42] Estimation window: 2003-08-05 - 2007-07-25, Best order: (5, 0, 5)-(1, 1), AIC: -7.1317494762558, Final model converged
[2024-06-01T19:54:28] Estimation window: 2003-08-06 - 2007-07-26, Best order: (1, 0, 1)-(1, 1), AIC: -7.13316303315115, Final model converged
[2024-06-01T19:56:05] Estimation window: 2003-08-07 - 2007-07-27, Best order: (5, 0, 4)-(1, 1), AIC: -7.17760665781994, Final model converged
