[2024-06-01T23:16:06] Estimation window: 2004-10-19 - 2008-10-07, Best order: (3, 0, 5)-(1, 1), AIC: -6.69645598708457, Final model FAILED to converge
[2024-06-01T23:16:38] Estimation window: 2004-10-20 - 2008-10-08, Best order: (3, 0, 3)-(1, 1), AIC: -6.69030767048799, Final model converged
[2024-06-01T23:17:20] Estimation window: 2004-10-21 - 2008-10-09, Best order: (3, 0, 3)-(1, 1), AIC: -6.70856995252329, Final model FAILED to converge
[2024-06-01T23:17:52] Estimation window: 2004-10-22 - 2008-10-10, Best order: (3, 0, 4)-(1, 1), AIC: -6.69701618946993, Final model converged
[2024-06-01T23:18:44] Estimation window: 2004-10-25 - 2008-10-13, Best order: (5, 0, 5)-(1, 1), AIC: -6.6936770706971, Final model converged
[2024-06-01T23:19:21] Estimation window: 2004-10-26 - 2008-10-14, Best order: (5, 0, 5)-(1, 1), AIC: -6.68634509192464, Final model converged
[2024-06-01T23:19:54] Estimation window: 2004-10-27 - 2008-10-15, Best order: (5, 0, 3)-(1, 1), AIC: -6.68394908868371, Final model converged
[2024-06-01T23:20:26] Estimation window: 2004-10-28 - 2008-10-16, Best order: (3, 0, 4)-(1, 1), AIC: -6.656687315478, Final model converged
[2024-06-01T23:20:57] Estimation window: 2004-10-29 - 2008-10-17, Best order: (1, 0, 1)-(1, 1), AIC: -6.66235379535514, Final model converged
[2024-06-01T23:21:30] Estimation window: 2004-11-01 - 2008-10-20, Best order: (5, 0, 3)-(1, 1), AIC: -6.67813532503871, Final model converged
[2024-06-01T23:22:29] Estimation window: 2004-11-02 - 2008-10-21, Best order: (4, 0, 5)-(1, 1), AIC: -6.64802163839935, Final model converged
[2024-06-01T23:23:05] Estimation window: 2004-11-03 - 2008-10-22, Best order: (5, 0, 5)-(1, 1), AIC: -6.65056092617493, Final model converged
[2024-06-01T23:23:45] Estimation window: 2004-11-04 - 2008-10-23, Best order: (3, 0, 5)-(1, 1), AIC: -6.65351355309503, Final model converged
[2024-06-01T23:24:19] Estimation window: 2004-11-05 - 2008-10-24, Best order: (3, 0, 4)-(1, 1), AIC: -6.6533059628583, Final model converged
[2024-06-01T23:24:53] Estimation window: 2004-11-08 - 2008-10-27, Best order: (1, 0, 1)-(1, 1), AIC: -6.64232913700025, Final model converged
[2024-06-01T23:25:33] Estimation window: 2004-11-09 - 2008-10-28, Best order: (4, 0, 3)-(1, 1), AIC: -6.63652256399342, Final model FAILED to converge
[2024-06-01T23:26:07] Estimation window: 2004-11-10 - 2008-10-29, Best order: (4, 0, 4)-(1, 1), AIC: -6.64092379308073, Final model converged
[2024-06-01T23:26:38] Estimation window: 2004-11-11 - 2008-10-30, Best order: (5, 0, 5)-(1, 1), AIC: -6.63233814135279, Final model converged
