[2024-06-01T23:16:48] Estimation window: 2005-06-30 - 2009-06-19, Best order: (5, 0, 5)-(1, 1), AIC: 515.479499900242, Final model FAILED to converge
[2024-06-01T23:17:22] Estimation window: 2005-07-01 - 2009-06-22, Best order: (5, 0, 5)-(1, 1), AIC: -6.21520147882036, Final model converged
[2024-06-01T23:17:56] Estimation window: 2005-07-05 - 2009-06-23, Best order: (5, 0, 5)-(1, 1), AIC: -6.18122576386202, Final model converged
[2024-06-01T23:19:08] Estimation window: 2005-07-06 - 2009-06-24, Best order: (4, 0, 4)-(1, 1), AIC: 32.0850140066994, Final model FAILED to converge
[2024-06-01T23:19:39] Estimation window: 2005-07-07 - 2009-06-25, Best order: (4, 0, 5)-(1, 1), AIC: -6.20843110486457, Final model converged
[2024-06-01T23:20:19] Estimation window: 2005-07-08 - 2009-06-26, Best order: (4, 0, 4)-(1, 1), AIC: -6.18122076488444, Final model FAILED to converge
[2024-06-01T23:21:33] Estimation window: 2005-07-11 - 2009-06-29, Best order: (5, 0, 5)-(1, 1), AIC: 542.618323170571, Final model FAILED to converge
[2024-06-01T23:22:06] Estimation window: 2005-07-12 - 2009-06-30, Best order: (5, 0, 5)-(1, 1), AIC: -6.17902089390284, Final model converged
[2024-06-01T23:22:46] Estimation window: 2005-07-13 - 2009-07-01, Best order: (5, 0, 5)-(1, 1), AIC: -6.17554403109257, Final model FAILED to converge
[2024-06-01T23:23:37] Estimation window: 2005-07-14 - 2009-07-02, Best order: (5, 0, 5)-(1, 1), AIC: -6.2123281829015, Final model converged
[2024-06-01T23:24:09] Estimation window: 2005-07-15 - 2009-07-06, Best order: (3, 0, 3)-(1, 1), AIC: -6.18783092443724, Final model converged
[2024-06-01T23:24:40] Estimation window: 2005-07-18 - 2009-07-07, Best order: (4, 0, 5)-(1, 1), AIC: -6.19757180699241, Final model converged
[2024-06-01T23:25:15] Estimation window: 2005-07-19 - 2009-07-08, Best order: (5, 0, 5)-(1, 1), AIC: -6.18196472391664, Final model converged
[2024-06-01T23:25:49] Estimation window: 2005-07-20 - 2009-07-09, Best order: (3, 0, 4)-(1, 1), AIC: -6.18680438919332, Final model converged
[2024-06-01T23:26:42] Estimation window: 2005-07-21 - 2009-07-10, Best order: (4, 0, 4)-(1, 1), AIC: -6.1764305900915, Final model FAILED to converge
[2024-06-01T23:27:16] Estimation window: 2005-07-22 - 2009-07-13, Best order: (3, 0, 4)-(1, 1), AIC: -6.17333368417596, Final model converged
[2024-06-01T23:27:47] Estimation window: 2005-07-25 - 2009-07-14, Best order: (5, 0, 5)-(1, 1), AIC: -6.16064468031367, Final model converged
[2024-06-01T23:29:03] Estimation window: 2005-07-26 - 2009-07-15, Best order: (5, 0, 3)-(1, 1), AIC: 189.704771734185, Final model FAILED to converge
[2024-06-01T23:29:36] Estimation window: 2005-07-27 - 2009-07-16, Best order: (4, 0, 4)-(1, 1), AIC: -6.17110407550752, Final model converged
[2024-06-01T23:30:07] Estimation window: 2005-07-28 - 2009-07-17, Best order: (5, 0, 5)-(1, 1), AIC: -6.17236582164464, Final model converged
[2024-06-01T23:31:21] Estimation window: 2005-07-29 - 2009-07-20, Best order: (5, 0, 5)-(1, 1), AIC: 481.355238727764, Final model FAILED to converge
[2024-06-01T23:31:53] Estimation window: 2005-08-01 - 2009-07-21, Best order: (5, 0, 5)-(1, 1), AIC: -6.16512674650193, Final model converged
[2024-06-01T23:32:30] Estimation window: 2005-08-02 - 2009-07-22, Best order: (5, 0, 4)-(1, 1), AIC: -6.17749848293779, Final model converged
[2024-06-01T23:32:59] Estimation window: 2005-08-03 - 2009-07-23, Best order: (5, 0, 5)-(1, 1), AIC: -6.16513314262741, Final model converged
[2024-06-01T23:33:39] Estimation window: 2005-08-04 - 2009-07-24, Best order: (3, 0, 4)-(1, 1), AIC: -6.14363010497091, Final model FAILED to converge
[2024-06-01T23:34:10] Estimation window: 2005-08-05 - 2009-07-27, Best order: (5, 0, 3)-(1, 1), AIC: -6.17337307923678, Final model converged
[2024-06-01T23:34:45] Estimation window: 2005-08-08 - 2009-07-28, Best order: (5, 0, 5)-(1, 1), AIC: -6.14482279320706, Final model FAILED to converge
[2024-06-01T23:35:16] Estimation window: 2005-08-09 - 2009-07-29, Best order: (5, 0, 2)-(1, 1), AIC: -6.15836150234874, Final model converged
[2024-06-01T23:35:47] Estimation window: 2005-08-10 - 2009-07-30, Best order: (4, 0, 4)-(1, 1), AIC: -6.16167190936734, Final model converged
[2024-06-01T23:36:22] Estimation window: 2005-08-11 - 2009-07-31, Best order: (3, 0, 4)-(1, 1), AIC: -6.14035485243363, Final model FAILED to converge
[2024-06-01T23:36:54] Estimation window: 2005-08-12 - 2009-08-03, Best order: (3, 0, 3)-(1, 1), AIC: -6.14174269865664, Final model converged
[2024-06-01T23:37:25] Estimation window: 2005-08-15 - 2009-08-04, Best order: (4, 0, 5)-(1, 1), AIC: -6.15914725296235, Final model converged
[2024-06-01T23:37:57] Estimation window: 2005-08-16 - 2009-08-05, Best order: (4, 0, 4)-(1, 1), AIC: -6.16146637787352, Final model FAILED to converge
[2024-06-01T23:38:29] Estimation window: 2005-08-17 - 2009-08-06, Best order: (3, 0, 3)-(1, 1), AIC: -6.14085585243374, Final model converged
[2024-06-01T23:39:03] Estimation window: 2005-08-18 - 2009-08-07, Best order: (3, 0, 3)-(1, 1), AIC: -6.13942513863173, Final model converged
[2024-06-01T23:39:39] Estimation window: 2005-08-19 - 2009-08-10, Best order: (3, 0, 3)-(1, 1), AIC: -6.13877034663362, Final model converged
[2024-06-01T23:40:12] Estimation window: 2005-08-22 - 2009-08-11, Best order: (3, 0, 3)-(1, 1), AIC: -6.13734900683006, Final model converged
[2024-06-01T23:40:47] Estimation window: 2005-08-23 - 2009-08-12, Best order: (5, 0, 5)-(1, 1), AIC: -6.14069445432183, Final model converged
[2024-06-01T23:41:22] Estimation window: 2005-08-24 - 2009-08-13, Best order: (3, 0, 3)-(1, 1), AIC: -6.1449582803021, Final model FAILED to converge
[2024-06-01T23:41:55] Estimation window: 2005-08-25 - 2009-08-14, Best order: (5, 0, 5)-(1, 1), AIC: -6.13381005053044, Final model FAILED to converge
