[2024-06-02T12:12:23] Estimation window: 2012-06-26 - 2016-06-16, Best order: (5, 0, 5)-(1, 1), AIC: -6.91997580320834, Final model converged
[2024-06-02T12:12:57] Estimation window: 2012-06-27 - 2016-06-17, Best order: (4, 0, 5)-(1, 1), AIC: -6.89237623864477, Final model converged
[2024-06-02T12:13:31] Estimation window: 2012-06-28 - 2016-06-20, Best order: (3, 0, 4)-(1, 1), AIC: -6.91260777393998, Final model FAILED to converge
[2024-06-02T12:14:38] Estimation window: 2012-06-29 - 2016-06-21, Best order: (3, 0, 3)-(1, 1), AIC: -6.90848161650806, Final model converged
[2024-06-02T12:15:32] Estimation window: 2012-07-02 - 2016-06-22, Best order: (3, 0, 3)-(1, 1), AIC: -6.91320423587682, Final model converged
[2024-06-02T12:16:06] Estimation window: 2012-07-03 - 2016-06-23, Best order: (4, 0, 4)-(1, 1), AIC: -6.9126195900552, Final model converged
[2024-06-02T12:16:39] Estimation window: 2012-07-05 - 2016-06-24, Best order: (4, 0, 4)-(1, 1), AIC: -6.89071984211145, Final model converged
[2024-06-02T12:17:32] Estimation window: 2012-07-06 - 2016-06-27, Best order: (5, 0, 3)-(1, 1), AIC: -6.90447609435143, Final model converged
[2024-06-02T12:18:07] Estimation window: 2012-07-09 - 2016-06-28, Best order: (5, 0, 5)-(1, 1), AIC: -6.89833091506509, Final model converged
[2024-06-02T12:18:41] Estimation window: 2012-07-10 - 2016-06-29, Best order: (4, 0, 3)-(1, 1), AIC: -6.8841462813672, Final model converged
[2024-06-02T12:19:15] Estimation window: 2012-07-11 - 2016-06-30, Best order: (3, 0, 3)-(1, 1), AIC: -6.8913864200751, Final model converged
[2024-06-02T12:19:56] Estimation window: 2012-07-12 - 2016-07-01, Best order: (3, 0, 3)-(1, 1), AIC: -6.88387223795071, Final model converged
[2024-06-02T12:20:30] Estimation window: 2012-07-13 - 2016-07-05, Best order: (3, 0, 3)-(1, 1), AIC: -6.88098037221671, Final model converged
[2024-06-02T12:21:04] Estimation window: 2012-07-16 - 2016-07-06, Best order: (4, 0, 5)-(1, 1), AIC: -6.89851247553151, Final model converged
[2024-06-02T12:21:51] Estimation window: 2012-07-17 - 2016-07-07, Best order: (4, 0, 3)-(1, 1), AIC: -6.88469278074394, Final model converged
[2024-06-02T12:22:42] Estimation window: 2012-07-18 - 2016-07-08, Best order: (3, 0, 4)-(1, 1), AIC: -6.87127883747352, Final model converged
[2024-06-02T12:23:17] Estimation window: 2012-07-19 - 2016-07-11, Best order: (4, 0, 3)-(1, 1), AIC: -6.89649757845206, Final model converged
[2024-06-02T12:24:01] Estimation window: 2012-07-20 - 2016-07-12, Best order: (4, 0, 3)-(1, 1), AIC: -6.89176438888787, Final model converged
[2024-06-02T12:24:47] Estimation window: 2012-07-23 - 2016-07-13, Best order: (5, 0, 4)-(1, 1), AIC: -6.88339804447864, Final model FAILED to converge
[2024-06-02T12:25:41] Estimation window: 2012-07-24 - 2016-07-14, Best order: (5, 0, 3)-(1, 1), AIC: -6.9016072225015, Final model converged
[2024-06-02T12:26:16] Estimation window: 2012-07-25 - 2016-07-15, Best order: (4, 0, 5)-(1, 1), AIC: -6.90480266937881, Final model converged
[2024-06-02T12:26:51] Estimation window: 2012-07-26 - 2016-07-18, Best order: (4, 0, 3)-(1, 1), AIC: -6.90381297272199, Final model FAILED to converge
