[2024-06-01T23:16:05] Estimation window: 2004-02-06 - 2008-01-28, Best order: (5, 0, 5)-(1, 1), AIC: -6.99329307302664, Final model converged
[2024-06-01T23:16:38] Estimation window: 2004-02-09 - 2008-01-29, Best order: (5, 0, 5)-(1, 1), AIC: -6.99586176353771, Final model converged
[2024-06-01T23:17:10] Estimation window: 2004-02-10 - 2008-01-30, Best order: (5, 0, 4)-(1, 1), AIC: -6.97954437441618, Final model converged
[2024-06-01T23:17:41] Estimation window: 2004-02-11 - 2008-01-31, Best order: (4, 0, 4)-(1, 1), AIC: -6.98395900816136, Final model converged
[2024-06-01T23:18:23] Estimation window: 2004-02-12 - 2008-02-01, Best order: (5, 0, 4)-(1, 1), AIC: -6.99040576813696, Final model FAILED to converge
[2024-06-01T23:19:00] Estimation window: 2004-02-13 - 2008-02-04, Best order: (4, 0, 4)-(1, 1), AIC: -6.9708175843506, Final model converged
[2024-06-01T23:20:14] Estimation window: 2004-02-17 - 2008-02-05, Best order: (5, 0, 5)-(1, 1), AIC: 361.270807254215, Final model FAILED to converge
[2024-06-01T23:20:45] Estimation window: 2004-02-18 - 2008-02-06, Best order: (4, 0, 5)-(1, 1), AIC: -6.95813674539797, Final model converged
[2024-06-01T23:21:38] Estimation window: 2004-02-19 - 2008-02-07, Best order: (5, 0, 5)-(1, 1), AIC: -6.96285480995188, Final model FAILED to converge
[2024-06-01T23:22:29] Estimation window: 2004-02-20 - 2008-02-08, Best order: (2, 0, 3)-(1, 1), AIC: -6.97337936639308, Final model converged
[2024-06-01T23:23:01] Estimation window: 2004-02-23 - 2008-02-11, Best order: (5, 0, 5)-(1, 1), AIC: -6.98364767648172, Final model converged
[2024-06-01T23:23:37] Estimation window: 2004-02-24 - 2008-02-12, Best order: (5, 0, 5)-(1, 1), AIC: -6.95240565213679, Final model FAILED to converge
[2024-06-01T23:24:08] Estimation window: 2004-02-25 - 2008-02-13, Best order: (5, 0, 5)-(1, 1), AIC: -6.95200275976975, Final model converged
[2024-06-01T23:24:38] Estimation window: 2004-02-26 - 2008-02-14, Best order: (1, 0, 1)-(1, 1), AIC: -6.96004040878474, Final model converged
[2024-06-01T23:25:09] Estimation window: 2004-02-27 - 2008-02-15, Best order: (5, 0, 5)-(1, 1), AIC: -6.95103867962448, Final model converged
[2024-06-01T23:26:16] Estimation window: 2004-03-01 - 2008-02-19, Best order: (3, 0, 5)-(1, 1), AIC: 608.453425340068, Final model FAILED to converge
[2024-06-01T23:26:50] Estimation window: 2004-03-02 - 2008-02-20, Best order: (4, 0, 5)-(1, 1), AIC: -6.94828053229257, Final model FAILED to converge
[2024-06-01T23:27:26] Estimation window: 2004-03-03 - 2008-02-21, Best order: (1, 0, 1)-(1, 1), AIC: -6.95725368255925, Final model converged
[2024-06-01T23:27:58] Estimation window: 2004-03-04 - 2008-02-22, Best order: (4, 0, 5)-(1, 1), AIC: -6.94928238565334, Final model converged
[2024-06-01T23:28:28] Estimation window: 2004-03-05 - 2008-02-25, Best order: (5, 0, 4)-(1, 1), AIC: -6.9468037009446, Final model converged
[2024-06-01T23:28:59] Estimation window: 2004-03-08 - 2008-02-26, Best order: (5, 0, 5)-(1, 1), AIC: -6.96868945926857, Final model converged
[2024-06-01T23:29:31] Estimation window: 2004-03-09 - 2008-02-27, Best order: (4, 0, 5)-(1, 1), AIC: -6.96087587933555, Final model converged
[2024-06-01T23:30:23] Estimation window: 2004-03-10 - 2008-02-28, Best order: (5, 0, 4)-(1, 1), AIC: -6.97237660327385, Final model converged
[2024-06-01T23:30:54] Estimation window: 2004-03-11 - 2008-02-29, Best order: (4, 0, 4)-(1, 1), AIC: -6.94928496314781, Final model converged
[2024-06-01T23:31:25] Estimation window: 2004-03-12 - 2008-03-03, Best order: (5, 0, 4)-(1, 1), AIC: -6.94296111319439, Final model converged
[2024-06-01T23:31:55] Estimation window: 2004-03-15 - 2008-03-04, Best order: (4, 0, 5)-(1, 1), AIC: -6.95763574899919, Final model converged
[2024-06-01T23:32:27] Estimation window: 2004-03-16 - 2008-03-05, Best order: (5, 0, 4)-(1, 1), AIC: -6.96914202184004, Final model converged
[2024-06-01T23:32:58] Estimation window: 2004-03-17 - 2008-03-06, Best order: (3, 0, 4)-(1, 1), AIC: -6.94604693539908, Final model converged
[2024-06-01T23:33:29] Estimation window: 2004-03-18 - 2008-03-07, Best order: (5, 0, 5)-(1, 1), AIC: -6.95011584465515, Final model converged
[2024-06-01T23:34:02] Estimation window: 2004-03-19 - 2008-03-10, Best order: (4, 0, 5)-(1, 1), AIC: -6.95131526134667, Final model FAILED to converge
[2024-06-01T23:34:33] Estimation window: 2004-03-22 - 2008-03-11, Best order: (3, 0, 5)-(1, 1), AIC: -6.93298729016162, Final model converged
[2024-06-01T23:35:11] Estimation window: 2004-03-23 - 2008-03-12, Best order: (1, 0, 5)-(1, 1), AIC: -6.93721490492, Final model converged
[2024-06-01T23:35:46] Estimation window: 2004-03-24 - 2008-03-13, Best order: (3, 0, 3)-(1, 1), AIC: -6.93743178980748, Final model converged
[2024-06-01T23:36:15] Estimation window: 2004-03-25 - 2008-03-14, Best order: (4, 0, 4)-(1, 1), AIC: -6.9427996544954, Final model converged
[2024-06-01T23:36:47] Estimation window: 2004-03-26 - 2008-03-17, Best order: (5, 0, 5)-(1, 1), AIC: -6.94270589193888, Final model converged
[2024-06-01T23:37:18] Estimation window: 2004-03-29 - 2008-03-18, Best order: (4, 0, 4)-(1, 1), AIC: -6.92238420033202, Final model converged
[2024-06-01T23:38:07] Estimation window: 2004-03-30 - 2008-03-19, Best order: (4, 0, 4)-(1, 1), AIC: -6.92921728030774, Final model converged
[2024-06-01T23:38:46] Estimation window: 2004-03-31 - 2008-03-20, Best order: (5, 0, 4)-(1, 1), AIC: -6.93609664349436, Final model converged
[2024-06-01T23:39:20] Estimation window: 2004-04-01 - 2008-03-24, Best order: (5, 0, 5)-(1, 1), AIC: -6.95349991847204, Final model converged
[2024-06-01T23:40:33] Estimation window: 2004-04-02 - 2008-03-25, Best order: (5, 0, 5)-(1, 1), AIC: 524.248557151311, Final model FAILED to converge
[2024-06-01T23:41:03] Estimation window: 2004-04-05 - 2008-03-26, Best order: (5, 0, 5)-(1, 1), AIC: -6.92900188927593, Final model FAILED to converge
[2024-06-01T23:41:35] Estimation window: 2004-04-06 - 2008-03-27, Best order: (5, 0, 3)-(1, 1), AIC: -6.92818874577326, Final model converged
[2024-06-01T23:42:10] Estimation window: 2004-04-07 - 2008-03-28, Best order: (5, 0, 4)-(1, 1), AIC: -6.91315670001064, Final model FAILED to converge
[2024-06-01T23:42:39] Estimation window: 2004-04-08 - 2008-03-31, Best order: (5, 0, 5)-(1, 1), AIC: -6.90752605447562, Final model converged
[2024-06-01T23:43:21] Estimation window: 2004-04-12 - 2008-04-01, Best order: (5, 0, 5)-(1, 1), AIC: -6.94443229814618, Final model converged
[2024-06-01T23:44:15] Estimation window: 2004-04-13 - 2008-04-02, Best order: (5, 0, 4)-(1, 1), AIC: -6.91784387191936, Final model converged
[2024-06-01T23:44:45] Estimation window: 2004-04-14 - 2008-04-03, Best order: (3, 0, 3)-(1, 1), AIC: -6.92098746485957, Final model converged
[2024-06-01T23:45:16] Estimation window: 2004-04-15 - 2008-04-04, Best order: (5, 0, 5)-(1, 1), AIC: -6.92095983066626, Final model converged
[2024-06-01T23:45:46] Estimation window: 2004-04-16 - 2008-04-07, Best order: (5, 0, 2)-(1, 1), AIC: -6.90505526183725, Final model converged
[2024-06-01T23:46:21] Estimation window: 2004-04-19 - 2008-04-08, Best order: (5, 0, 3)-(1, 1), AIC: -6.90163113480509, Final model converged
[2024-06-01T23:47:01] Estimation window: 2004-04-20 - 2008-04-09, Best order: (4, 0, 3)-(1, 1), AIC: -6.92021113011327, Final model FAILED to converge
[2024-06-01T23:47:37] Estimation window: 2004-04-21 - 2008-04-10, Best order: (3, 0, 4)-(1, 1), AIC: -6.9060875818763, Final model FAILED to converge
[2024-06-01T23:48:08] Estimation window: 2004-04-22 - 2008-04-11, Best order: (1, 0, 1)-(1, 1), AIC: -6.91019708836961, Final model converged
[2024-06-01T23:48:46] Estimation window: 2004-04-23 - 2008-04-14, Best order: (5, 0, 5)-(1, 1), AIC: -6.91953801879718, Final model converged
[2024-06-01T23:49:28] Estimation window: 2004-04-26 - 2008-04-15, Best order: (5, 0, 5)-(1, 1), AIC: -6.92031276281173, Final model FAILED to converge
[2024-06-01T23:50:30] Estimation window: 2004-04-27 - 2008-04-16, Best order: (5, 0, 5)-(1, 1), AIC: -6.92272300739893, Final model converged
[2024-06-01T23:51:06] Estimation window: 2004-04-28 - 2008-04-17, Best order: (3, 0, 5)-(1, 1), AIC: -6.92082368842778, Final model converged
[2024-06-01T23:51:37] Estimation window: 2004-04-29 - 2008-04-18, Best order: (5, 0, 3)-(1, 1), AIC: -6.89775581974075, Final model converged
[2024-06-01T23:52:07] Estimation window: 2004-04-30 - 2008-04-21, Best order: (1, 0, 1)-(1, 1), AIC: -6.90727573612124, Final model converged
[2024-06-01T23:52:38] Estimation window: 2004-05-03 - 2008-04-22, Best order: (5, 0, 5)-(1, 1), AIC: -6.92409401156246, Final model converged
[2024-06-01T23:53:08] Estimation window: 2004-05-04 - 2008-04-23, Best order: (5, 0, 5)-(1, 1), AIC: -6.91493977689687, Final model converged
[2024-06-01T23:53:40] Estimation window: 2004-05-05 - 2008-04-24, Best order: (5, 0, 5)-(1, 1), AIC: -6.92273011219562, Final model FAILED to converge
[2024-06-01T23:54:10] Estimation window: 2004-05-06 - 2008-04-25, Best order: (1, 0, 1)-(1, 1), AIC: -6.90428106300014, Final model converged
[2024-06-01T23:54:40] Estimation window: 2004-05-07 - 2008-04-28, Best order: (1, 0, 1)-(1, 1), AIC: -6.9047099692472, Final model converged
[2024-06-01T23:55:11] Estimation window: 2004-05-10 - 2008-04-29, Best order: (5, 0, 5)-(1, 1), AIC: -6.91965119755772, Final model FAILED to converge
[2024-06-01T23:55:46] Estimation window: 2004-05-11 - 2008-04-30, Best order: (3, 0, 3)-(1, 1), AIC: -6.93589763257245, Final model converged
[2024-06-01T23:56:16] Estimation window: 2004-05-12 - 2008-05-01, Best order: (1, 0, 1)-(1, 1), AIC: -6.90639634865432, Final model converged
[2024-06-01T23:56:47] Estimation window: 2004-05-13 - 2008-05-02, Best order: (1, 0, 1)-(1, 1), AIC: -6.90556132173727, Final model converged
[2024-06-01T23:57:29] Estimation window: 2004-05-14 - 2008-05-05, Best order: (5, 0, 5)-(1, 1), AIC: -6.91683552382349, Final model converged
[2024-06-01T23:58:02] Estimation window: 2004-05-17 - 2008-05-06, Best order: (3, 0, 4)-(1, 1), AIC: -6.90779907959308, Final model converged
[2024-06-01T23:58:39] Estimation window: 2004-05-18 - 2008-05-07, Best order: (1, 0, 1)-(1, 1), AIC: -6.90169768546234, Final model converged
[2024-06-01T23:59:11] Estimation window: 2004-05-19 - 2008-05-08, Best order: (3, 0, 3)-(1, 1), AIC: -6.89545528496157, Final model converged
[2024-06-02T00:00:04] Estimation window: 2004-05-20 - 2008-05-09, Best order: (1, 0, 1)-(1, 1), AIC: -6.90074653990243, Final model converged
[2024-06-02T00:00:43] Estimation window: 2004-05-21 - 2008-05-12, Best order: (1, 0, 1)-(1, 1), AIC: -6.89926357439927, Final model converged
[2024-06-02T00:01:15] Estimation window: 2004-05-24 - 2008-05-13, Best order: (4, 0, 4)-(1, 1), AIC: -6.92015798658759, Final model converged
[2024-06-02T00:01:52] Estimation window: 2004-05-25 - 2008-05-14, Best order: (5, 0, 4)-(1, 1), AIC: -6.90070531168998, Final model converged
[2024-06-02T00:02:36] Estimation window: 2004-05-26 - 2008-05-15, Best order: (3, 0, 4)-(1, 1), AIC: -6.91238670250907, Final model converged
[2024-06-02T00:03:08] Estimation window: 2004-05-27 - 2008-05-16, Best order: (3, 0, 4)-(1, 1), AIC: -6.92846561093033, Final model converged
[2024-06-02T00:03:43] Estimation window: 2004-05-28 - 2008-05-19, Best order: (3, 0, 3)-(1, 1), AIC: -6.90033246235217, Final model FAILED to converge
[2024-06-02T00:04:15] Estimation window: 2004-06-01 - 2008-05-20, Best order: (3, 0, 3)-(1, 1), AIC: -6.89343509827445, Final model converged
[2024-06-02T00:04:47] Estimation window: 2004-06-02 - 2008-05-21, Best order: (1, 0, 1)-(1, 1), AIC: -6.89619367719765, Final model converged
[2024-06-02T00:05:19] Estimation window: 2004-06-03 - 2008-05-22, Best order: (3, 0, 3)-(1, 1), AIC: -6.8999108013001, Final model FAILED to converge
[2024-06-02T00:05:50] Estimation window: 2004-06-04 - 2008-05-23, Best order: (3, 0, 3)-(1, 1), AIC: -6.88907325584991, Final model FAILED to converge
[2024-06-02T00:06:27] Estimation window: 2004-06-07 - 2008-05-27, Best order: (4, 0, 3)-(1, 1), AIC: -6.90553929456953, Final model converged
[2024-06-02T00:07:00] Estimation window: 2004-06-08 - 2008-05-28, Best order: (3, 0, 3)-(1, 1), AIC: -6.91113543874523, Final model converged
[2024-06-02T00:07:40] Estimation window: 2004-06-09 - 2008-05-29, Best order: (5, 0, 5)-(1, 1), AIC: -6.9020784198608, Final model converged
[2024-06-02T00:08:10] Estimation window: 2004-06-10 - 2008-05-30, Best order: (5, 0, 5)-(1, 1), AIC: -6.89923092796075, Final model converged
[2024-06-02T00:08:42] Estimation window: 2004-06-14 - 2008-06-02, Best order: (3, 0, 4)-(1, 1), AIC: -6.90246891723836, Final model converged
[2024-06-02T00:09:14] Estimation window: 2004-06-15 - 2008-06-03, Best order: (5, 0, 5)-(1, 1), AIC: -6.89338967817928, Final model converged
[2024-06-02T00:09:46] Estimation window: 2004-06-16 - 2008-06-04, Best order: (3, 0, 3)-(1, 1), AIC: -6.8966176397982, Final model converged
[2024-06-02T00:10:17] Estimation window: 2004-06-17 - 2008-06-05, Best order: (3, 0, 3)-(1, 1), AIC: -6.89204702855084, Final model converged
[2024-06-02T00:10:47] Estimation window: 2004-06-18 - 2008-06-06, Best order: (3, 0, 3)-(1, 1), AIC: -6.87406320738579, Final model FAILED to converge
[2024-06-02T00:11:20] Estimation window: 2004-06-21 - 2008-06-09, Best order: (4, 0, 4)-(1, 1), AIC: -6.87756992831117, Final model FAILED to converge
[2024-06-02T00:11:52] Estimation window: 2004-06-22 - 2008-06-10, Best order: (5, 0, 5)-(1, 1), AIC: -6.87864601934244, Final model converged
[2024-06-02T00:12:23] Estimation window: 2004-06-23 - 2008-06-11, Best order: (5, 0, 5)-(1, 1), AIC: -6.88914126508048, Final model converged
[2024-06-02T00:12:56] Estimation window: 2004-06-24 - 2008-06-12, Best order: (1, 0, 1)-(1, 1), AIC: -6.87550826297267, Final model converged
