[2024-06-02T10:35:25] Estimation window: 2006-03-14 - 2010-03-03, Best order: (3, 0, 3)-(1, 1), AIC: -5.99810554559511, Final model converged
[2024-06-02T10:35:56] Estimation window: 2006-03-15 - 2010-03-04, Best order: (3, 0, 3)-(1, 1), AIC: -5.9988053286148, Final model converged
[2024-06-02T10:36:28] Estimation window: 2006-03-16 - 2010-03-05, Best order: (3, 0, 3)-(1, 1), AIC: -6.00095268988272, Final model converged
[2024-06-02T10:36:59] Estimation window: 2006-03-17 - 2010-03-08, Best order: (3, 0, 3)-(1, 1), AIC: -6.0008949927812, Final model converged
[2024-06-02T10:37:30] Estimation window: 2006-03-20 - 2010-03-09, Best order: (3, 0, 3)-(1, 1), AIC: -6.00238997495173, Final model converged
[2024-06-02T10:38:00] Estimation window: 2006-03-21 - 2010-03-10, Best order: (3, 0, 3)-(1, 1), AIC: -5.99634033309079, Final model converged
[2024-06-02T10:38:31] Estimation window: 2006-03-22 - 2010-03-11, Best order: (3, 0, 3)-(1, 1), AIC: -6.00140545458806, Final model converged
[2024-06-02T10:39:03] Estimation window: 2006-03-23 - 2010-03-12, Best order: (3, 0, 3)-(1, 1), AIC: -6.00075864295094, Final model converged
[2024-06-02T10:39:38] Estimation window: 2006-03-24 - 2010-03-15, Best order: (3, 0, 4)-(1, 1), AIC: -6.00515433188946, Final model FAILED to converge
[2024-06-02T10:40:09] Estimation window: 2006-03-27 - 2010-03-16, Best order: (3, 0, 3)-(1, 1), AIC: -5.99751310408151, Final model converged
[2024-06-02T10:40:52] Estimation window: 2006-03-28 - 2010-03-17, Best order: (3, 0, 3)-(1, 1), AIC: -6.00011933454273, Final model converged
[2024-06-02T10:41:22] Estimation window: 2006-03-29 - 2010-03-18, Best order: (3, 0, 3)-(1, 1), AIC: -5.9976401701146, Final model converged
[2024-06-02T10:41:51] Estimation window: 2006-03-30 - 2010-03-19, Best order: (3, 0, 3)-(1, 1), AIC: -6.00034824431521, Final model converged
[2024-06-02T10:42:21] Estimation window: 2006-03-31 - 2010-03-22, Best order: (3, 0, 3)-(1, 1), AIC: -6.00189414085158, Final model converged
[2024-06-02T10:42:52] Estimation window: 2006-04-03 - 2010-03-23, Best order: (5, 0, 4)-(1, 1), AIC: -5.9970746037857, Final model converged
[2024-06-02T10:43:23] Estimation window: 2006-04-04 - 2010-03-24, Best order: (3, 0, 3)-(1, 1), AIC: -6.00188839690967, Final model converged
[2024-06-02T10:43:54] Estimation window: 2006-04-05 - 2010-03-25, Best order: (4, 0, 5)-(1, 1), AIC: -6.01342766107945, Final model converged
[2024-06-02T10:44:24] Estimation window: 2006-04-06 - 2010-03-26, Best order: (3, 0, 3)-(1, 1), AIC: -6.00050472974248, Final model converged
[2024-06-02T10:44:56] Estimation window: 2006-04-07 - 2010-03-29, Best order: (3, 0, 3)-(1, 1), AIC: -6.00187672805056, Final model FAILED to converge
[2024-06-02T10:45:29] Estimation window: 2006-04-10 - 2010-03-30, Best order: (3, 0, 3)-(1, 1), AIC: -6.00648500082648, Final model converged
