[2024-06-01T23:16:07] Estimation window: 2006-03-14 - 2010-03-03, Best order: (3, 0, 3)-(1, 1), AIC: -5.99810554559511, Final model converged
[2024-06-01T23:16:38] Estimation window: 2006-03-15 - 2010-03-04, Best order: (3, 0, 3)-(1, 1), AIC: -5.9988053286148, Final model converged
[2024-06-01T23:17:10] Estimation window: 2006-03-16 - 2010-03-05, Best order: (3, 0, 3)-(1, 1), AIC: -6.00095268988272, Final model converged
[2024-06-01T23:17:42] Estimation window: 2006-03-17 - 2010-03-08, Best order: (3, 0, 3)-(1, 1), AIC: -6.0008949927812, Final model converged
[2024-06-01T23:18:13] Estimation window: 2006-03-20 - 2010-03-09, Best order: (3, 0, 3)-(1, 1), AIC: -6.00238997495173, Final model converged
[2024-06-01T23:18:44] Estimation window: 2006-03-21 - 2010-03-10, Best order: (3, 0, 3)-(1, 1), AIC: -5.99634033309079, Final model converged
[2024-06-01T23:19:15] Estimation window: 2006-03-22 - 2010-03-11, Best order: (3, 0, 3)-(1, 1), AIC: -6.00140545458806, Final model converged
[2024-06-01T23:19:48] Estimation window: 2006-03-23 - 2010-03-12, Best order: (3, 0, 3)-(1, 1), AIC: -6.00075864295094, Final model converged
[2024-06-01T23:20:24] Estimation window: 2006-03-24 - 2010-03-15, Best order: (3, 0, 4)-(1, 1), AIC: -6.00515433188946, Final model FAILED to converge
[2024-06-01T23:20:56] Estimation window: 2006-03-27 - 2010-03-16, Best order: (3, 0, 3)-(1, 1), AIC: -5.99751310408151, Final model converged
[2024-06-01T23:21:39] Estimation window: 2006-03-28 - 2010-03-17, Best order: (3, 0, 3)-(1, 1), AIC: -6.00011933454273, Final model converged
[2024-06-01T23:22:08] Estimation window: 2006-03-29 - 2010-03-18, Best order: (3, 0, 3)-(1, 1), AIC: -5.9976401701146, Final model converged
[2024-06-01T23:22:38] Estimation window: 2006-03-30 - 2010-03-19, Best order: (3, 0, 3)-(1, 1), AIC: -6.00034824431521, Final model converged
[2024-06-01T23:23:07] Estimation window: 2006-03-31 - 2010-03-22, Best order: (3, 0, 3)-(1, 1), AIC: -6.00189414085158, Final model converged
[2024-06-01T23:23:39] Estimation window: 2006-04-03 - 2010-03-23, Best order: (5, 0, 4)-(1, 1), AIC: -5.9970746037857, Final model converged
[2024-06-01T23:24:09] Estimation window: 2006-04-04 - 2010-03-24, Best order: (3, 0, 3)-(1, 1), AIC: -6.00188839690967, Final model converged
[2024-06-01T23:24:40] Estimation window: 2006-04-05 - 2010-03-25, Best order: (4, 0, 5)-(1, 1), AIC: -6.01342766107945, Final model converged
[2024-06-01T23:25:10] Estimation window: 2006-04-06 - 2010-03-26, Best order: (3, 0, 3)-(1, 1), AIC: -6.00050472974248, Final model converged
[2024-06-01T23:25:42] Estimation window: 2006-04-07 - 2010-03-29, Best order: (3, 0, 3)-(1, 1), AIC: -6.00187672805056, Final model FAILED to converge
[2024-06-01T23:26:15] Estimation window: 2006-04-10 - 2010-03-30, Best order: (3, 0, 3)-(1, 1), AIC: -6.00648500082648, Final model converged
[2024-06-01T23:26:47] Estimation window: 2006-04-11 - 2010-03-31, Best order: (5, 0, 5)-(1, 1), AIC: -5.99148858729797, Final model converged
[2024-06-01T23:27:21] Estimation window: 2006-04-12 - 2010-04-01, Best order: (3, 0, 3)-(1, 1), AIC: -6.00603351363307, Final model converged
