[2024-06-01T23:16:08] Estimation window: 2002-01-02 - 2005-12-19, Best order: (5, 0, 4)-(1, 1), AIC: -6.53086607575971, Final model converged
[2024-06-01T23:16:40] Estimation window: 2002-01-03 - 2005-12-20, Best order: (4, 0, 5)-(1, 1), AIC: -6.55278668137994, Final model converged
[2024-06-01T23:17:31] Estimation window: 2002-01-04 - 2005-12-21, Best order: (5, 0, 3)-(1, 1), AIC: -6.56291985657216, Final model FAILED to converge
[2024-06-01T23:18:03] Estimation window: 2002-01-07 - 2005-12-22, Best order: (4, 0, 4)-(1, 1), AIC: -6.54336209079759, Final model FAILED to converge
[2024-06-01T23:18:35] Estimation window: 2002-01-08 - 2005-12-23, Best order: (4, 0, 5)-(1, 1), AIC: -6.53645238570763, Final model converged
[2024-06-01T23:19:05] Estimation window: 2002-01-09 - 2005-12-27, Best order: (5, 0, 5)-(1, 1), AIC: -6.54627891772758, Final model FAILED to converge
[2024-06-01T23:19:36] Estimation window: 2002-01-10 - 2005-12-28, Best order: (5, 0, 4)-(1, 1), AIC: -6.55160042911886, Final model converged
[2024-06-01T23:20:05] Estimation window: 2002-01-11 - 2005-12-29, Best order: (4, 0, 5)-(1, 1), AIC: -6.55758590313142, Final model converged
[2024-06-01T23:20:34] Estimation window: 2002-01-14 - 2005-12-30, Best order: (3, 0, 4)-(1, 1), AIC: -6.54263836955753, Final model converged
[2024-06-01T23:21:03] Estimation window: 2002-01-15 - 2006-01-03, Best order: (5, 0, 5)-(1, 1), AIC: -6.52593257018675, Final model converged
[2024-06-01T23:21:35] Estimation window: 2002-01-16 - 2006-01-04, Best order: (4, 0, 5)-(1, 1), AIC: -6.53527661993751, Final model converged
[2024-06-01T23:22:48] Estimation window: 2002-01-17 - 2006-01-05, Best order: (5, 0, 4)-(1, 1), AIC: -6.55096644192204, Final model converged
[2024-06-01T23:23:18] Estimation window: 2002-01-18 - 2006-01-06, Best order: (4, 0, 5)-(1, 1), AIC: -6.56456042545499, Final model converged
[2024-06-01T23:23:48] Estimation window: 2002-01-22 - 2006-01-09, Best order: (5, 0, 4)-(1, 1), AIC: -6.54210960649556, Final model converged
[2024-06-01T23:24:18] Estimation window: 2002-01-23 - 2006-01-10, Best order: (4, 0, 5)-(1, 1), AIC: -6.56024701144027, Final model converged
[2024-06-01T23:25:09] Estimation window: 2002-01-24 - 2006-01-11, Best order: (5, 0, 5)-(1, 1), AIC: -6.56307432455803, Final model converged
[2024-06-01T23:26:17] Estimation window: 2002-01-25 - 2006-01-12, Best order: (5, 0, 2)-(1, 1), AIC: -6.55830201389709, Final model converged
[2024-06-01T23:27:14] Estimation window: 2002-01-28 - 2006-01-13, Best order: (5, 0, 3)-(1, 1), AIC: -6.53709699700277, Final model FAILED to converge
[2024-06-01T23:28:42] Estimation window: 2002-01-29 - 2006-01-17, Best order: (3, 0, 3)-(1, 1), AIC: 355.017370130642, Final model FAILED to converge
[2024-06-01T23:29:15] Estimation window: 2002-01-30 - 2006-01-18, Best order: (5, 0, 4)-(1, 1), AIC: -6.57202099045456, Final model converged
[2024-06-01T23:29:46] Estimation window: 2002-01-31 - 2006-01-19, Best order: (5, 0, 4)-(1, 1), AIC: -6.58065077163411, Final model converged
[2024-06-01T23:30:38] Estimation window: 2002-02-01 - 2006-01-20, Best order: (4, 0, 5)-(1, 1), AIC: -6.56852411624959, Final model converged
[2024-06-01T23:31:09] Estimation window: 2002-02-04 - 2006-01-23, Best order: (5, 0, 4)-(1, 1), AIC: -6.54516023757915, Final model converged
[2024-06-01T23:31:40] Estimation window: 2002-02-05 - 2006-01-24, Best order: (3, 0, 4)-(1, 1), AIC: -6.55647362871684, Final model converged
[2024-06-01T23:32:10] Estimation window: 2002-02-06 - 2006-01-25, Best order: (4, 0, 5)-(1, 1), AIC: -6.59889591847432, Final model converged
[2024-06-01T23:33:13] Estimation window: 2002-02-07 - 2006-01-26, Best order: (5, 0, 4)-(1, 1), AIC: -6.55935345383077, Final model FAILED to converge
[2024-06-01T23:33:42] Estimation window: 2002-02-08 - 2006-01-27, Best order: (4, 0, 4)-(1, 1), AIC: -6.56189214419569, Final model FAILED to converge
[2024-06-01T23:34:12] Estimation window: 2002-02-11 - 2006-01-30, Best order: (4, 0, 5)-(1, 1), AIC: -6.57729284329698, Final model converged
[2024-06-01T23:34:42] Estimation window: 2002-02-12 - 2006-01-31, Best order: (4, 0, 5)-(1, 1), AIC: -6.56577891045831, Final model FAILED to converge
[2024-06-01T23:35:12] Estimation window: 2002-02-13 - 2006-02-01, Best order: (5, 0, 4)-(1, 1), AIC: -6.57622623273915, Final model converged
[2024-06-01T23:35:42] Estimation window: 2002-02-14 - 2006-02-02, Best order: (5, 0, 2)-(1, 1), AIC: -6.55500030524714, Final model converged
[2024-06-01T23:37:16] Estimation window: 2002-02-15 - 2006-02-03, Best order: (4, 0, 5)-(1, 1), AIC: -6.58887910641087, Final model FAILED to converge
[2024-06-01T23:37:50] Estimation window: 2002-02-19 - 2006-02-06, Best order: (4, 0, 5)-(1, 1), AIC: -6.60364688166559, Final model converged
[2024-06-01T23:38:39] Estimation window: 2002-02-20 - 2006-02-07, Best order: (3, 0, 2)-(1, 1), AIC: -6.57692346904573, Final model converged
[2024-06-01T23:39:09] Estimation window: 2002-02-21 - 2006-02-08, Best order: (5, 0, 5)-(1, 1), AIC: -6.56657017201158, Final model converged
[2024-06-01T23:39:53] Estimation window: 2002-02-22 - 2006-02-09, Best order: (3, 0, 5)-(1, 1), AIC: -6.56328502845721, Final model converged
[2024-06-01T23:40:21] Estimation window: 2002-02-25 - 2006-02-10, Best order: (5, 0, 4)-(1, 1), AIC: -6.59449381996465, Final model converged
[2024-06-01T23:40:51] Estimation window: 2002-02-26 - 2006-02-13, Best order: (5, 0, 5)-(1, 1), AIC: -6.57800619300226, Final model converged
[2024-06-01T23:41:55] Estimation window: 2002-02-27 - 2006-02-14, Best order: (5, 0, 3)-(1, 1), AIC: 493.10364925211, Final model converged
[2024-06-01T23:42:25] Estimation window: 2002-02-28 - 2006-02-15, Best order: (5, 0, 4)-(1, 1), AIC: -6.60053682067702, Final model FAILED to converge
[2024-06-01T23:43:11] Estimation window: 2002-03-01 - 2006-02-16, Best order: (4, 0, 5)-(1, 1), AIC: -6.60352156502834, Final model converged
[2024-06-01T23:43:42] Estimation window: 2002-03-04 - 2006-02-17, Best order: (5, 0, 5)-(1, 1), AIC: -6.58166748460273, Final model converged
[2024-06-01T23:44:11] Estimation window: 2002-03-05 - 2006-02-21, Best order: (4, 0, 2)-(1, 1), AIC: -6.57656889159778, Final model converged
[2024-06-01T23:44:56] Estimation window: 2002-03-06 - 2006-02-22, Best order: (3, 0, 2)-(1, 1), AIC: -6.59690069122629, Final model converged
[2024-06-01T23:45:25] Estimation window: 2002-03-07 - 2006-02-23, Best order: (5, 0, 3)-(1, 1), AIC: -6.59182049083288, Final model converged
[2024-06-01T23:45:57] Estimation window: 2002-03-08 - 2006-02-24, Best order: (4, 0, 5)-(1, 1), AIC: -6.59369355737373, Final model converged
[2024-06-01T23:47:29] Estimation window: 2002-03-11 - 2006-02-27, Best order: (4, 0, 5)-(1, 1), AIC: -6.59189793405287, Final model converged
[2024-06-01T23:48:17] Estimation window: 2002-03-12 - 2006-02-28, Best order: (4, 0, 5)-(1, 1), AIC: -6.61053057809723, Final model converged
[2024-06-01T23:48:45] Estimation window: 2002-03-13 - 2006-03-01, Best order: (5, 0, 4)-(1, 1), AIC: -6.60187053890462, Final model FAILED to converge
[2024-06-01T23:49:14] Estimation window: 2002-03-14 - 2006-03-02, Best order: (3, 0, 4)-(1, 1), AIC: -6.60923525869904, Final model FAILED to converge
[2024-06-01T23:49:43] Estimation window: 2002-03-15 - 2006-03-03, Best order: (4, 0, 5)-(1, 1), AIC: -6.59490699944688, Final model converged
[2024-06-01T23:50:18] Estimation window: 2002-03-18 - 2006-03-06, Best order: (4, 0, 5)-(1, 1), AIC: -6.59317711199073, Final model converged
