[2024-06-02T10:35:26] Estimation window: 2002-01-02 - 2005-12-19, Best order: (5, 0, 4)-(1, 1), AIC: -6.53086607575971, Final model converged
[2024-06-02T10:35:59] Estimation window: 2002-01-03 - 2005-12-20, Best order: (4, 0, 5)-(1, 1), AIC: -6.55278668137994, Final model converged
[2024-06-02T10:36:49] Estimation window: 2002-01-04 - 2005-12-21, Best order: (5, 0, 3)-(1, 1), AIC: -6.56291985657216, Final model FAILED to converge
[2024-06-02T10:37:20] Estimation window: 2002-01-07 - 2005-12-22, Best order: (4, 0, 4)-(1, 1), AIC: -6.54336209079759, Final model FAILED to converge
[2024-06-02T10:37:52] Estimation window: 2002-01-08 - 2005-12-23, Best order: (4, 0, 5)-(1, 1), AIC: -6.53645238570763, Final model converged
[2024-06-02T10:38:21] Estimation window: 2002-01-09 - 2005-12-27, Best order: (5, 0, 5)-(1, 1), AIC: -6.54627891772758, Final model FAILED to converge
[2024-06-02T10:38:52] Estimation window: 2002-01-10 - 2005-12-28, Best order: (5, 0, 4)-(1, 1), AIC: -6.55160042911886, Final model converged
[2024-06-02T10:39:21] Estimation window: 2002-01-11 - 2005-12-29, Best order: (4, 0, 5)-(1, 1), AIC: -6.55758590313142, Final model converged
[2024-06-02T10:39:50] Estimation window: 2002-01-14 - 2005-12-30, Best order: (3, 0, 4)-(1, 1), AIC: -6.54263836955753, Final model converged
[2024-06-02T10:40:19] Estimation window: 2002-01-15 - 2006-01-03, Best order: (5, 0, 5)-(1, 1), AIC: -6.52593257018675, Final model converged
[2024-06-02T10:40:51] Estimation window: 2002-01-16 - 2006-01-04, Best order: (4, 0, 5)-(1, 1), AIC: -6.53527661993751, Final model converged
[2024-06-02T10:42:05] Estimation window: 2002-01-17 - 2006-01-05, Best order: (5, 0, 4)-(1, 1), AIC: -6.55096644192204, Final model converged
[2024-06-02T10:42:34] Estimation window: 2002-01-18 - 2006-01-06, Best order: (4, 0, 5)-(1, 1), AIC: -6.56456042545499, Final model converged
[2024-06-02T10:43:05] Estimation window: 2002-01-22 - 2006-01-09, Best order: (5, 0, 4)-(1, 1), AIC: -6.54210960649556, Final model converged
[2024-06-02T10:43:36] Estimation window: 2002-01-23 - 2006-01-10, Best order: (4, 0, 5)-(1, 1), AIC: -6.56024701144027, Final model converged
[2024-06-02T10:44:26] Estimation window: 2002-01-24 - 2006-01-11, Best order: (5, 0, 5)-(1, 1), AIC: -6.56307432455803, Final model converged
[2024-06-02T10:45:33] Estimation window: 2002-01-25 - 2006-01-12, Best order: (5, 0, 2)-(1, 1), AIC: -6.55830201389709, Final model converged
[2024-06-02T10:46:29] Estimation window: 2002-01-28 - 2006-01-13, Best order: (4, 0, 4)-(1, 1), AIC: -6.53687663409425, Final model FAILED to converge
[2024-06-02T10:47:22] Estimation window: 2002-01-29 - 2006-01-17, Best order: (3, 0, 3)-(1, 1), AIC: -6.53961369900111, Final model converged
[2024-06-02T10:47:54] Estimation window: 2002-01-30 - 2006-01-18, Best order: (5, 0, 4)-(1, 1), AIC: -6.57202099045456, Final model converged
[2024-06-02T10:48:26] Estimation window: 2002-01-31 - 2006-01-19, Best order: (5, 0, 4)-(1, 1), AIC: -6.58065077163411, Final model converged
[2024-06-02T10:49:18] Estimation window: 2002-02-01 - 2006-01-20, Best order: (4, 0, 5)-(1, 1), AIC: -6.56852411624959, Final model converged
[2024-06-02T10:49:50] Estimation window: 2002-02-04 - 2006-01-23, Best order: (5, 0, 4)-(1, 1), AIC: -6.54516023757915, Final model converged
[2024-06-02T10:50:20] Estimation window: 2002-02-05 - 2006-01-24, Best order: (3, 0, 4)-(1, 1), AIC: -6.55647362871684, Final model converged
[2024-06-02T10:50:51] Estimation window: 2002-02-06 - 2006-01-25, Best order: (4, 0, 5)-(1, 1), AIC: -6.59889591847432, Final model converged
[2024-06-02T10:51:53] Estimation window: 2002-02-07 - 2006-01-26, Best order: (3, 0, 2)-(1, 1), AIC: -6.55116103894219, Final model converged
[2024-06-02T10:52:23] Estimation window: 2002-02-08 - 2006-01-27, Best order: (4, 0, 4)-(1, 1), AIC: -6.56189214419569, Final model FAILED to converge
[2024-06-02T10:52:52] Estimation window: 2002-02-11 - 2006-01-30, Best order: (4, 0, 5)-(1, 1), AIC: -6.57729284329698, Final model converged
[2024-06-02T10:53:22] Estimation window: 2002-02-12 - 2006-01-31, Best order: (4, 0, 5)-(1, 1), AIC: -6.56577891045831, Final model FAILED to converge
[2024-06-02T10:53:52] Estimation window: 2002-02-13 - 2006-02-01, Best order: (5, 0, 4)-(1, 1), AIC: -6.57622623273915, Final model converged
[2024-06-02T10:54:23] Estimation window: 2002-02-14 - 2006-02-02, Best order: (5, 0, 2)-(1, 1), AIC: -6.55500030524714, Final model converged
[2024-06-02T10:55:58] Estimation window: 2002-02-15 - 2006-02-03, Best order: (4, 0, 5)-(1, 1), AIC: -6.58887910641087, Final model FAILED to converge
[2024-06-02T10:56:32] Estimation window: 2002-02-19 - 2006-02-06, Best order: (4, 0, 5)-(1, 1), AIC: -6.60364688166559, Final model converged
[2024-06-02T10:57:22] Estimation window: 2002-02-20 - 2006-02-07, Best order: (3, 0, 2)-(1, 1), AIC: -6.57692346904573, Final model converged
[2024-06-02T10:57:52] Estimation window: 2002-02-21 - 2006-02-08, Best order: (5, 0, 5)-(1, 1), AIC: -6.56657017201158, Final model converged
[2024-06-02T10:58:36] Estimation window: 2002-02-22 - 2006-02-09, Best order: (3, 0, 5)-(1, 1), AIC: -6.56328502845721, Final model converged
[2024-06-02T10:59:04] Estimation window: 2002-02-25 - 2006-02-10, Best order: (5, 0, 4)-(1, 1), AIC: -6.59449381996465, Final model converged
[2024-06-02T10:59:34] Estimation window: 2002-02-26 - 2006-02-13, Best order: (5, 0, 5)-(1, 1), AIC: -6.57800619300226, Final model converged
[2024-06-02T11:00:13] Estimation window: 2002-02-27 - 2006-02-14, Best order: (5, 0, 3)-(1, 1), AIC: -6.56521182286117, Final model FAILED to converge
[2024-06-02T11:00:43] Estimation window: 2002-02-28 - 2006-02-15, Best order: (5, 0, 4)-(1, 1), AIC: -6.60053682067702, Final model FAILED to converge
[2024-06-02T11:01:30] Estimation window: 2002-03-01 - 2006-02-16, Best order: (4, 0, 5)-(1, 1), AIC: -6.60352156502834, Final model converged
[2024-06-02T11:02:00] Estimation window: 2002-03-04 - 2006-02-17, Best order: (5, 0, 5)-(1, 1), AIC: -6.58166748460273, Final model converged
[2024-06-02T11:02:30] Estimation window: 2002-03-05 - 2006-02-21, Best order: (4, 0, 2)-(1, 1), AIC: -6.57656889159778, Final model converged
[2024-06-02T11:03:15] Estimation window: 2002-03-06 - 2006-02-22, Best order: (3, 0, 2)-(1, 1), AIC: -6.59690069122629, Final model converged
[2024-06-02T11:03:43] Estimation window: 2002-03-07 - 2006-02-23, Best order: (5, 0, 3)-(1, 1), AIC: -6.59182049083288, Final model converged
[2024-06-02T11:04:16] Estimation window: 2002-03-08 - 2006-02-24, Best order: (4, 0, 5)-(1, 1), AIC: -6.59369355737373, Final model converged
[2024-06-02T11:05:48] Estimation window: 2002-03-11 - 2006-02-27, Best order: (4, 0, 5)-(1, 1), AIC: -6.59189793405287, Final model converged
[2024-06-02T11:06:37] Estimation window: 2002-03-12 - 2006-02-28, Best order: (4, 0, 5)-(1, 1), AIC: -6.61053057809723, Final model converged
[2024-06-02T11:07:05] Estimation window: 2002-03-13 - 2006-03-01, Best order: (5, 0, 4)-(1, 1), AIC: -6.60187053890462, Final model FAILED to converge
[2024-06-02T11:07:34] Estimation window: 2002-03-14 - 2006-03-02, Best order: (3, 0, 4)-(1, 1), AIC: -6.60923525869904, Final model FAILED to converge
[2024-06-02T11:08:04] Estimation window: 2002-03-15 - 2006-03-03, Best order: (4, 0, 5)-(1, 1), AIC: -6.59490699944688, Final model converged
[2024-06-02T11:08:39] Estimation window: 2002-03-18 - 2006-03-06, Best order: (4, 0, 2)-(1, 1), AIC: -6.59960688672872, Final model converged
[2024-06-02T11:09:13] Estimation window: 2002-03-19 - 2006-03-07, Best order: (5, 0, 3)-(1, 1), AIC: -6.59533154519622, Final model converged
[2024-06-02T11:09:52] Estimation window: 2002-03-20 - 2006-03-08, Best order: (2, 0, 2)-(1, 1), AIC: -6.60497778050575, Final model converged
[2024-06-02T11:10:23] Estimation window: 2002-03-21 - 2006-03-09, Best order: (4, 0, 4)-(1, 1), AIC: -6.6060290825188, Final model converged
[2024-06-02T11:11:07] Estimation window: 2002-03-22 - 2006-03-10, Best order: (5, 0, 3)-(1, 1), AIC: -6.61537798466717, Final model converged
[2024-06-02T11:11:38] Estimation window: 2002-03-25 - 2006-03-13, Best order: (4, 0, 2)-(1, 1), AIC: -6.59109740522171, Final model converged
[2024-06-02T11:12:07] Estimation window: 2002-03-26 - 2006-03-14, Best order: (3, 0, 5)-(1, 1), AIC: -6.60372057252941, Final model converged
[2024-06-02T11:12:36] Estimation window: 2002-03-27 - 2006-03-15, Best order: (5, 0, 4)-(1, 1), AIC: -6.61590005788119, Final model converged
[2024-06-02T11:13:06] Estimation window: 2002-03-28 - 2006-03-16, Best order: (4, 0, 5)-(1, 1), AIC: -6.60481701036658, Final model converged
[2024-06-02T11:13:36] Estimation window: 2002-04-01 - 2006-03-17, Best order: (5, 0, 4)-(1, 1), AIC: -6.61460778999893, Final model FAILED to converge
[2024-06-02T11:14:25] Estimation window: 2002-04-02 - 2006-03-20, Best order: (4, 0, 5)-(1, 1), AIC: -6.60824190980981, Final model converged
[2024-06-02T11:14:55] Estimation window: 2002-04-03 - 2006-03-21, Best order: (2, 0, 2)-(1, 1), AIC: -6.60930657384963, Final model converged
[2024-06-02T11:15:24] Estimation window: 2002-04-04 - 2006-03-22, Best order: (3, 0, 4)-(1, 1), AIC: -6.61529095797221, Final model converged
[2024-06-02T11:15:53] Estimation window: 2002-04-05 - 2006-03-23, Best order: (3, 0, 5)-(1, 1), AIC: -6.6236631564462, Final model converged
[2024-06-02T11:16:22] Estimation window: 2002-04-08 - 2006-03-24, Best order: (5, 0, 5)-(1, 1), AIC: -6.61869130263834, Final model converged
[2024-06-02T11:16:53] Estimation window: 2002-04-09 - 2006-03-27, Best order: (5, 0, 4)-(1, 1), AIC: -6.62248177623181, Final model FAILED to converge
[2024-06-02T11:17:23] Estimation window: 2002-04-10 - 2006-03-28, Best order: (3, 0, 3)-(1, 1), AIC: -6.60569621573171, Final model converged
[2024-06-02T11:18:02] Estimation window: 2002-04-11 - 2006-03-29, Best order: (2, 0, 4)-(1, 1), AIC: -6.60312206532434, Final model converged
[2024-06-02T11:18:31] Estimation window: 2002-04-12 - 2006-03-30, Best order: (3, 0, 2)-(1, 1), AIC: -6.61282630469093, Final model converged
[2024-06-02T11:19:21] Estimation window: 2002-04-15 - 2006-03-31, Best order: (5, 0, 4)-(1, 1), AIC: -6.63061048977474, Final model converged
[2024-06-02T11:19:50] Estimation window: 2002-04-16 - 2006-04-03, Best order: (4, 0, 5)-(1, 1), AIC: -6.62235654302223, Final model converged
[2024-06-02T11:20:20] Estimation window: 2002-04-17 - 2006-04-04, Best order: (5, 0, 3)-(1, 1), AIC: -6.62139886036503, Final model converged
[2024-06-02T11:21:13] Estimation window: 2002-04-18 - 2006-04-05, Best order: (5, 0, 3)-(1, 1), AIC: -6.61849458914755, Final model converged
[2024-06-02T11:21:41] Estimation window: 2002-04-19 - 2006-04-06, Best order: (3, 0, 1)-(1, 1), AIC: -6.62706727080865, Final model converged
[2024-06-02T11:22:10] Estimation window: 2002-04-22 - 2006-04-07, Best order: (2, 0, 2)-(1, 1), AIC: -6.63061358167633, Final model converged
[2024-06-02T11:22:40] Estimation window: 2002-04-23 - 2006-04-10, Best order: (5, 0, 5)-(1, 1), AIC: -6.64332959000637, Final model converged
[2024-06-02T11:23:10] Estimation window: 2002-04-24 - 2006-04-11, Best order: (5, 0, 5)-(1, 1), AIC: -6.64624324528705, Final model converged
[2024-06-02T11:23:39] Estimation window: 2002-04-25 - 2006-04-12, Best order: (3, 0, 4)-(1, 1), AIC: -6.62450367798694, Final model converged
[2024-06-02T11:24:09] Estimation window: 2002-04-26 - 2006-04-13, Best order: (2, 0, 3)-(1, 1), AIC: -6.62356182855698, Final model converged
[2024-06-02T11:24:39] Estimation window: 2002-04-29 - 2006-04-17, Best order: (2, 0, 3)-(1, 1), AIC: -6.63282297736098, Final model converged
[2024-06-02T11:25:08] Estimation window: 2002-04-30 - 2006-04-18, Best order: (3, 0, 5)-(1, 1), AIC: -6.63075152433065, Final model converged
[2024-06-02T11:25:40] Estimation window: 2002-05-01 - 2006-04-19, Best order: (5, 0, 3)-(1, 1), AIC: -6.62117890385008, Final model converged
[2024-06-02T11:26:10] Estimation window: 2002-05-02 - 2006-04-20, Best order: (4, 0, 3)-(1, 1), AIC: -6.62274711670228, Final model converged
[2024-06-02T11:26:44] Estimation window: 2002-05-03 - 2006-04-21, Best order: (5, 0, 5)-(1, 1), AIC: -6.62837342096764, Final model FAILED to converge
[2024-06-02T11:27:15] Estimation window: 2002-05-06 - 2006-04-24, Best order: (4, 0, 2)-(1, 1), AIC: -6.62561390647673, Final model converged
[2024-06-02T11:27:45] Estimation window: 2002-05-07 - 2006-04-25, Best order: (5, 0, 2)-(1, 1), AIC: -6.64059156578186, Final model converged
[2024-06-02T11:28:15] Estimation window: 2002-05-08 - 2006-04-26, Best order: (2, 0, 4)-(1, 1), AIC: -6.65142204640553, Final model converged
[2024-06-02T11:29:04] Estimation window: 2002-05-09 - 2006-04-27, Best order: (5, 0, 4)-(1, 1), AIC: -6.64673698938298, Final model converged
[2024-06-02T11:29:44] Estimation window: 2002-05-10 - 2006-04-28, Best order: (5, 0, 4)-(1, 1), AIC: -6.66777091781381, Final model FAILED to converge
[2024-06-02T11:30:31] Estimation window: 2002-05-13 - 2006-05-01, Best order: (4, 0, 5)-(1, 1), AIC: -6.67409289589248, Final model FAILED to converge
[2024-06-02T11:31:00] Estimation window: 2002-05-14 - 2006-05-02, Best order: (4, 0, 4)-(1, 1), AIC: -6.67177658500252, Final model FAILED to converge
[2024-06-02T11:31:31] Estimation window: 2002-05-15 - 2006-05-03, Best order: (4, 0, 5)-(1, 1), AIC: -6.65514018846019, Final model converged
[2024-06-02T11:32:04] Estimation window: 2002-05-16 - 2006-05-04, Best order: (5, 0, 4)-(1, 1), AIC: -6.65502001424132, Final model converged
[2024-06-02T11:32:34] Estimation window: 2002-05-17 - 2006-05-05, Best order: (4, 0, 5)-(1, 1), AIC: -6.6622003322772, Final model converged
[2024-06-02T11:33:03] Estimation window: 2002-05-20 - 2006-05-08, Best order: (3, 0, 2)-(1, 1), AIC: -6.67064615387462, Final model converged
[2024-06-02T11:33:33] Estimation window: 2002-05-21 - 2006-05-09, Best order: (2, 0, 3)-(1, 1), AIC: -6.66472055076352, Final model converged
[2024-06-02T11:34:02] Estimation window: 2002-05-22 - 2006-05-10, Best order: (5, 0, 4)-(1, 1), AIC: -6.67766820723993, Final model converged
[2024-06-02T11:34:33] Estimation window: 2002-05-23 - 2006-05-11, Best order: (4, 0, 4)-(1, 1), AIC: -6.66304490342538, Final model converged
[2024-06-02T11:35:05] Estimation window: 2002-05-24 - 2006-05-12, Best order: (2, 0, 3)-(1, 1), AIC: -6.66019388854428, Final model converged
[2024-06-02T11:35:36] Estimation window: 2002-05-28 - 2006-05-15, Best order: (2, 0, 3)-(1, 1), AIC: -6.66413826113015, Final model converged
[2024-06-02T11:36:09] Estimation window: 2002-05-29 - 2006-05-16, Best order: (5, 0, 4)-(1, 1), AIC: -6.6582361256044, Final model converged
[2024-06-02T11:37:01] Estimation window: 2002-05-30 - 2006-05-17, Best order: (5, 0, 3)-(1, 1), AIC: -6.66337942624357, Final model converged
[2024-06-02T11:37:32] Estimation window: 2002-05-31 - 2006-05-18, Best order: (5, 0, 3)-(1, 1), AIC: -6.68456767289251, Final model converged
[2024-06-02T11:38:27] Estimation window: 2002-06-03 - 2006-05-19, Best order: (5, 0, 5)-(1, 1), AIC: -6.66405662781237, Final model converged
[2024-06-02T11:39:11] Estimation window: 2002-06-04 - 2006-05-22, Best order: (5, 0, 3)-(1, 1), AIC: -6.66885099455506, Final model converged
[2024-06-02T11:40:02] Estimation window: 2002-06-05 - 2006-05-23, Best order: (3, 0, 2)-(1, 1), AIC: -6.66103928677902, Final model converged
[2024-06-02T11:40:39] Estimation window: 2002-06-06 - 2006-05-24, Best order: (4, 0, 4)-(1, 1), AIC: -6.66633309134822, Final model converged
[2024-06-02T11:41:32] Estimation window: 2002-06-07 - 2006-05-25, Best order: (5, 0, 5)-(1, 1), AIC: -6.67740208026709, Final model converged
[2024-06-02T11:42:02] Estimation window: 2002-06-10 - 2006-05-26, Best order: (4, 0, 5)-(1, 1), AIC: -6.66124262364692, Final model converged
[2024-06-02T11:42:47] Estimation window: 2002-06-11 - 2006-05-30, Best order: (3, 0, 2)-(1, 1), AIC: -6.67484474202332, Final model converged
[2024-06-02T11:43:18] Estimation window: 2002-06-12 - 2006-05-31, Best order: (5, 0, 2)-(1, 1), AIC: -6.6583838819981, Final model converged
