,,MAE,MSE,RMSE,MAPE,ARC(%),ASD(%),MD,IR*(%),IR**(%)
,S&P 500,,,,,6.55,18.77,55.76,34.91,4.1
,arima_base_case,7.73e-03,1.47e-04,1.21e-02,inf,-3.61,18.78,63.1,-19.25,-1.1
,arima-garch_base_case,7.57e-03,1.41e-04,1.19e-02,inf,3.85,18.78,53.85,20.51,1.47
,arima-egarch_ged_1000,7.58e-03,1.42e-04,1.19e-02,inf,2.39,18.78,42.49,12.74,0.72
