,,MAE,MSE,RMSE,MAPE,ARC(%),ASD(%),MD,IR*(%),IR**(%)
,S&P 500,,,,,6.55,18.77,55.76,34.91,4.1
,arima_base_case,7.73e-03,1.47e-04,1.21e-02,inf,-3.61,18.78,63.1,-19.25,-1.1
,arima-garch_base_case,7.57e-03,1.41e-04,1.19e-02,inf,3.85,18.78,53.85,20.51,1.47
,arima-sgarch_snorm_1000,3.06e-02,2.35e-02,1.53e-01,inf,3.76,116.52,44.68,3.23,0.27
,arima-sgarch_sstd_1000,2.59e-02,1.87e-02,1.37e-01,inf,12.91,454.4,79.29,2.84,0.46
