[2024-06-01T01:55:56] Estimation window: 2014-08-04 - 2018-07-23, Best order: (1, 0, 0)-(1, 1), AIC: -7.14767384596887, Final model converged
[2024-06-01T01:56:32] Estimation window: 2014-08-05 - 2018-07-24, Best order: (4, 0, 3)-(1, 1), AIC: -7.1674393473768, Final model converged
[2024-06-01T01:57:07] Estimation window: 2014-08-06 - 2018-07-25, Best order: (5, 0, 4)-(1, 1), AIC: -7.14655211815637, Final model converged
[2024-06-01T01:57:43] Estimation window: 2014-08-07 - 2018-07-26, Best order: (3, 0, 5)-(1, 1), AIC: -7.14955844200342, Final model converged
[2024-06-01T01:58:17] Estimation window: 2014-08-08 - 2018-07-27, Best order: (0, 0, 1)-(1, 1), AIC: -7.14862577473296, Final model converged
[2024-06-01T01:58:50] Estimation window: 2014-08-11 - 2018-07-30, Best order: (1, 0, 0)-(1, 1), AIC: -7.14877823469303, Final model converged
[2024-06-01T01:59:25] Estimation window: 2014-08-12 - 2018-07-31, Best order: (1, 0, 0)-(1, 1), AIC: -7.14767622418309, Final model converged
[2024-06-01T02:00:00] Estimation window: 2014-08-13 - 2018-08-01, Best order: (5, 0, 3)-(1, 1), AIC: -7.13241893305385, Final model FAILED to converge
[2024-06-01T02:00:36] Estimation window: 2014-08-14 - 2018-08-02, Best order: (4, 0, 4)-(1, 1), AIC: -7.15853627155496, Final model converged
[2024-06-01T02:01:11] Estimation window: 2014-08-15 - 2018-08-03, Best order: (4, 0, 4)-(1, 1), AIC: -7.15330623761406, Final model converged
[2024-06-01T02:01:47] Estimation window: 2014-08-18 - 2018-08-06, Best order: (3, 0, 5)-(1, 1), AIC: -7.15251971343271, Final model FAILED to converge
[2024-06-01T02:02:22] Estimation window: 2014-08-19 - 2018-08-07, Best order: (3, 0, 5)-(1, 1), AIC: -7.14588467116413, Final model FAILED to converge
[2024-06-01T02:02:58] Estimation window: 2014-08-20 - 2018-08-08, Best order: (5, 0, 3)-(1, 1), AIC: -7.1371585049735, Final model FAILED to converge
[2024-06-01T02:03:33] Estimation window: 2014-08-21 - 2018-08-09, Best order: (4, 0, 5)-(1, 1), AIC: -7.14556579489853, Final model converged
[2024-06-01T02:04:09] Estimation window: 2014-08-22 - 2018-08-10, Best order: (1, 0, 0)-(1, 1), AIC: -7.1431931934838, Final model converged
[2024-06-01T02:04:46] Estimation window: 2014-08-25 - 2018-08-13, Best order: (4, 0, 3)-(1, 1), AIC: -7.15522458512244, Final model converged
[2024-06-01T02:05:21] Estimation window: 2014-08-26 - 2018-08-14, Best order: (1, 0, 0)-(1, 1), AIC: -7.14150304357194, Final model converged
[2024-06-01T02:05:56] Estimation window: 2014-08-27 - 2018-08-15, Best order: (1, 0, 0)-(1, 1), AIC: -7.13961959646253, Final model converged
[2024-06-01T02:06:32] Estimation window: 2014-08-28 - 2018-08-16, Best order: (1, 0, 0)-(1, 1), AIC: -7.13813548504839, Final model converged
[2024-06-01T02:07:08] Estimation window: 2014-08-29 - 2018-08-17, Best order: (4, 0, 3)-(1, 1), AIC: -7.13778114147616, Final model converged
[2024-06-01T02:07:44] Estimation window: 2014-09-02 - 2018-08-20, Best order: (3, 0, 4)-(1, 1), AIC: -7.13784334374389, Final model converged
[2024-06-01T02:08:20] Estimation window: 2014-09-03 - 2018-08-21, Best order: (1, 0, 0)-(1, 1), AIC: -7.13747870569061, Final model converged
[2024-06-01T02:08:57] Estimation window: 2014-09-04 - 2018-08-22, Best order: (5, 0, 5)-(1, 1), AIC: -7.13576270478216, Final model converged
[2024-06-01T02:09:34] Estimation window: 2014-09-05 - 2018-08-23, Best order: (5, 0, 5)-(1, 1), AIC: -7.14356627860122, Final model FAILED to converge
[2024-06-01T02:10:10] Estimation window: 2014-09-08 - 2018-08-24, Best order: (5, 0, 2)-(1, 1), AIC: -7.13694599872138, Final model converged
[2024-06-01T02:10:46] Estimation window: 2014-09-09 - 2018-08-27, Best order: (2, 0, 4)-(1, 1), AIC: -7.12713043835932, Final model converged
[2024-06-01T02:11:22] Estimation window: 2014-09-10 - 2018-08-28, Best order: (5, 0, 4)-(1, 1), AIC: -7.13943927413397, Final model converged
[2024-06-01T02:11:57] Estimation window: 2014-09-11 - 2018-08-29, Best order: (4, 0, 5)-(1, 1), AIC: -7.13887029318361, Final model converged
[2024-06-01T02:12:34] Estimation window: 2014-09-12 - 2018-08-30, Best order: (5, 0, 2)-(1, 1), AIC: -7.14568754481694, Final model converged
[2024-06-01T02:13:10] Estimation window: 2014-09-15 - 2018-08-31, Best order: (4, 0, 2)-(1, 1), AIC: -7.15008178301083, Final model converged
[2024-06-01T02:13:47] Estimation window: 2014-09-16 - 2018-09-04, Best order: (3, 0, 4)-(1, 1), AIC: -7.14749739961029, Final model converged
[2024-06-01T02:14:23] Estimation window: 2014-09-17 - 2018-09-05, Best order: (2, 0, 5)-(1, 1), AIC: -7.13531339781604, Final model converged
[2024-06-01T02:14:59] Estimation window: 2014-09-18 - 2018-09-06, Best order: (4, 0, 5)-(1, 1), AIC: -7.1366639152867, Final model converged
[2024-06-01T02:15:34] Estimation window: 2014-09-19 - 2018-09-07, Best order: (1, 0, 0)-(1, 1), AIC: -7.14280927550156, Final model converged
[2024-06-01T02:16:09] Estimation window: 2014-09-22 - 2018-09-10, Best order: (2, 0, 3)-(1, 1), AIC: -7.14227599223847, Final model converged
[2024-06-01T02:16:45] Estimation window: 2014-09-23 - 2018-09-11, Best order: (5, 0, 5)-(1, 1), AIC: -7.15912234161966, Final model converged
[2024-06-01T02:17:22] Estimation window: 2014-09-24 - 2018-09-12, Best order: (5, 0, 5)-(1, 1), AIC: -7.16306657144103, Final model converged
[2024-06-01T02:17:57] Estimation window: 2014-09-25 - 2018-09-13, Best order: (4, 0, 5)-(1, 1), AIC: -7.13803367137785, Final model converged
[2024-06-01T02:18:33] Estimation window: 2014-09-26 - 2018-09-14, Best order: (5, 0, 2)-(1, 1), AIC: -7.150035437846, Final model converged
[2024-06-01T02:19:08] Estimation window: 2014-09-29 - 2018-09-17, Best order: (4, 0, 2)-(1, 1), AIC: -7.15245519364975, Final model converged
[2024-06-01T02:19:43] Estimation window: 2014-09-30 - 2018-09-18, Best order: (3, 0, 3)-(1, 1), AIC: -7.17565939020174, Final model converged
[2024-06-01T02:20:25] Estimation window: 2014-10-01 - 2018-09-19, Best order: (4, 0, 5)-(1, 1), AIC: -7.19073441422728, Final model converged
[2024-06-01T02:21:01] Estimation window: 2014-10-02 - 2018-09-20, Best order: (4, 0, 4)-(1, 1), AIC: -7.16255833383417, Final model converged
[2024-06-01T02:21:38] Estimation window: 2014-10-03 - 2018-09-21, Best order: (3, 0, 4)-(1, 1), AIC: -7.16894499389393, Final model converged
[2024-06-01T02:22:13] Estimation window: 2014-10-06 - 2018-09-24, Best order: (1, 0, 0)-(1, 1), AIC: -7.15852844643328, Final model converged
