[2024-06-01T01:47:07] Estimation window: 2011-02-02 - 2015-01-23, Best order: (3, 0, 3)-(1, 1), AIC: -6.80949874786671, Final model converged
[2024-06-01T01:47:40] Estimation window: 2011-02-03 - 2015-01-26, Best order: (4, 0, 3)-(1, 1), AIC: -6.79865944911964, Final model converged
[2024-06-01T01:48:12] Estimation window: 2011-02-04 - 2015-01-27, Best order: (3, 0, 4)-(1, 1), AIC: -6.78622498814544, Final model converged
[2024-06-01T01:48:44] Estimation window: 2011-02-07 - 2015-01-28, Best order: (4, 0, 4)-(1, 1), AIC: -6.80594222518158, Final model FAILED to converge
[2024-06-01T01:49:17] Estimation window: 2011-02-08 - 2015-01-29, Best order: (4, 0, 3)-(1, 1), AIC: -6.78417063504236, Final model converged
[2024-06-01T01:49:50] Estimation window: 2011-02-09 - 2015-01-30, Best order: (3, 0, 5)-(1, 1), AIC: -6.78837064741521, Final model converged
[2024-06-01T01:50:23] Estimation window: 2011-02-10 - 2015-02-02, Best order: (3, 0, 5)-(1, 1), AIC: -6.77780322177474, Final model converged
[2024-06-01T01:50:56] Estimation window: 2011-02-11 - 2015-02-03, Best order: (3, 0, 5)-(1, 1), AIC: -6.77671455566415, Final model converged
[2024-06-01T01:51:30] Estimation window: 2011-02-14 - 2015-02-04, Best order: (3, 0, 5)-(1, 1), AIC: -6.78563819449613, Final model converged
[2024-06-01T01:52:05] Estimation window: 2011-02-15 - 2015-02-05, Best order: (5, 0, 5)-(1, 1), AIC: -6.78490837724704, Final model converged
[2024-06-01T01:52:40] Estimation window: 2011-02-16 - 2015-02-06, Best order: (5, 0, 5)-(1, 1), AIC: -6.7968414634772, Final model converged
[2024-06-01T01:53:13] Estimation window: 2011-02-17 - 2015-02-09, Best order: (5, 0, 5)-(1, 1), AIC: -6.80980379933355, Final model converged
[2024-06-01T01:53:48] Estimation window: 2011-02-18 - 2015-02-10, Best order: (3, 0, 5)-(1, 1), AIC: -6.78525318199278, Final model converged
[2024-06-01T01:54:23] Estimation window: 2011-02-22 - 2015-02-11, Best order: (3, 0, 5)-(1, 1), AIC: -6.80502771418015, Final model converged
[2024-06-01T01:54:57] Estimation window: 2011-02-23 - 2015-02-12, Best order: (4, 0, 4)-(1, 1), AIC: -6.80390258977607, Final model converged
[2024-06-01T01:55:31] Estimation window: 2011-02-24 - 2015-02-13, Best order: (3, 0, 3)-(1, 1), AIC: -6.78788496172239, Final model converged
[2024-06-01T01:56:06] Estimation window: 2011-02-25 - 2015-02-17, Best order: (5, 0, 3)-(1, 1), AIC: -6.8059418442262, Final model converged
[2024-06-01T01:56:41] Estimation window: 2011-02-28 - 2015-02-18, Best order: (5, 0, 3)-(1, 1), AIC: -6.79506425177754, Final model converged
[2024-06-01T01:57:15] Estimation window: 2011-03-01 - 2015-02-19, Best order: (5, 0, 4)-(1, 1), AIC: -6.7993022010108, Final model converged
[2024-06-01T01:57:50] Estimation window: 2011-03-02 - 2015-02-20, Best order: (3, 0, 5)-(1, 1), AIC: -6.7967926491301, Final model converged
[2024-06-01T01:58:24] Estimation window: 2011-03-03 - 2015-02-23, Best order: (3, 0, 5)-(1, 1), AIC: -6.79839579961485, Final model converged
[2024-06-01T01:58:59] Estimation window: 2011-03-04 - 2015-02-24, Best order: (5, 0, 4)-(1, 1), AIC: -6.81570246208126, Final model converged
[2024-06-01T01:59:35] Estimation window: 2011-03-07 - 2015-02-25, Best order: (4, 0, 5)-(1, 1), AIC: -6.81992985505622, Final model converged
[2024-06-01T02:00:08] Estimation window: 2011-03-08 - 2015-02-26, Best order: (3, 0, 5)-(1, 1), AIC: -6.80054011652567, Final model converged
[2024-06-01T02:00:41] Estimation window: 2011-03-09 - 2015-02-27, Best order: (3, 0, 3)-(1, 1), AIC: -6.81946042050483, Final model converged
[2024-06-01T02:01:15] Estimation window: 2011-03-10 - 2015-03-02, Best order: (5, 0, 5)-(1, 1), AIC: -6.81317092480368, Final model converged
[2024-06-01T02:01:50] Estimation window: 2011-03-11 - 2015-03-03, Best order: (5, 0, 5)-(1, 1), AIC: -6.82445309895579, Final model converged
[2024-06-01T02:02:26] Estimation window: 2011-03-14 - 2015-03-04, Best order: (5, 0, 3)-(1, 1), AIC: -6.81047863974687, Final model converged
[2024-06-01T02:03:01] Estimation window: 2011-03-15 - 2015-03-05, Best order: (5, 0, 5)-(1, 1), AIC: -6.83720953445217, Final model converged
[2024-06-01T02:03:35] Estimation window: 2011-03-16 - 2015-03-06, Best order: (4, 0, 4)-(1, 1), AIC: -6.83133740585505, Final model converged
[2024-06-01T02:04:09] Estimation window: 2011-03-17 - 2015-03-09, Best order: (2, 0, 2)-(1, 1), AIC: -6.83284828002886, Final model converged
[2024-06-01T02:04:43] Estimation window: 2011-03-18 - 2015-03-10, Best order: (5, 0, 5)-(1, 1), AIC: -6.81787052270032, Final model converged
[2024-06-01T02:05:17] Estimation window: 2011-03-21 - 2015-03-11, Best order: (5, 0, 5)-(1, 1), AIC: -6.83085066384638, Final model converged
[2024-06-01T02:05:49] Estimation window: 2011-03-22 - 2015-03-12, Best order: (1, 0, 3)-(1, 1), AIC: -6.81221370345842, Final model converged
[2024-06-01T02:06:22] Estimation window: 2011-03-23 - 2015-03-13, Best order: (4, 0, 4)-(1, 1), AIC: -6.82754497690158, Final model FAILED to converge
[2024-06-01T02:06:55] Estimation window: 2011-03-24 - 2015-03-16, Best order: (3, 0, 4)-(1, 1), AIC: -6.80693342770688, Final model converged
[2024-06-01T02:07:26] Estimation window: 2011-03-25 - 2015-03-17, Best order: (1, 0, 3)-(1, 1), AIC: -6.80842109287868, Final model converged
[2024-06-01T02:07:58] Estimation window: 2011-03-28 - 2015-03-18, Best order: (1, 0, 3)-(1, 1), AIC: -6.8057291385723, Final model converged
[2024-06-01T02:08:31] Estimation window: 2011-03-29 - 2015-03-19, Best order: (1, 0, 3)-(1, 1), AIC: -6.80446513623356, Final model converged
[2024-06-01T02:09:03] Estimation window: 2011-03-30 - 2015-03-20, Best order: (1, 0, 3)-(1, 1), AIC: -6.80397695696768, Final model converged
[2024-06-01T02:09:36] Estimation window: 2011-03-31 - 2015-03-23, Best order: (5, 0, 5)-(1, 1), AIC: -6.80912394239416, Final model converged
[2024-06-01T02:10:07] Estimation window: 2011-04-01 - 2015-03-24, Best order: (5, 0, 3)-(1, 1), AIC: -6.80930552926824, Final model converged
[2024-06-01T02:10:39] Estimation window: 2011-04-04 - 2015-03-25, Best order: (5, 0, 5)-(1, 1), AIC: -6.80496681039319, Final model converged
[2024-06-01T02:11:11] Estimation window: 2011-04-05 - 2015-03-26, Best order: (5, 0, 5)-(1, 1), AIC: -6.80509724064104, Final model converged
[2024-06-01T02:11:44] Estimation window: 2011-04-06 - 2015-03-27, Best order: (5, 0, 4)-(1, 1), AIC: -6.81524058680624, Final model converged
[2024-06-01T02:12:17] Estimation window: 2011-04-07 - 2015-03-30, Best order: (5, 0, 5)-(1, 1), AIC: -6.80360078429717, Final model converged
[2024-06-01T02:12:52] Estimation window: 2011-04-08 - 2015-03-31, Best order: (5, 0, 5)-(1, 1), AIC: -6.81177034049628, Final model converged
[2024-06-01T02:13:25] Estimation window: 2011-04-11 - 2015-04-01, Best order: (4, 0, 5)-(1, 1), AIC: -6.81399099551945, Final model converged
[2024-06-01T02:13:59] Estimation window: 2011-04-12 - 2015-04-02, Best order: (4, 0, 5)-(1, 1), AIC: -6.81384408184576, Final model converged
[2024-06-01T02:14:32] Estimation window: 2011-04-13 - 2015-04-06, Best order: (4, 0, 4)-(1, 1), AIC: -6.79932097689498, Final model converged
[2024-06-01T02:15:06] Estimation window: 2011-04-14 - 2015-04-07, Best order: (5, 0, 5)-(1, 1), AIC: -6.80247877846028, Final model converged
[2024-06-01T02:15:41] Estimation window: 2011-04-15 - 2015-04-08, Best order: (4, 0, 4)-(1, 1), AIC: -6.81673149059015, Final model converged
[2024-06-01T02:16:18] Estimation window: 2011-04-18 - 2015-04-09, Best order: (4, 0, 5)-(1, 1), AIC: -6.81351003345051, Final model converged
[2024-06-01T02:16:51] Estimation window: 2011-04-19 - 2015-04-10, Best order: (4, 0, 4)-(1, 1), AIC: -6.81664430184708, Final model converged
[2024-06-01T02:17:25] Estimation window: 2011-04-20 - 2015-04-13, Best order: (5, 0, 4)-(1, 1), AIC: -6.81551601828588, Final model converged
[2024-06-01T02:17:57] Estimation window: 2011-04-21 - 2015-04-14, Best order: (4, 0, 5)-(1, 1), AIC: -6.81691196284231, Final model converged
[2024-06-01T02:18:30] Estimation window: 2011-04-25 - 2015-04-15, Best order: (4, 0, 5)-(1, 1), AIC: -6.81639021737356, Final model converged
[2024-06-01T02:19:02] Estimation window: 2011-04-26 - 2015-04-16, Best order: (4, 0, 4)-(1, 1), AIC: -6.79488855681528, Final model converged
[2024-06-01T02:19:34] Estimation window: 2011-04-27 - 2015-04-17, Best order: (4, 0, 5)-(1, 1), AIC: -6.81488238055077, Final model converged
[2024-06-01T02:20:09] Estimation window: 2011-04-28 - 2015-04-20, Best order: (5, 0, 5)-(1, 1), AIC: -6.82493362932943, Final model converged
[2024-06-01T02:20:42] Estimation window: 2011-04-29 - 2015-04-21, Best order: (4, 0, 5)-(1, 1), AIC: -6.79920355961916, Final model converged
[2024-06-01T02:21:15] Estimation window: 2011-05-02 - 2015-04-22, Best order: (5, 0, 4)-(1, 1), AIC: -6.79991485387069, Final model converged
[2024-06-01T02:21:50] Estimation window: 2011-05-03 - 2015-04-23, Best order: (5, 0, 4)-(1, 1), AIC: -6.80078777588147, Final model converged
[2024-06-01T02:22:24] Estimation window: 2011-05-04 - 2015-04-24, Best order: (4, 0, 5)-(1, 1), AIC: -6.81777044708845, Final model converged
[2024-06-01T02:22:58] Estimation window: 2011-05-05 - 2015-04-27, Best order: (4, 0, 3)-(1, 1), AIC: -6.79818888435242, Final model converged
[2024-06-01T02:23:32] Estimation window: 2011-05-06 - 2015-04-28, Best order: (4, 0, 4)-(1, 1), AIC: -6.79772190765922, Final model converged
[2024-06-01T02:24:05] Estimation window: 2011-05-09 - 2015-04-29, Best order: (4, 0, 5)-(1, 1), AIC: -6.8281580378967, Final model converged
[2024-06-01T02:24:40] Estimation window: 2011-05-10 - 2015-04-30, Best order: (4, 0, 4)-(1, 1), AIC: -6.79724190200748, Final model converged
[2024-06-01T02:25:13] Estimation window: 2011-05-11 - 2015-05-01, Best order: (3, 0, 3)-(1, 1), AIC: -6.81107418728787, Final model converged
[2024-06-01T02:25:46] Estimation window: 2011-05-12 - 2015-05-04, Best order: (5, 0, 4)-(1, 1), AIC: -6.82046645182989, Final model converged
[2024-06-01T02:26:22] Estimation window: 2011-05-13 - 2015-05-05, Best order: (4, 0, 5)-(1, 1), AIC: -6.81826787665884, Final model converged
[2024-06-01T02:26:56] Estimation window: 2011-05-16 - 2015-05-06, Best order: (4, 0, 5)-(1, 1), AIC: -6.81849512537352, Final model converged
[2024-06-01T02:27:32] Estimation window: 2011-05-17 - 2015-05-07, Best order: (5, 0, 5)-(1, 1), AIC: -6.80391347567417, Final model converged
[2024-06-01T02:28:04] Estimation window: 2011-05-18 - 2015-05-08, Best order: (2, 0, 3)-(1, 1), AIC: -6.81172042657451, Final model converged
[2024-06-01T02:28:38] Estimation window: 2011-05-19 - 2015-05-11, Best order: (2, 0, 2)-(1, 1), AIC: -6.79871290359425, Final model converged
[2024-06-01T02:29:14] Estimation window: 2011-05-20 - 2015-05-12, Best order: (4, 0, 4)-(1, 1), AIC: -6.80998946171761, Final model FAILED to converge
[2024-06-01T02:29:47] Estimation window: 2011-05-23 - 2015-05-13, Best order: (4, 0, 5)-(1, 1), AIC: -6.81672621418322, Final model converged
[2024-06-01T02:30:20] Estimation window: 2011-05-24 - 2015-05-14, Best order: (4, 0, 5)-(1, 1), AIC: -6.81758418985243, Final model converged
[2024-06-01T02:30:54] Estimation window: 2011-05-25 - 2015-05-15, Best order: (5, 0, 4)-(1, 1), AIC: -6.82086835920505, Final model FAILED to converge
[2024-06-01T02:31:28] Estimation window: 2011-05-26 - 2015-05-18, Best order: (2, 0, 2)-(1, 1), AIC: -6.80208160533081, Final model converged
[2024-06-01T02:32:08] Estimation window: 2011-05-27 - 2015-05-19, Best order: (5, 0, 3)-(1, 1), AIC: -6.81516102946887, Final model converged
[2024-06-01T02:32:44] Estimation window: 2011-05-31 - 2015-05-20, Best order: (5, 0, 5)-(1, 1), AIC: -6.83591383828749, Final model converged
[2024-06-01T02:33:20] Estimation window: 2011-06-01 - 2015-05-21, Best order: (5, 0, 5)-(1, 1), AIC: -6.81940512341677, Final model converged
[2024-06-01T02:33:58] Estimation window: 2011-06-02 - 2015-05-22, Best order: (5, 0, 5)-(1, 1), AIC: -6.82289870169249, Final model converged
[2024-06-01T02:34:34] Estimation window: 2011-06-03 - 2015-05-26, Best order: (4, 0, 5)-(1, 1), AIC: -6.83063015502991, Final model converged
[2024-06-01T02:35:10] Estimation window: 2011-06-06 - 2015-05-27, Best order: (5, 0, 3)-(1, 1), AIC: -6.8217335520962, Final model converged
[2024-06-01T02:35:43] Estimation window: 2011-06-07 - 2015-05-28, Best order: (1, 0, 3)-(1, 1), AIC: -6.81547086940854, Final model converged
[2024-06-01T02:36:18] Estimation window: 2011-06-08 - 2015-05-29, Best order: (3, 0, 1)-(1, 1), AIC: -6.81570717194776, Final model converged
[2024-06-01T02:36:54] Estimation window: 2011-06-09 - 2015-06-01, Best order: (4, 0, 5)-(1, 1), AIC: -6.83767164321832, Final model converged
[2024-06-01T02:37:30] Estimation window: 2011-06-10 - 2015-06-02, Best order: (3, 0, 3)-(1, 1), AIC: -6.8284606285685, Final model converged
[2024-06-01T02:38:05] Estimation window: 2011-06-13 - 2015-06-03, Best order: (3, 0, 4)-(1, 1), AIC: -6.81864381406692, Final model converged
[2024-06-01T02:38:42] Estimation window: 2011-06-14 - 2015-06-04, Best order: (5, 0, 5)-(1, 1), AIC: -6.82908570493456, Final model converged
[2024-06-01T02:39:20] Estimation window: 2011-06-15 - 2015-06-05, Best order: (5, 0, 5)-(1, 1), AIC: -6.8515840868463, Final model converged
[2024-06-01T02:39:56] Estimation window: 2011-06-16 - 2015-06-08, Best order: (5, 0, 4)-(1, 1), AIC: -6.84049830014354, Final model converged
[2024-06-01T02:40:33] Estimation window: 2011-06-17 - 2015-06-09, Best order: (4, 0, 4)-(1, 1), AIC: -6.8422934310966, Final model converged
[2024-06-01T02:41:08] Estimation window: 2011-06-20 - 2015-06-10, Best order: (5, 0, 4)-(1, 1), AIC: -6.83008044698286, Final model converged
[2024-06-01T02:41:43] Estimation window: 2011-06-21 - 2015-06-11, Best order: (5, 0, 5)-(1, 1), AIC: -6.82758439302353, Final model converged
[2024-06-01T02:42:20] Estimation window: 2011-06-22 - 2015-06-12, Best order: (5, 0, 5)-(1, 1), AIC: -6.84328713958004, Final model converged
[2024-06-01T02:42:56] Estimation window: 2011-06-23 - 2015-06-15, Best order: (5, 0, 4)-(1, 1), AIC: -6.85442061994022, Final model FAILED to converge
[2024-06-01T02:43:33] Estimation window: 2011-06-24 - 2015-06-16, Best order: (5, 0, 4)-(1, 1), AIC: -6.8394280759018, Final model converged
