[2024-05-31T22:39:08] Estimation window: 2004-10-19 - 2008-10-07, Best order: (5, 0, 5), AIC: -6301.78, Final model converged
[2024-05-31T22:39:23] Estimation window: 2004-10-20 - 2008-10-08, Best order: (5, 0, 4), AIC: -6298.5, Final model converged
[2024-05-31T22:39:41] Estimation window: 2004-10-21 - 2008-10-09, Best order: (5, 0, 3), AIC: -6244.48, Final model converged
[2024-05-31T22:40:00] Estimation window: 2004-10-22 - 2008-10-10, Best order: (5, 0, 4), AIC: -6246.51, Final model converged
[2024-05-31T22:40:21] Estimation window: 2004-10-25 - 2008-10-13, Best order: (5, 0, 5), AIC: -6159.6, Final model converged
[2024-05-31T22:40:40] Estimation window: 2004-10-26 - 2008-10-14, Best order: (5, 0, 5), AIC: -6157.92, Final model converged
[2024-05-31T22:40:57] Estimation window: 2004-10-27 - 2008-10-15, Best order: (5, 0, 5), AIC: -6109.82, Final model converged
[2024-05-31T22:41:16] Estimation window: 2004-10-28 - 2008-10-16, Best order: (4, 0, 4), AIC: -6106.56, Final model converged
[2024-05-31T22:41:34] Estimation window: 2004-10-29 - 2008-10-17, Best order: (5, 0, 5), AIC: -6103, Final model converged
[2024-05-31T22:41:50] Estimation window: 2004-11-01 - 2008-10-20, Best order: (5, 0, 2), AIC: -6085.65, Final model converged
[2024-05-31T22:42:07] Estimation window: 2004-11-02 - 2008-10-21, Best order: (5, 0, 2), AIC: -6084.32, Final model converged
[2024-05-31T22:42:27] Estimation window: 2004-11-03 - 2008-10-22, Best order: (4, 0, 5), AIC: -6083.07, Final model converged
[2024-05-31T22:42:48] Estimation window: 2004-11-04 - 2008-10-23, Best order: (4, 0, 5), AIC: -6079.69, Final model converged
[2024-05-31T22:43:07] Estimation window: 2004-11-05 - 2008-10-24, Best order: (5, 0, 4), AIC: -6053.57, Final model converged
[2024-05-31T22:43:31] Estimation window: 2004-11-08 - 2008-10-27, Best order: (4, 0, 5), AIC: -6059.8, Final model converged
[2024-05-31T22:43:52] Estimation window: 2004-11-09 - 2008-10-28, Best order: (5, 0, 3), AIC: -6004.02, Final model converged
[2024-05-31T22:44:14] Estimation window: 2004-11-10 - 2008-10-29, Best order: (5, 0, 3), AIC: -6000.61, Final model converged
[2024-05-31T22:44:42] Estimation window: 2004-11-11 - 2008-10-30, Best order: (5, 0, 5), AIC: -5992.4, Final model converged
[2024-05-31T22:45:01] Estimation window: 2004-11-12 - 2008-10-31, Best order: (4, 0, 2), AIC: -5990.35, Final model converged
[2024-05-31T22:45:21] Estimation window: 2004-11-15 - 2008-11-03, Best order: (4, 0, 2), AIC: -5984.43, Final model converged
[2024-05-31T22:45:41] Estimation window: 2004-11-16 - 2008-11-04, Best order: (5, 0, 4), AIC: -5992.39, Final model converged
[2024-05-31T22:45:59] Estimation window: 2004-11-17 - 2008-11-05, Best order: (4, 0, 2), AIC: -5960.69, Final model converged
[2024-05-31T22:46:17] Estimation window: 2004-11-18 - 2008-11-06, Best order: (4, 0, 2), AIC: -5954.83, Final model converged
[2024-05-31T22:46:33] Estimation window: 2004-11-19 - 2008-11-07, Best order: (4, 0, 2), AIC: -5954.2, Final model converged
[2024-05-31T22:46:49] Estimation window: 2004-11-22 - 2008-11-10, Best order: (4, 0, 2), AIC: -5954.3, Final model converged
[2024-05-31T22:47:10] Estimation window: 2004-11-23 - 2008-11-11, Best order: (5, 0, 3), AIC: -5953.65, Final model converged
[2024-05-31T22:47:33] Estimation window: 2004-11-24 - 2008-11-12, Best order: (4, 0, 5), AIC: -5939.54, Final model converged
[2024-05-31T22:47:54] Estimation window: 2004-11-26 - 2008-11-13, Best order: (4, 0, 4), AIC: -5905.15, Final model converged
[2024-05-31T22:48:15] Estimation window: 2004-11-29 - 2008-11-14, Best order: (4, 0, 4), AIC: -5890.5, Final model converged
[2024-05-31T22:48:36] Estimation window: 2004-11-30 - 2008-11-17, Best order: (5, 0, 4), AIC: -5886.58, Final model converged
[2024-05-31T22:48:57] Estimation window: 2004-12-01 - 2008-11-18, Best order: (5, 0, 5), AIC: -5875.54, Final model converged
[2024-05-31T22:49:14] Estimation window: 2004-12-02 - 2008-11-19, Best order: (5, 0, 4), AIC: -5859.9, Final model converged
[2024-05-31T22:49:32] Estimation window: 2004-12-03 - 2008-11-20, Best order: (3, 0, 5), AIC: -5821.55, Final model converged
[2024-05-31T22:49:58] Estimation window: 2004-12-06 - 2008-11-21, Best order: (5, 0, 5), AIC: -5812.52, Final model converged
[2024-05-31T22:50:19] Estimation window: 2004-12-07 - 2008-11-24, Best order: (4, 0, 5), AIC: -5788.5, Final model converged
[2024-05-31T22:50:41] Estimation window: 2004-12-08 - 2008-11-25, Best order: (4, 0, 5), AIC: -5790.89, Final model converged
[2024-05-31T22:51:05] Estimation window: 2004-12-09 - 2008-11-26, Best order: (4, 0, 5), AIC: -5781.91, Final model converged
[2024-05-31T22:51:26] Estimation window: 2004-12-10 - 2008-11-28, Best order: (4, 0, 5), AIC: -5782.07, Final model converged
[2024-05-31T22:51:48] Estimation window: 2004-12-13 - 2008-12-01, Best order: (4, 0, 5), AIC: -5747.2, Final model converged
[2024-05-31T22:52:12] Estimation window: 2004-12-14 - 2008-12-02, Best order: (4, 0, 5), AIC: -5744.18, Final model converged
[2024-05-31T22:52:39] Estimation window: 2004-12-15 - 2008-12-03, Best order: (4, 0, 5), AIC: -5739.38, Final model converged
[2024-05-31T22:53:00] Estimation window: 2004-12-16 - 2008-12-04, Best order: (4, 0, 5), AIC: -5739.11, Final model converged
[2024-05-31T22:53:19] Estimation window: 2004-12-17 - 2008-12-05, Best order: (4, 0, 5), AIC: -5729.59, Final model converged
[2024-05-31T22:53:38] Estimation window: 2004-12-20 - 2008-12-08, Best order: (4, 0, 5), AIC: -5724.45, Final model converged
[2024-05-31T22:53:59] Estimation window: 2004-12-21 - 2008-12-09, Best order: (5, 0, 5), AIC: -5724.19, Final model converged
