[2024-05-31T22:47:48] Estimation window: 2002-02-06 - 2006-01-25, Best order: (5, 0, 4), AIC: -6223.63, Final model converged
[2024-05-31T22:48:13] Estimation window: 2002-02-07 - 2006-01-26, Best order: (4, 0, 5), AIC: -6223.25, Final model converged
[2024-05-31T22:48:37] Estimation window: 2002-02-08 - 2006-01-27, Best order: (5, 0, 4), AIC: -6223.28, Final model converged
[2024-05-31T22:49:00] Estimation window: 2002-02-11 - 2006-01-30, Best order: (5, 0, 4), AIC: -6224.48, Final model converged
[2024-05-31T22:49:19] Estimation window: 2002-02-12 - 2006-01-31, Best order: (4, 0, 5), AIC: -6218.89, Final model converged
[2024-05-31T22:49:43] Estimation window: 2002-02-13 - 2006-02-01, Best order: (5, 0, 5), AIC: -6227.93, Final model converged
[2024-05-31T22:50:07] Estimation window: 2002-02-14 - 2006-02-02, Best order: (5, 0, 5), AIC: -6225.61, Final model converged
[2024-05-31T22:50:31] Estimation window: 2002-02-15 - 2006-02-03, Best order: (5, 0, 4), AIC: -6226.57, Final model converged
[2024-05-31T22:50:51] Estimation window: 2002-02-19 - 2006-02-06, Best order: (5, 0, 4), AIC: -6219.45, Final model converged
[2024-05-31T22:51:15] Estimation window: 2002-02-20 - 2006-02-07, Best order: (4, 0, 5), AIC: -6229.6, Final model converged
[2024-05-31T22:51:35] Estimation window: 2002-02-21 - 2006-02-08, Best order: (4, 0, 5), AIC: -6221.62, Final model converged
[2024-05-31T22:51:54] Estimation window: 2002-02-22 - 2006-02-09, Best order: (4, 0, 5), AIC: -6221.39, Final model converged
[2024-05-31T22:52:29] Estimation window: 2002-02-25 - 2006-02-10, Best order: (4, 0, 5), AIC: -6232.97, Final model converged
[2024-05-31T22:52:58] Estimation window: 2002-02-26 - 2006-02-13, Best order: (5, 0, 4), AIC: -6234.65, Final model converged
[2024-05-31T22:53:22] Estimation window: 2002-02-27 - 2006-02-14, Best order: (5, 0, 5), AIC: -6235.15, Final model converged
[2024-05-31T22:53:40] Estimation window: 2002-02-28 - 2006-02-15, Best order: (5, 0, 5), AIC: -6232.58, Final model converged
[2024-05-31T22:54:01] Estimation window: 2002-03-01 - 2006-02-16, Best order: (5, 0, 5), AIC: -6232.18, Final model converged
[2024-05-31T22:54:23] Estimation window: 2002-03-04 - 2006-02-17, Best order: (4, 0, 5), AIC: -6238.08, Final model converged
[2024-05-31T22:54:46] Estimation window: 2002-03-05 - 2006-02-21, Best order: (5, 0, 4), AIC: -6240.11, Final model converged
[2024-05-31T22:55:06] Estimation window: 2002-03-06 - 2006-02-22, Best order: (5, 0, 5), AIC: -6239.35, Final model converged
[2024-05-31T22:55:29] Estimation window: 2002-03-07 - 2006-02-23, Best order: (5, 0, 4), AIC: -6240.55, Final model converged
[2024-05-31T22:55:52] Estimation window: 2002-03-08 - 2006-02-24, Best order: (5, 0, 5), AIC: -6238.83, Final model converged
[2024-05-31T22:56:15] Estimation window: 2002-03-11 - 2006-02-27, Best order: (5, 0, 4), AIC: -6242.47, Final model converged
[2024-05-31T22:56:38] Estimation window: 2002-03-12 - 2006-02-28, Best order: (4, 0, 5), AIC: -6239.69, Final model converged
[2024-05-31T22:57:01] Estimation window: 2002-03-13 - 2006-03-01, Best order: (5, 0, 4), AIC: -6241.34, Final model converged
[2024-05-31T22:57:30] Estimation window: 2002-03-14 - 2006-03-02, Best order: (5, 0, 4), AIC: -6242.39, Final model converged
[2024-05-31T22:57:53] Estimation window: 2002-03-15 - 2006-03-03, Best order: (5, 0, 5), AIC: -6240.8, Final model converged
[2024-05-31T22:58:16] Estimation window: 2002-03-18 - 2006-03-06, Best order: (5, 0, 5), AIC: -6243.32, Final model converged
[2024-05-31T22:58:42] Estimation window: 2002-03-19 - 2006-03-07, Best order: (5, 0, 5), AIC: -6242.73, Final model converged
[2024-05-31T22:59:08] Estimation window: 2002-03-20 - 2006-03-08, Best order: (5, 0, 5), AIC: -6241.92, Final model converged
[2024-05-31T22:59:35] Estimation window: 2002-03-21 - 2006-03-09, Best order: (5, 0, 4), AIC: -6245.53, Final model converged
[2024-05-31T23:00:00] Estimation window: 2002-03-22 - 2006-03-10, Best order: (5, 0, 4), AIC: -6243.91, Final model converged
[2024-05-31T23:00:23] Estimation window: 2002-03-25 - 2006-03-13, Best order: (4, 0, 5), AIC: -6238.6, Final model converged
[2024-05-31T23:00:50] Estimation window: 2002-03-26 - 2006-03-14, Best order: (5, 0, 4), AIC: -6246.85, Final model converged
