[2024-05-31T22:57:23] Estimation window: 2006-05-22 - 2010-05-11, Best order: (2, 0, 5), AIC: -5365.99, Final model converged
[2024-05-31T22:57:43] Estimation window: 2006-05-23 - 2010-05-12, Best order: (2, 0, 5), AIC: -5364.62, Final model converged
[2024-05-31T22:58:01] Estimation window: 2006-05-24 - 2010-05-13, Best order: (4, 0, 5), AIC: -5361.03, Final model converged
[2024-05-31T22:58:19] Estimation window: 2006-05-25 - 2010-05-14, Best order: (2, 0, 5), AIC: -5362.9, Final model converged
[2024-05-31T22:58:44] Estimation window: 2006-05-26 - 2010-05-17, Best order: (5, 0, 2), AIC: -5364.47, Final model converged
[2024-05-31T22:59:06] Estimation window: 2006-05-30 - 2010-05-18, Best order: (5, 0, 5), AIC: -5360.09, Final model converged
[2024-05-31T22:59:28] Estimation window: 2006-05-31 - 2010-05-19, Best order: (2, 0, 5), AIC: -5362.52, Final model converged
[2024-05-31T22:59:48] Estimation window: 2006-06-01 - 2010-05-20, Best order: (2, 0, 5), AIC: -5357.73, Final model converged
[2024-05-31T23:00:05] Estimation window: 2006-06-02 - 2010-05-21, Best order: (2, 0, 5), AIC: -5357.84, Final model converged
[2024-05-31T23:00:26] Estimation window: 2006-06-05 - 2010-05-24, Best order: (2, 0, 5), AIC: -5357.21, Final model converged
[2024-05-31T23:00:46] Estimation window: 2006-06-06 - 2010-05-25, Best order: (2, 0, 5), AIC: -5358.48, Final model converged
[2024-05-31T23:01:04] Estimation window: 2006-06-07 - 2010-05-26, Best order: (2, 0, 5), AIC: -5358.28, Final model converged
[2024-05-31T23:01:25] Estimation window: 2006-06-08 - 2010-05-27, Best order: (5, 0, 5), AIC: -5354.08, Final model converged
[2024-05-31T23:01:48] Estimation window: 2006-06-09 - 2010-05-28, Best order: (2, 0, 5), AIC: -5354.83, Final model converged
[2024-05-31T23:02:08] Estimation window: 2006-06-12 - 2010-06-01, Best order: (5, 0, 5), AIC: -5353.52, Final model converged
[2024-05-31T23:02:25] Estimation window: 2006-06-13 - 2010-06-02, Best order: (2, 0, 5), AIC: -5353.16, Final model converged
[2024-05-31T23:02:44] Estimation window: 2006-06-14 - 2010-06-03, Best order: (2, 0, 5), AIC: -5352.95, Final model converged
[2024-05-31T23:03:03] Estimation window: 2006-06-15 - 2010-06-04, Best order: (5, 0, 3), AIC: -5347.31, Final model converged
