[2024-06-01T01:07:19] Estimation window: 2013-11-19 - 2017-11-07, Best order: (1, 0, 2), AIC: -6902.24, Final model converged
[2024-06-01T01:07:45] Estimation window: 2013-11-20 - 2017-11-08, Best order: (3, 0, 5), AIC: -6904.58, Final model converged
[2024-06-01T01:08:11] Estimation window: 2013-11-21 - 2017-11-09, Best order: (3, 0, 5), AIC: -6904.61, Final model converged
[2024-06-01T01:08:35] Estimation window: 2013-11-22 - 2017-11-10, Best order: (3, 0, 5), AIC: -6905.3, Final model converged
[2024-06-01T01:08:59] Estimation window: 2013-11-25 - 2017-11-13, Best order: (3, 0, 5), AIC: -6905.91, Final model converged
[2024-06-01T01:09:23] Estimation window: 2013-11-26 - 2017-11-14, Best order: (3, 0, 5), AIC: -6905.79, Final model converged
[2024-06-01T01:09:45] Estimation window: 2013-11-27 - 2017-11-15, Best order: (2, 0, 1), AIC: -6903.08, Final model converged
[2024-06-01T01:10:09] Estimation window: 2013-11-29 - 2017-11-16, Best order: (3, 0, 5), AIC: -6904.28, Final model converged
[2024-06-01T01:10:40] Estimation window: 2013-12-02 - 2017-11-17, Best order: (3, 0, 5), AIC: -6904.08, Final model converged
[2024-06-01T01:11:04] Estimation window: 2013-12-03 - 2017-11-20, Best order: (3, 0, 5), AIC: -6904.44, Final model converged
[2024-06-01T01:11:26] Estimation window: 2013-12-04 - 2017-11-21, Best order: (3, 0, 5), AIC: -6903.62, Final model converged
[2024-06-01T01:11:49] Estimation window: 2013-12-05 - 2017-11-22, Best order: (3, 0, 5), AIC: -6903.59, Final model converged
[2024-06-01T01:12:20] Estimation window: 2013-12-06 - 2017-11-24, Best order: (5, 0, 3), AIC: -6904.09, Final model converged
[2024-06-01T01:12:45] Estimation window: 2013-12-09 - 2017-11-27, Best order: (3, 0, 5), AIC: -6905.94, Final model converged
[2024-06-01T01:13:07] Estimation window: 2013-12-10 - 2017-11-28, Best order: (3, 0, 5), AIC: -6904.54, Final model converged
[2024-06-01T01:13:30] Estimation window: 2013-12-11 - 2017-11-29, Best order: (3, 0, 5), AIC: -6904.83, Final model converged
[2024-06-01T01:13:45] Estimation window: 2013-12-12 - 2017-11-30, Best order: (2, 0, 1), AIC: -6903.44, Final model converged
[2024-06-01T01:14:05] Estimation window: 2013-12-13 - 2017-12-01, Best order: (2, 0, 1), AIC: -6903.61, Final model converged
[2024-06-01T01:14:29] Estimation window: 2013-12-16 - 2017-12-04, Best order: (2, 0, 1), AIC: -6903.61, Final model converged
[2024-06-01T01:14:54] Estimation window: 2013-12-17 - 2017-12-05, Best order: (2, 0, 1), AIC: -6904.1, Final model converged
[2024-06-01T01:15:16] Estimation window: 2013-12-18 - 2017-12-06, Best order: (1, 0, 2), AIC: -6904.26, Final model converged
[2024-06-01T01:15:39] Estimation window: 2013-12-19 - 2017-12-07, Best order: (1, 0, 2), AIC: -6908.63, Final model converged
[2024-06-01T01:16:05] Estimation window: 2013-12-20 - 2017-12-08, Best order: (5, 0, 3), AIC: -6910.13, Final model converged
[2024-06-01T01:16:27] Estimation window: 2013-12-23 - 2017-12-11, Best order: (2, 0, 1), AIC: -6908.21, Final model converged
[2024-06-01T01:16:47] Estimation window: 2013-12-24 - 2017-12-12, Best order: (1, 0, 2), AIC: -6908.54, Final model converged
[2024-06-01T01:17:12] Estimation window: 2013-12-26 - 2017-12-13, Best order: (1, 0, 2), AIC: -6908.62, Final model converged
[2024-06-01T01:17:34] Estimation window: 2013-12-27 - 2017-12-14, Best order: (1, 0, 2), AIC: -6908.66, Final model converged
[2024-06-01T01:17:51] Estimation window: 2013-12-30 - 2017-12-15, Best order: (2, 0, 1), AIC: -6907.23, Final model converged
[2024-06-01T01:18:10] Estimation window: 2013-12-31 - 2017-12-18, Best order: (1, 0, 2), AIC: -6906.68, Final model converged
[2024-06-01T01:18:27] Estimation window: 2014-01-02 - 2017-12-19, Best order: (1, 0, 2), AIC: -6906.73, Final model converged
[2024-06-01T01:18:50] Estimation window: 2014-01-03 - 2017-12-20, Best order: (2, 0, 1), AIC: -6908.28, Final model converged
[2024-06-01T01:19:14] Estimation window: 2014-01-06 - 2017-12-21, Best order: (1, 0, 2), AIC: -6908.2, Final model converged
[2024-06-01T01:19:34] Estimation window: 2014-01-07 - 2017-12-22, Best order: (1, 0, 2), AIC: -6908.37, Final model converged
[2024-06-01T01:19:53] Estimation window: 2014-01-08 - 2017-12-26, Best order: (1, 0, 2), AIC: -6908.86, Final model converged
[2024-06-01T01:20:15] Estimation window: 2014-01-09 - 2017-12-27, Best order: (1, 0, 2), AIC: -6908.85, Final model converged
[2024-06-01T01:20:33] Estimation window: 2014-01-10 - 2017-12-28, Best order: (2, 0, 1), AIC: -6908.78, Final model converged
[2024-06-01T01:20:52] Estimation window: 2014-01-13 - 2017-12-29, Best order: (2, 0, 1), AIC: -6908.41, Final model converged
[2024-06-01T01:21:14] Estimation window: 2014-01-14 - 2018-01-02, Best order: (1, 0, 2), AIC: -6910.18, Final model converged
[2024-06-01T01:21:30] Estimation window: 2014-01-15 - 2018-01-03, Best order: (1, 0, 2), AIC: -6911.15, Final model converged
[2024-06-01T01:21:50] Estimation window: 2014-01-16 - 2018-01-04, Best order: (4, 0, 4), AIC: -6911.3, Final model converged
