[2024-05-31T22:39:06] Estimation window: 2002-09-13 - 2006-08-31, Best order: (4, 0, 4), AIC: -6579.11, Final model converged
[2024-05-31T22:39:18] Estimation window: 2002-09-16 - 2006-09-01, Best order: (4, 0, 4), AIC: -6579.07, Final model converged
[2024-05-31T22:39:38] Estimation window: 2002-09-17 - 2006-09-05, Best order: (5, 0, 5), AIC: -6588.39, Final model converged
[2024-05-31T22:39:54] Estimation window: 2002-09-18 - 2006-09-06, Best order: (5, 0, 5), AIC: -6590.64, Final model converged
[2024-05-31T22:40:09] Estimation window: 2002-09-19 - 2006-09-07, Best order: (4, 0, 4), AIC: -6582.1, Final model converged
[2024-05-31T22:40:26] Estimation window: 2002-09-20 - 2006-09-08, Best order: (4, 0, 3), AIC: -6598.44, Final model converged
[2024-05-31T22:40:46] Estimation window: 2002-09-23 - 2006-09-11, Best order: (5, 0, 5), AIC: -6604.06, Final model converged
[2024-05-31T22:41:01] Estimation window: 2002-09-24 - 2006-09-12, Best order: (4, 0, 4), AIC: -6597.2, Final model converged
[2024-05-31T22:41:21] Estimation window: 2002-09-25 - 2006-09-13, Best order: (5, 0, 5), AIC: -6606.7, Final model converged
[2024-05-31T22:41:39] Estimation window: 2002-09-26 - 2006-09-14, Best order: (5, 0, 4), AIC: -6607.53, Final model converged
[2024-05-31T22:41:57] Estimation window: 2002-09-27 - 2006-09-15, Best order: (4, 0, 4), AIC: -6608.95, Final model converged
[2024-05-31T22:42:17] Estimation window: 2002-09-30 - 2006-09-18, Best order: (4, 0, 4), AIC: -6622.5, Final model converged
[2024-05-31T22:42:39] Estimation window: 2002-10-01 - 2006-09-19, Best order: (5, 0, 4), AIC: -6626.4, Final model converged
[2024-05-31T22:43:02] Estimation window: 2002-10-02 - 2006-09-20, Best order: (5, 0, 5), AIC: -6648.61, Final model converged
[2024-05-31T22:43:26] Estimation window: 2002-10-03 - 2006-09-21, Best order: (4, 0, 4), AIC: -6647.84, Final model converged
[2024-05-31T22:43:52] Estimation window: 2002-10-04 - 2006-09-22, Best order: (5, 0, 5), AIC: -6658.48, Final model converged
[2024-05-31T22:44:18] Estimation window: 2002-10-07 - 2006-09-25, Best order: (3, 0, 4), AIC: -6657.64, Final model converged
[2024-05-31T22:44:49] Estimation window: 2002-10-08 - 2006-09-26, Best order: (5, 0, 5), AIC: -6672.14, Final model converged
[2024-05-31T22:45:19] Estimation window: 2002-10-09 - 2006-09-27, Best order: (4, 0, 5), AIC: -6676.6, Final model converged
[2024-05-31T22:45:50] Estimation window: 2002-10-10 - 2006-09-28, Best order: (5, 0, 5), AIC: -6687.73, Final model converged
[2024-05-31T22:46:17] Estimation window: 2002-10-11 - 2006-09-29, Best order: (3, 0, 5), AIC: -6700.45, Final model converged
[2024-05-31T22:46:41] Estimation window: 2002-10-14 - 2006-10-02, Best order: (4, 0, 5), AIC: -6716.22, Final model converged
[2024-05-31T22:47:05] Estimation window: 2002-10-15 - 2006-10-03, Best order: (4, 0, 4), AIC: -6723.37, Final model converged
[2024-05-31T22:47:30] Estimation window: 2002-10-16 - 2006-10-04, Best order: (5, 0, 5), AIC: -6748.76, Final model converged
[2024-05-31T22:47:53] Estimation window: 2002-10-17 - 2006-10-05, Best order: (4, 0, 4), AIC: -6747.82, Final model converged
