[2024-05-31T22:39:07] Estimation window: 2005-06-30 - 2009-06-19, Best order: (5, 0, 2), AIC: -5440.72, Final model converged
[2024-05-31T22:39:20] Estimation window: 2005-07-01 - 2009-06-22, Best order: (5, 0, 2), AIC: -5438.68, Final model converged
[2024-05-31T22:39:38] Estimation window: 2005-07-05 - 2009-06-23, Best order: (5, 0, 2), AIC: -5438.58, Final model converged
[2024-05-31T22:39:54] Estimation window: 2005-07-06 - 2009-06-24, Best order: (5, 0, 2), AIC: -5438.5, Final model converged
[2024-05-31T22:40:11] Estimation window: 2005-07-07 - 2009-06-25, Best order: (5, 0, 2), AIC: -5436.95, Final model converged
[2024-05-31T22:40:28] Estimation window: 2005-07-08 - 2009-06-26, Best order: (5, 0, 2), AIC: -5436.76, Final model converged
[2024-05-31T22:40:47] Estimation window: 2005-07-11 - 2009-06-29, Best order: (5, 0, 2), AIC: -5437.32, Final model converged
[2024-05-31T22:41:04] Estimation window: 2005-07-12 - 2009-06-30, Best order: (5, 0, 2), AIC: -5437.35, Final model converged
[2024-05-31T22:41:21] Estimation window: 2005-07-13 - 2009-07-01, Best order: (5, 0, 2), AIC: -5437.36, Final model converged
[2024-05-31T22:41:41] Estimation window: 2005-07-14 - 2009-07-02, Best order: (5, 0, 2), AIC: -5434.27, Final model converged
[2024-05-31T22:42:00] Estimation window: 2005-07-15 - 2009-07-06, Best order: (5, 0, 2), AIC: -5434.27, Final model converged
[2024-05-31T22:42:20] Estimation window: 2005-07-18 - 2009-07-07, Best order: (5, 0, 2), AIC: -5432.33, Final model converged
[2024-05-31T22:42:40] Estimation window: 2005-07-19 - 2009-07-08, Best order: (5, 0, 2), AIC: -5432.37, Final model converged
[2024-05-31T22:43:02] Estimation window: 2005-07-20 - 2009-07-09, Best order: (5, 0, 2), AIC: -5432.68, Final model converged
[2024-05-31T22:43:27] Estimation window: 2005-07-21 - 2009-07-10, Best order: (5, 0, 2), AIC: -5432.67, Final model converged
[2024-05-31T22:43:53] Estimation window: 2005-07-22 - 2009-07-13, Best order: (5, 0, 2), AIC: -5430.16, Final model converged
[2024-05-31T22:44:18] Estimation window: 2005-07-25 - 2009-07-14, Best order: (4, 0, 5), AIC: -5428.86, Final model converged
[2024-05-31T22:44:42] Estimation window: 2005-07-26 - 2009-07-15, Best order: (5, 0, 2), AIC: -5425.31, Final model converged
[2024-05-31T22:45:06] Estimation window: 2005-07-27 - 2009-07-16, Best order: (5, 0, 2), AIC: -5424.43, Final model converged
[2024-05-31T22:45:32] Estimation window: 2005-07-28 - 2009-07-17, Best order: (5, 0, 2), AIC: -5425.03, Final model converged
[2024-05-31T22:45:53] Estimation window: 2005-07-29 - 2009-07-20, Best order: (5, 0, 2), AIC: -5424.51, Final model converged
[2024-05-31T22:46:17] Estimation window: 2005-08-01 - 2009-07-21, Best order: (5, 0, 2), AIC: -5424.5, Final model converged
[2024-05-31T22:46:41] Estimation window: 2005-08-02 - 2009-07-22, Best order: (5, 0, 2), AIC: -5423.66, Final model converged
[2024-05-31T22:47:03] Estimation window: 2005-08-03 - 2009-07-23, Best order: (5, 0, 2), AIC: -5423.1, Final model converged
[2024-05-31T22:47:24] Estimation window: 2005-08-04 - 2009-07-24, Best order: (5, 0, 2), AIC: -5422.89, Final model converged
[2024-05-31T22:47:45] Estimation window: 2005-08-05 - 2009-07-27, Best order: (5, 0, 2), AIC: -5423.02, Final model converged
[2024-05-31T22:48:07] Estimation window: 2005-08-08 - 2009-07-28, Best order: (5, 0, 2), AIC: -5423.32, Final model converged
[2024-05-31T22:48:28] Estimation window: 2005-08-09 - 2009-07-29, Best order: (5, 0, 2), AIC: -5422.86, Final model converged
[2024-05-31T22:48:49] Estimation window: 2005-08-10 - 2009-07-30, Best order: (5, 0, 2), AIC: -5422.63, Final model converged
[2024-05-31T22:49:09] Estimation window: 2005-08-11 - 2009-07-31, Best order: (5, 0, 2), AIC: -5422.44, Final model converged
[2024-05-31T22:49:30] Estimation window: 2005-08-12 - 2009-08-03, Best order: (5, 0, 2), AIC: -5421.14, Final model converged
[2024-05-31T22:49:51] Estimation window: 2005-08-15 - 2009-08-04, Best order: (5, 0, 2), AIC: -5421.44, Final model converged
[2024-05-31T22:50:11] Estimation window: 2005-08-16 - 2009-08-05, Best order: (5, 0, 2), AIC: -5421.36, Final model converged
[2024-05-31T22:50:33] Estimation window: 2005-08-17 - 2009-08-06, Best order: (5, 0, 2), AIC: -5421.76, Final model converged
[2024-05-31T22:50:55] Estimation window: 2005-08-18 - 2009-08-07, Best order: (5, 0, 2), AIC: -5420.98, Final model converged
[2024-05-31T22:51:14] Estimation window: 2005-08-19 - 2009-08-10, Best order: (5, 0, 2), AIC: -5420.96, Final model converged
[2024-05-31T22:51:35] Estimation window: 2005-08-22 - 2009-08-11, Best order: (5, 0, 2), AIC: -5420.65, Final model converged
[2024-05-31T22:51:56] Estimation window: 2005-08-23 - 2009-08-12, Best order: (5, 0, 2), AIC: -5419.94, Final model converged
[2024-05-31T22:52:23] Estimation window: 2005-08-24 - 2009-08-13, Best order: (5, 0, 2), AIC: -5420.22, Final model converged
[2024-05-31T22:52:49] Estimation window: 2005-08-25 - 2009-08-14, Best order: (5, 0, 2), AIC: -5420.43, Final model converged
[2024-05-31T22:53:14] Estimation window: 2005-08-26 - 2009-08-17, Best order: (5, 0, 2), AIC: -5417.94, Final model converged
[2024-05-31T22:53:36] Estimation window: 2005-08-29 - 2009-08-18, Best order: (5, 0, 5), AIC: -5413.81, Final model converged
[2024-05-31T22:53:57] Estimation window: 2005-08-30 - 2009-08-19, Best order: (5, 0, 2), AIC: -5418.3, Final model converged
[2024-05-31T22:54:21] Estimation window: 2005-08-31 - 2009-08-20, Best order: (5, 0, 2), AIC: -5417.13, Final model converged
[2024-05-31T22:54:41] Estimation window: 2005-09-01 - 2009-08-21, Best order: (5, 0, 2), AIC: -5416.34, Final model converged
[2024-05-31T22:55:04] Estimation window: 2005-09-02 - 2009-08-24, Best order: (5, 0, 2), AIC: -5416.28, Final model converged
[2024-05-31T22:55:25] Estimation window: 2005-09-06 - 2009-08-25, Best order: (5, 0, 2), AIC: -5416.24, Final model converged
[2024-05-31T22:55:47] Estimation window: 2005-09-07 - 2009-08-26, Best order: (5, 0, 2), AIC: -5416.73, Final model converged
[2024-05-31T22:56:08] Estimation window: 2005-09-08 - 2009-08-27, Best order: (5, 0, 2), AIC: -5416.61, Final model converged
[2024-05-31T22:56:30] Estimation window: 2005-09-09 - 2009-08-28, Best order: (5, 0, 2), AIC: -5416.76, Final model converged
[2024-05-31T22:56:52] Estimation window: 2005-09-12 - 2009-08-31, Best order: (5, 0, 2), AIC: -5416.52, Final model converged
[2024-05-31T22:57:13] Estimation window: 2005-09-13 - 2009-09-01, Best order: (5, 0, 2), AIC: -5414.71, Final model converged
[2024-05-31T22:57:34] Estimation window: 2005-09-14 - 2009-09-02, Best order: (5, 0, 2), AIC: -5414.77, Final model converged
[2024-05-31T22:57:56] Estimation window: 2005-09-15 - 2009-09-03, Best order: (5, 0, 2), AIC: -5414.62, Final model converged
[2024-05-31T22:58:19] Estimation window: 2005-09-16 - 2009-09-04, Best order: (5, 0, 2), AIC: -5413.83, Final model converged
[2024-05-31T22:58:42] Estimation window: 2005-09-19 - 2009-09-08, Best order: (5, 0, 2), AIC: -5413.54, Final model converged
[2024-05-31T22:59:04] Estimation window: 2005-09-20 - 2009-09-09, Best order: (5, 0, 2), AIC: -5413.37, Final model converged
[2024-05-31T22:59:27] Estimation window: 2005-09-21 - 2009-09-10, Best order: (5, 0, 2), AIC: -5413.28, Final model converged
[2024-05-31T22:59:48] Estimation window: 2005-09-22 - 2009-09-11, Best order: (5, 0, 2), AIC: -5413.66, Final model converged
[2024-05-31T23:00:08] Estimation window: 2005-09-23 - 2009-09-14, Best order: (5, 0, 2), AIC: -5413.7, Final model converged
[2024-05-31T23:00:31] Estimation window: 2005-09-26 - 2009-09-15, Best order: (5, 0, 2), AIC: -5413.59, Final model converged
[2024-05-31T23:00:56] Estimation window: 2005-09-27 - 2009-09-16, Best order: (5, 0, 2), AIC: -5412.62, Final model converged
[2024-05-31T23:01:18] Estimation window: 2005-09-28 - 2009-09-17, Best order: (5, 0, 2), AIC: -5412.64, Final model converged
[2024-05-31T23:01:40] Estimation window: 2005-09-29 - 2009-09-18, Best order: (5, 0, 2), AIC: -5412.11, Final model converged
[2024-05-31T23:02:02] Estimation window: 2005-09-30 - 2009-09-21, Best order: (5, 0, 2), AIC: -5412.87, Final model converged
[2024-05-31T23:02:26] Estimation window: 2005-10-03 - 2009-09-22, Best order: (5, 0, 2), AIC: -5412.75, Final model converged
[2024-05-31T23:02:49] Estimation window: 2005-10-04 - 2009-09-23, Best order: (5, 0, 2), AIC: -5412.64, Final model converged
