[2024-06-01T01:00:30] Estimation window: 2011-10-13 - 2015-10-05, Best order: (1, 0, 4), AIC: -6665.65, Final model converged
[2024-06-01T01:00:47] Estimation window: 2011-10-14 - 2015-10-06, Best order: (1, 0, 4), AIC: -6665.75, Final model converged
[2024-06-01T01:01:05] Estimation window: 2011-10-17 - 2015-10-07, Best order: (1, 0, 4), AIC: -6669.57, Final model converged
[2024-06-01T01:01:25] Estimation window: 2011-10-18 - 2015-10-08, Best order: (5, 0, 5), AIC: -6679.24, Final model converged
[2024-06-01T01:01:50] Estimation window: 2011-10-19 - 2015-10-09, Best order: (2, 0, 1), AIC: -6678.56, Final model converged
[2024-06-01T01:02:17] Estimation window: 2011-10-20 - 2015-10-12, Best order: (5, 0, 5), AIC: -6687.02, Final model converged
[2024-06-01T01:02:44] Estimation window: 2011-10-21 - 2015-10-13, Best order: (5, 0, 5), AIC: -6686.72, Final model converged
[2024-06-01T01:03:05] Estimation window: 2011-10-24 - 2015-10-14, Best order: (5, 0, 5), AIC: -6691.5, Final model converged
[2024-06-01T01:03:25] Estimation window: 2011-10-25 - 2015-10-15, Best order: (5, 0, 5), AIC: -6690.28, Final model converged
[2024-06-01T01:03:42] Estimation window: 2011-10-26 - 2015-10-16, Best order: (5, 0, 5), AIC: -6696.31, Final model converged
[2024-06-01T01:03:59] Estimation window: 2011-10-27 - 2015-10-19, Best order: (5, 0, 5), AIC: -6696.63, Final model converged
[2024-06-01T01:04:14] Estimation window: 2011-10-28 - 2015-10-20, Best order: (1, 0, 4), AIC: -6710.68, Final model converged
[2024-06-01T01:04:29] Estimation window: 2011-10-31 - 2015-10-21, Best order: (1, 0, 4), AIC: -6710.44, Final model converged
[2024-06-01T01:04:44] Estimation window: 2011-11-01 - 2015-10-22, Best order: (5, 0, 1), AIC: -6715.81, Final model converged
[2024-06-01T01:05:03] Estimation window: 2011-11-02 - 2015-10-23, Best order: (5, 0, 1), AIC: -6725.64, Final model converged
[2024-06-01T01:05:18] Estimation window: 2011-11-03 - 2015-10-26, Best order: (5, 0, 1), AIC: -6729.56, Final model converged
[2024-06-01T01:05:36] Estimation window: 2011-11-04 - 2015-10-27, Best order: (5, 0, 1), AIC: -6731.96, Final model converged
[2024-06-01T01:05:56] Estimation window: 2011-11-07 - 2015-10-28, Best order: (5, 0, 1), AIC: -6730.06, Final model converged
[2024-06-01T01:06:15] Estimation window: 2011-11-08 - 2015-10-29, Best order: (5, 0, 1), AIC: -6731.03, Final model converged
