[2024-05-31T23:44:04] Estimation window: 2006-11-21 - 2010-11-10, Best order: (2, 0, 5), AIC: -5315.36, Final model converged
[2024-05-31T23:44:34] Estimation window: 2006-11-22 - 2010-11-11, Best order: (2, 0, 5), AIC: -5315.3, Final model converged
[2024-05-31T23:45:08] Estimation window: 2006-11-24 - 2010-11-12, Best order: (5, 0, 2), AIC: -5316.19, Final model converged
[2024-05-31T23:45:42] Estimation window: 2006-11-27 - 2010-11-15, Best order: (5, 0, 2), AIC: -5316.22, Final model converged
[2024-05-31T23:46:17] Estimation window: 2006-11-28 - 2010-11-16, Best order: (2, 0, 5), AIC: -5314.27, Final model converged
[2024-05-31T23:46:44] Estimation window: 2006-11-29 - 2010-11-17, Best order: (2, 0, 5), AIC: -5314.19, Final model converged
[2024-05-31T23:47:28] Estimation window: 2006-11-30 - 2010-11-18, Best order: (2, 0, 5), AIC: -5314.12, Final model converged
[2024-05-31T23:48:28] Estimation window: 2006-12-01 - 2010-11-19, Best order: (5, 0, 5), AIC: -5312.91, Final model converged
[2024-05-31T23:48:57] Estimation window: 2006-12-04 - 2010-11-22, Best order: (2, 0, 5), AIC: -5313.9, Final model converged
[2024-05-31T23:49:21] Estimation window: 2006-12-05 - 2010-11-23, Best order: (2, 0, 5), AIC: -5313.66, Final model converged
[2024-05-31T23:49:46] Estimation window: 2006-12-06 - 2010-11-24, Best order: (2, 0, 5), AIC: -5313.1, Final model converged
[2024-05-31T23:50:11] Estimation window: 2006-12-07 - 2010-11-26, Best order: (2, 0, 5), AIC: -5312.9, Final model converged
[2024-05-31T23:50:35] Estimation window: 2006-12-08 - 2010-11-29, Best order: (5, 0, 5), AIC: -5312.02, Final model converged
[2024-05-31T23:50:57] Estimation window: 2006-12-11 - 2010-11-30, Best order: (2, 0, 5), AIC: -5312.76, Final model converged
[2024-05-31T23:51:26] Estimation window: 2006-12-12 - 2010-12-01, Best order: (2, 0, 5), AIC: -5308.75, Final model converged
[2024-05-31T23:51:52] Estimation window: 2006-12-13 - 2010-12-02, Best order: (5, 0, 2), AIC: -5311.63, Final model converged
[2024-05-31T23:52:16] Estimation window: 2006-12-14 - 2010-12-03, Best order: (5, 0, 2), AIC: -5311.36, Final model converged
[2024-05-31T23:52:40] Estimation window: 2006-12-15 - 2010-12-06, Best order: (5, 0, 2), AIC: -5311.61, Final model converged
[2024-05-31T23:53:06] Estimation window: 2006-12-18 - 2010-12-07, Best order: (5, 0, 2), AIC: -5311.62, Final model converged
[2024-05-31T23:53:28] Estimation window: 2006-12-19 - 2010-12-08, Best order: (2, 0, 5), AIC: -5310.44, Final model converged
[2024-05-31T23:53:49] Estimation window: 2006-12-20 - 2010-12-09, Best order: (2, 0, 5), AIC: -5309.41, Final model converged
[2024-05-31T23:54:13] Estimation window: 2006-12-21 - 2010-12-10, Best order: (2, 0, 5), AIC: -5310.25, Final model converged
[2024-05-31T23:54:34] Estimation window: 2006-12-22 - 2010-12-13, Best order: (2, 0, 5), AIC: -5310.24, Final model converged
[2024-05-31T23:54:56] Estimation window: 2006-12-26 - 2010-12-14, Best order: (2, 0, 5), AIC: -5310.36, Final model converged
[2024-05-31T23:55:18] Estimation window: 2006-12-27 - 2010-12-15, Best order: (2, 0, 5), AIC: -5310.35, Final model converged
[2024-05-31T23:55:38] Estimation window: 2006-12-28 - 2010-12-16, Best order: (4, 0, 5), AIC: -5304.38, Final model converged
[2024-05-31T23:55:59] Estimation window: 2006-12-29 - 2010-12-17, Best order: (2, 0, 5), AIC: -5310.25, Final model converged
[2024-05-31T23:56:19] Estimation window: 2007-01-03 - 2010-12-20, Best order: (2, 0, 5), AIC: -5310.33, Final model converged
