[2024-06-02T18:41:37] Estimation window: 2006-03-14 - 2010-03-03, Best order: (3, 0, 3)-(1, 1), AIC: -5.99810554559511, Final model converged
[2024-06-02T18:41:54] Estimation window: 2006-03-15 - 2010-03-04, Best order: (3, 0, 3)-(1, 1), AIC: -5.9988053286148, Final model converged
[2024-06-02T18:42:12] Estimation window: 2006-03-16 - 2010-03-05, Best order: (3, 0, 4)-(1, 1), AIC: -5.99547950118566, Final model converged
[2024-06-02T18:42:30] Estimation window: 2006-03-17 - 2010-03-08, Best order: (3, 0, 3)-(1, 1), AIC: -6.0008949927812, Final model converged
[2024-06-02T18:42:48] Estimation window: 2006-03-20 - 2010-03-09, Best order: (4, 0, 5)-(1, 1), AIC: -6.02322609341458, Final model converged
[2024-06-02T18:43:06] Estimation window: 2006-03-21 - 2010-03-10, Best order: (3, 0, 3)-(1, 1), AIC: -5.99634033309079, Final model converged
[2024-06-02T18:43:25] Estimation window: 2006-03-22 - 2010-03-11, Best order: (3, 0, 3)-(1, 1), AIC: -6.00140545458806, Final model converged
[2024-06-02T18:43:44] Estimation window: 2006-03-23 - 2010-03-12, Best order: (5, 0, 4)-(1, 1), AIC: -5.99249898290552, Final model converged
[2024-06-02T18:44:05] Estimation window: 2006-03-24 - 2010-03-15, Best order: (4, 0, 5)-(1, 1), AIC: -5.99433736051519, Final model converged
[2024-06-02T18:44:23] Estimation window: 2006-03-27 - 2010-03-16, Best order: (3, 0, 3)-(1, 1), AIC: -5.99751310408151, Final model converged
[2024-06-02T18:44:41] Estimation window: 2006-03-28 - 2010-03-17, Best order: (3, 0, 3)-(1, 1), AIC: -6.00011933454273, Final model converged
[2024-06-02T18:44:59] Estimation window: 2006-03-29 - 2010-03-18, Best order: (3, 0, 3)-(1, 1), AIC: -5.9976401701146, Final model converged
[2024-06-02T18:45:16] Estimation window: 2006-03-30 - 2010-03-19, Best order: (5, 0, 5)-(1, 1), AIC: -6.0050165728992, Final model converged
[2024-06-02T18:45:45] Estimation window: 2006-03-31 - 2010-03-22, Best order: (5, 0, 5)-(1, 1), AIC: -5.99803051630706, Final model FAILED to converge
[2024-06-02T18:46:02] Estimation window: 2006-04-03 - 2010-03-23, Best order: (3, 0, 3)-(1, 1), AIC: -6.00218219360887, Final model converged
[2024-06-02T18:46:22] Estimation window: 2006-04-04 - 2010-03-24, Best order: (4, 0, 5)-(1, 1), AIC: -6.00847690824732, Final model converged
[2024-06-02T18:46:40] Estimation window: 2006-04-05 - 2010-03-25, Best order: (5, 0, 5)-(1, 1), AIC: -6.00149073025576, Final model converged
[2024-06-02T18:46:57] Estimation window: 2006-04-06 - 2010-03-26, Best order: (5, 0, 5)-(1, 1), AIC: -6.01244002342618, Final model converged
[2024-06-02T18:47:15] Estimation window: 2006-04-07 - 2010-03-29, Best order: (3, 0, 3)-(1, 1), AIC: -6.00187672805056, Final model FAILED to converge
[2024-06-02T18:47:33] Estimation window: 2006-04-10 - 2010-03-30, Best order: (3, 0, 3)-(1, 1), AIC: -6.00648500082648, Final model converged
[2024-06-02T18:47:50] Estimation window: 2006-04-11 - 2010-03-31, Best order: (3, 0, 3)-(1, 1), AIC: -6.00488713721883, Final model converged
[2024-06-02T18:48:08] Estimation window: 2006-04-12 - 2010-04-01, Best order: (3, 0, 3)-(1, 1), AIC: -6.00603351363307, Final model converged
[2024-06-02T18:48:29] Estimation window: 2006-04-13 - 2010-04-05, Best order: (5, 0, 5)-(1, 1), AIC: -6.03951665577667, Final model FAILED to converge
[2024-06-02T18:48:47] Estimation window: 2006-04-17 - 2010-04-06, Best order: (5, 0, 3)-(1, 1), AIC: -6.01984197248947, Final model FAILED to converge
[2024-06-02T18:49:12] Estimation window: 2006-04-18 - 2010-04-07, Best order: (5, 0, 5)-(1, 1), AIC: -6.01454597233905, Final model converged
[2024-06-02T18:49:31] Estimation window: 2006-04-19 - 2010-04-08, Best order: (3, 0, 3)-(1, 1), AIC: -6.00760705540236, Final model converged
[2024-06-02T18:49:49] Estimation window: 2006-04-20 - 2010-04-09, Best order: (3, 0, 3)-(1, 1), AIC: -6.00826846834615, Final model converged
[2024-06-02T18:50:07] Estimation window: 2006-04-21 - 2010-04-12, Best order: (5, 0, 5)-(1, 1), AIC: -6.00579329998391, Final model converged
[2024-06-02T18:50:25] Estimation window: 2006-04-24 - 2010-04-13, Best order: (3, 0, 3)-(1, 1), AIC: -6.01207920385916, Final model converged
[2024-06-02T18:50:45] Estimation window: 2006-04-25 - 2010-04-14, Best order: (4, 0, 3)-(1, 1), AIC: -6.00586446454051, Final model converged
[2024-06-02T18:51:03] Estimation window: 2006-04-26 - 2010-04-15, Best order: (3, 0, 4)-(1, 1), AIC: -6.00690678134693, Final model converged
[2024-06-02T18:51:21] Estimation window: 2006-04-27 - 2010-04-16, Best order: (3, 0, 3)-(1, 1), AIC: -6.00436574694781, Final model converged
[2024-06-02T18:51:43] Estimation window: 2006-04-28 - 2010-04-19, Best order: (4, 0, 4)-(1, 1), AIC: -5.99554991579371, Final model converged
[2024-06-02T18:52:01] Estimation window: 2006-05-01 - 2010-04-20, Best order: (3, 0, 3)-(1, 1), AIC: -6.00503209185428, Final model converged
[2024-06-02T18:52:19] Estimation window: 2006-05-02 - 2010-04-21, Best order: (3, 0, 3)-(1, 1), AIC: -6.0060102352533, Final model converged
[2024-06-02T18:52:38] Estimation window: 2006-05-03 - 2010-04-22, Best order: (3, 0, 3)-(1, 1), AIC: -6.00784018502057, Final model converged
