[2024-06-02T05:51:36] Estimation window: 2013-03-12 - 2017-02-28, Best order: (4, 0, 5)-(1, 1), AIC: -6.98558463935925, Final model converged
[2024-06-02T05:52:01] Estimation window: 2013-03-13 - 2017-03-01, Best order: (4, 0, 5)-(1, 1), AIC: -6.98010411931755, Final model converged
[2024-06-02T05:52:24] Estimation window: 2013-03-14 - 2017-03-02, Best order: (3, 0, 5)-(1, 1), AIC: -6.97544846979804, Final model converged
[2024-06-02T05:52:48] Estimation window: 2013-03-15 - 2017-03-03, Best order: (3, 0, 4)-(1, 1), AIC: -6.97402929473593, Final model FAILED to converge
[2024-06-02T05:53:10] Estimation window: 2013-03-18 - 2017-03-06, Best order: (2, 0, 2)-(1, 1), AIC: -6.97021478197991, Final model FAILED to converge
[2024-06-02T05:53:33] Estimation window: 2013-03-19 - 2017-03-07, Best order: (4, 0, 4)-(1, 1), AIC: -6.98421149566766, Final model converged
[2024-06-02T05:53:57] Estimation window: 2013-03-20 - 2017-03-08, Best order: (4, 0, 4)-(1, 1), AIC: -6.99807897764669, Final model converged
[2024-06-02T05:54:20] Estimation window: 2013-03-21 - 2017-03-09, Best order: (4, 0, 3)-(1, 1), AIC: -6.97715913488507, Final model converged
[2024-06-02T05:54:42] Estimation window: 2013-03-22 - 2017-03-10, Best order: (2, 0, 1)-(1, 1), AIC: -6.98070211350114, Final model converged
[2024-06-02T05:55:05] Estimation window: 2013-03-25 - 2017-03-13, Best order: (5, 0, 5)-(1, 1), AIC: -6.98583706676797, Final model converged
[2024-06-02T05:55:28] Estimation window: 2013-03-26 - 2017-03-14, Best order: (3, 0, 4)-(1, 1), AIC: -6.90352548300882, Final model converged
[2024-06-02T05:55:51] Estimation window: 2013-03-27 - 2017-03-15, Best order: (4, 0, 3)-(1, 1), AIC: -6.94503143049907, Final model converged
[2024-06-02T05:56:13] Estimation window: 2013-03-28 - 2017-03-16, Best order: (5, 0, 4)-(1, 1), AIC: -6.98303750338943, Final model FAILED to converge
[2024-06-02T05:56:37] Estimation window: 2013-04-01 - 2017-03-17, Best order: (5, 0, 4)-(1, 1), AIC: -6.98251834332327, Final model converged
[2024-06-02T05:57:01] Estimation window: 2013-04-02 - 2017-03-20, Best order: (4, 0, 5)-(1, 1), AIC: -7.0072281913174, Final model converged
[2024-06-02T05:57:23] Estimation window: 2013-04-03 - 2017-03-21, Best order: (1, 0, 2)-(1, 1), AIC: -6.97932293711059, Final model converged
[2024-06-02T05:57:46] Estimation window: 2013-04-04 - 2017-03-22, Best order: (5, 0, 4)-(1, 1), AIC: -6.9802765949274, Final model converged
[2024-06-02T05:58:09] Estimation window: 2013-04-05 - 2017-03-23, Best order: (1, 0, 2)-(1, 1), AIC: -6.89370391525, Final model converged
[2024-06-02T05:58:32] Estimation window: 2013-04-08 - 2017-03-24, Best order: (4, 0, 5)-(1, 1), AIC: -6.98493410705916, Final model converged
[2024-06-02T05:58:58] Estimation window: 2013-04-09 - 2017-03-27, Best order: (5, 0, 5)-(1, 1), AIC: -6.91088718027842, Final model converged
[2024-06-02T05:59:23] Estimation window: 2013-04-10 - 2017-03-28, Best order: (5, 0, 4)-(1, 1), AIC: -7.00699084447072, Final model converged
[2024-06-02T05:59:52] Estimation window: 2013-04-11 - 2017-03-29, Best order: (5, 0, 4)-(1, 1), AIC: -6.98819938363856, Final model converged
[2024-06-02T06:00:15] Estimation window: 2013-04-12 - 2017-03-30, Best order: (5, 0, 5)-(1, 1), AIC: -6.98688458068192, Final model converged
[2024-06-02T06:00:39] Estimation window: 2013-04-15 - 2017-03-31, Best order: (5, 0, 5)-(1, 1), AIC: -6.99511458380187, Final model converged
[2024-06-02T06:01:15] Estimation window: 2013-04-16 - 2017-04-03, Best order: (5, 0, 5)-(1, 1), AIC: -7.00480840507716, Final model converged
[2024-06-02T06:01:45] Estimation window: 2013-04-17 - 2017-04-04, Best order: (4, 0, 5)-(1, 1), AIC: -6.99914941024127, Final model FAILED to converge
[2024-06-02T06:02:08] Estimation window: 2013-04-18 - 2017-04-05, Best order: (3, 0, 4)-(1, 1), AIC: -7.00688474139896, Final model converged
[2024-06-02T06:02:32] Estimation window: 2013-04-19 - 2017-04-06, Best order: (3, 0, 5)-(1, 1), AIC: -6.997801084265, Final model FAILED to converge
[2024-06-02T06:03:10] Estimation window: 2013-04-22 - 2017-04-07, Best order: (3, 0, 4)-(1, 1), AIC: -7.01008251447014, Final model converged
[2024-06-02T06:03:33] Estimation window: 2013-04-23 - 2017-04-10, Best order: (4, 0, 3)-(1, 1), AIC: -7.01242322262416, Final model converged
[2024-06-02T06:03:56] Estimation window: 2013-04-24 - 2017-04-11, Best order: (4, 0, 4)-(1, 1), AIC: -7.00977907360854, Final model FAILED to converge
[2024-06-02T06:04:19] Estimation window: 2013-04-25 - 2017-04-12, Best order: (3, 0, 3)-(1, 1), AIC: -7.01789866833569, Final model converged
[2024-06-02T06:04:42] Estimation window: 2013-04-26 - 2017-04-13, Best order: (3, 0, 4)-(1, 1), AIC: -6.93726902478963, Final model converged
[2024-06-02T06:05:06] Estimation window: 2013-04-29 - 2017-04-17, Best order: (5, 0, 5)-(1, 1), AIC: -6.93721863511985, Final model converged
[2024-06-02T06:05:30] Estimation window: 2013-04-30 - 2017-04-18, Best order: (5, 0, 5)-(1, 1), AIC: -7.02561857797949, Final model converged
[2024-06-02T06:05:53] Estimation window: 2013-05-01 - 2017-04-19, Best order: (5, 0, 2)-(1, 1), AIC: -7.00117010101415, Final model converged
[2024-06-02T06:06:18] Estimation window: 2013-05-02 - 2017-04-20, Best order: (4, 0, 4)-(1, 1), AIC: -7.04581942614662, Final model converged
[2024-06-02T06:06:51] Estimation window: 2013-05-03 - 2017-04-21, Best order: (1, 0, 2)-(1, 1), AIC: -7.00624325204333, Final model converged
[2024-06-02T06:07:10] Estimation window: 2013-05-06 - 2017-04-24, Best order: (2, 0, 1)-(1, 1), AIC: -7.01474364644028, Final model converged
[2024-06-02T06:07:30] Estimation window: 2013-05-07 - 2017-04-25, Best order: (5, 0, 4)-(1, 1), AIC: -7.01063487581022, Final model converged
[2024-06-02T06:07:51] Estimation window: 2013-05-08 - 2017-04-26, Best order: (3, 0, 4)-(1, 1), AIC: -6.94270061845761, Final model converged
[2024-06-02T06:08:11] Estimation window: 2013-05-09 - 2017-04-27, Best order: (1, 0, 2)-(1, 1), AIC: -6.92807811969882, Final model converged
[2024-06-02T06:08:32] Estimation window: 2013-05-10 - 2017-04-28, Best order: (3, 0, 3)-(1, 1), AIC: -7.0369252511099, Final model converged
[2024-06-02T06:08:53] Estimation window: 2013-05-13 - 2017-05-01, Best order: (3, 0, 4)-(1, 1), AIC: -7.03071449074733, Final model converged
[2024-06-02T06:09:14] Estimation window: 2013-05-14 - 2017-05-02, Best order: (5, 0, 4)-(1, 1), AIC: -7.02445448710066, Final model converged
[2024-06-02T06:09:34] Estimation window: 2013-05-15 - 2017-05-03, Best order: (5, 0, 4)-(1, 1), AIC: -7.02073556870193, Final model converged
[2024-06-02T06:09:54] Estimation window: 2013-05-16 - 2017-05-04, Best order: (4, 0, 5)-(1, 1), AIC: -7.02769434676016, Final model converged
[2024-06-02T06:10:14] Estimation window: 2013-05-17 - 2017-05-05, Best order: (3, 0, 4)-(1, 1), AIC: -7.02500805167384, Final model converged
[2024-06-02T06:10:34] Estimation window: 2013-05-20 - 2017-05-08, Best order: (5, 0, 5)-(1, 1), AIC: -7.02211435901419, Final model converged
[2024-06-02T06:10:53] Estimation window: 2013-05-21 - 2017-05-09, Best order: (5, 0, 4)-(1, 1), AIC: -7.02330884399875, Final model converged
[2024-06-02T06:11:13] Estimation window: 2013-05-22 - 2017-05-10, Best order: (4, 0, 5)-(1, 1), AIC: -7.02603225594035, Final model converged
[2024-06-02T06:11:32] Estimation window: 2013-05-23 - 2017-05-11, Best order: (3, 0, 4)-(1, 1), AIC: -7.0239363682, Final model converged
[2024-06-02T06:11:52] Estimation window: 2013-05-24 - 2017-05-12, Best order: (5, 0, 5)-(1, 1), AIC: -7.02980213320533, Final model FAILED to converge
[2024-06-02T06:12:11] Estimation window: 2013-05-28 - 2017-05-15, Best order: (5, 0, 4)-(1, 1), AIC: -7.0231827778273, Final model converged
[2024-06-02T06:13:02] Estimation window: 2013-05-29 - 2017-05-16, Best order: (3, 0, 5)-(1, 1), AIC: 247.083785208077, Final model FAILED to converge
[2024-06-02T06:13:24] Estimation window: 2013-05-30 - 2017-05-17, Best order: (4, 0, 3)-(1, 1), AIC: -7.01285793404925, Final model converged
[2024-06-02T06:13:43] Estimation window: 2013-05-31 - 2017-05-18, Best order: (5, 0, 5)-(1, 1), AIC: -7.04606535127583, Final model converged
[2024-06-02T06:14:14] Estimation window: 2013-06-03 - 2017-05-19, Best order: (5, 0, 5)-(1, 1), AIC: -7.03384699357968, Final model FAILED to converge
[2024-06-02T06:14:33] Estimation window: 2013-06-04 - 2017-05-22, Best order: (4, 0, 3)-(1, 1), AIC: -7.0328775752871, Final model converged
[2024-06-02T06:14:53] Estimation window: 2013-06-05 - 2017-05-23, Best order: (4, 0, 4)-(1, 1), AIC: -7.05069628205845, Final model converged
[2024-06-02T06:15:12] Estimation window: 2013-06-06 - 2017-05-24, Best order: (5, 0, 3)-(1, 1), AIC: -7.03558406544415, Final model converged
[2024-06-02T06:15:32] Estimation window: 2013-06-07 - 2017-05-25, Best order: (3, 0, 3)-(1, 1), AIC: -7.02038689494017, Final model converged
[2024-06-02T06:15:52] Estimation window: 2013-06-10 - 2017-05-26, Best order: (3, 0, 4)-(1, 1), AIC: -6.95525757074815, Final model converged
[2024-06-02T06:16:32] Estimation window: 2013-06-11 - 2017-05-30, Best order: (5, 0, 4)-(1, 1), AIC: -7.04332320093961, Final model converged
[2024-06-02T06:17:26] Estimation window: 2013-06-12 - 2017-05-31, Best order: (4, 0, 3)-(1, 1), AIC: -7.03673262473856, Final model converged
[2024-06-02T06:17:57] Estimation window: 2013-06-13 - 2017-06-01, Best order: (3, 0, 5)-(1, 1), AIC: -7.04465096562204, Final model converged
[2024-06-02T06:18:27] Estimation window: 2013-06-14 - 2017-06-02, Best order: (3, 0, 4)-(1, 1), AIC: -7.05600624428294, Final model converged
[2024-06-02T06:18:57] Estimation window: 2013-06-17 - 2017-06-05, Best order: (5, 0, 5)-(1, 1), AIC: -7.04644186813081, Final model FAILED to converge
[2024-06-02T06:19:29] Estimation window: 2013-06-18 - 2017-06-06, Best order: (4, 0, 3)-(1, 1), AIC: -7.03621560378676, Final model FAILED to converge
[2024-06-02T06:20:02] Estimation window: 2013-06-19 - 2017-06-07, Best order: (4, 0, 5)-(1, 1), AIC: -7.03683582427182, Final model FAILED to converge
[2024-06-02T06:20:50] Estimation window: 2013-06-20 - 2017-06-08, Best order: (5, 0, 4)-(1, 1), AIC: -7.06808629231865, Final model FAILED to converge
[2024-06-02T06:21:09] Estimation window: 2013-06-21 - 2017-06-09, Best order: (4, 0, 4)-(1, 1), AIC: -7.05539109133152, Final model converged
[2024-06-02T06:21:30] Estimation window: 2013-06-24 - 2017-06-12, Best order: (4, 0, 5)-(1, 1), AIC: -7.05943925982933, Final model FAILED to converge
[2024-06-02T06:21:48] Estimation window: 2013-06-25 - 2017-06-13, Best order: (5, 0, 3)-(1, 1), AIC: -7.07124530305249, Final model converged
[2024-06-02T06:22:10] Estimation window: 2013-06-26 - 2017-06-14, Best order: (5, 0, 3)-(1, 1), AIC: -7.05289809027485, Final model converged
[2024-06-02T06:22:29] Estimation window: 2013-06-27 - 2017-06-15, Best order: (4, 0, 4)-(1, 1), AIC: -7.06092514363702, Final model converged
[2024-06-02T06:22:48] Estimation window: 2013-06-28 - 2017-06-16, Best order: (5, 0, 4)-(1, 1), AIC: -7.06107182154067, Final model converged
[2024-06-02T06:23:06] Estimation window: 2013-07-01 - 2017-06-19, Best order: (3, 0, 3)-(1, 1), AIC: -7.06037469828488, Final model converged
[2024-06-02T06:23:26] Estimation window: 2013-07-02 - 2017-06-20, Best order: (3, 0, 3)-(1, 1), AIC: -7.06114813539671, Final model converged
[2024-06-02T06:23:44] Estimation window: 2013-07-03 - 2017-06-21, Best order: (3, 0, 4)-(1, 1), AIC: -7.06211244615269, Final model converged
[2024-06-02T06:24:03] Estimation window: 2013-07-05 - 2017-06-22, Best order: (4, 0, 5)-(1, 1), AIC: -7.06382982460343, Final model converged
