[2024-06-02T05:50:14] Estimation window: 2012-06-26 - 2016-06-16, Best order: (3, 0, 2)-(1, 1), AIC: -6.9040161021529, Final model converged
[2024-06-02T05:51:01] Estimation window: 2012-06-27 - 2016-06-17, Best order: (5, 0, 5)-(1, 1), AIC: -6.90982514175557, Final model FAILED to converge
[2024-06-02T05:51:25] Estimation window: 2012-06-28 - 2016-06-20, Best order: (3, 0, 3)-(1, 1), AIC: -6.91109451111222, Final model converged
[2024-06-02T05:51:49] Estimation window: 2012-06-29 - 2016-06-21, Best order: (2, 0, 2)-(1, 1), AIC: -6.90870826049562, Final model converged
[2024-06-02T05:52:16] Estimation window: 2012-07-02 - 2016-06-22, Best order: (5, 0, 5)-(1, 1), AIC: -6.91838464680326, Final model FAILED to converge
[2024-06-02T05:52:40] Estimation window: 2012-07-03 - 2016-06-23, Best order: (4, 0, 4)-(1, 1), AIC: -6.9126195900552, Final model converged
[2024-06-02T05:53:03] Estimation window: 2012-07-05 - 2016-06-24, Best order: (4, 0, 5)-(1, 1), AIC: -6.88872445160376, Final model converged
[2024-06-02T05:53:27] Estimation window: 2012-07-06 - 2016-06-27, Best order: (5, 0, 5)-(1, 1), AIC: -6.91118816946894, Final model converged
[2024-06-02T05:53:52] Estimation window: 2012-07-09 - 2016-06-28, Best order: (5, 0, 5)-(1, 1), AIC: -6.89833091506509, Final model converged
[2024-06-02T05:54:22] Estimation window: 2012-07-10 - 2016-06-29, Best order: (3, 0, 4)-(1, 1), AIC: -6.87815931473577, Final model converged
[2024-06-02T05:54:46] Estimation window: 2012-07-11 - 2016-06-30, Best order: (4, 0, 4)-(1, 1), AIC: -6.88607186668374, Final model converged
[2024-06-02T05:55:36] Estimation window: 2012-07-12 - 2016-07-01, Best order: (5, 0, 4)-(1, 1), AIC: -6.87355575981984, Final model FAILED to converge
[2024-06-02T05:56:01] Estimation window: 2012-07-13 - 2016-07-05, Best order: (3, 0, 3)-(1, 1), AIC: -6.88098037221671, Final model converged
[2024-06-02T05:56:26] Estimation window: 2012-07-16 - 2016-07-06, Best order: (5, 0, 5)-(1, 1), AIC: -6.8968960935786, Final model converged
[2024-06-02T05:56:51] Estimation window: 2012-07-17 - 2016-07-07, Best order: (5, 0, 3)-(1, 1), AIC: -6.872001881571, Final model converged
[2024-06-02T05:57:43] Estimation window: 2012-07-18 - 2016-07-08, Best order: (5, 0, 3)-(1, 1), AIC: -6.89582416877955, Final model converged
[2024-06-02T05:58:31] Estimation window: 2012-07-19 - 2016-07-11, Best order: (3, 0, 4)-(1, 1), AIC: -6.86993842336431, Final model converged
[2024-06-02T05:58:56] Estimation window: 2012-07-20 - 2016-07-12, Best order: (4, 0, 3)-(1, 1), AIC: -6.89176438888787, Final model converged
[2024-06-02T05:59:20] Estimation window: 2012-07-23 - 2016-07-13, Best order: (5, 0, 4)-(1, 1), AIC: -6.88339804447864, Final model FAILED to converge
[2024-06-02T05:59:56] Estimation window: 2012-07-24 - 2016-07-14, Best order: (4, 0, 5)-(1, 1), AIC: -6.88530751192025, Final model FAILED to converge
[2024-06-02T06:00:21] Estimation window: 2012-07-25 - 2016-07-15, Best order: (3, 0, 4)-(1, 1), AIC: -6.90013515719525, Final model FAILED to converge
[2024-06-02T06:00:59] Estimation window: 2012-07-26 - 2016-07-18, Best order: (4, 0, 4)-(1, 1), AIC: -6.88671812984845, Final model converged
[2024-06-02T06:01:36] Estimation window: 2012-07-27 - 2016-07-19, Best order: (3, 0, 4)-(1, 1), AIC: -6.89139490990362, Final model FAILED to converge
[2024-06-02T06:02:10] Estimation window: 2012-07-30 - 2016-07-20, Best order: (5, 0, 5)-(1, 1), AIC: -6.9068776281081, Final model converged
[2024-06-02T06:02:35] Estimation window: 2012-07-31 - 2016-07-21, Best order: (5, 0, 5)-(1, 1), AIC: -6.91055567042518, Final model FAILED to converge
[2024-06-02T06:02:59] Estimation window: 2012-08-01 - 2016-07-22, Best order: (4, 0, 3)-(1, 1), AIC: -6.89946060671166, Final model converged
[2024-06-02T06:03:24] Estimation window: 2012-08-02 - 2016-07-25, Best order: (4, 0, 2)-(1, 1), AIC: -6.91373888032859, Final model converged
[2024-06-02T06:03:48] Estimation window: 2012-08-03 - 2016-07-26, Best order: (4, 0, 5)-(1, 1), AIC: -6.89970133229661, Final model converged
[2024-06-02T06:04:12] Estimation window: 2012-08-06 - 2016-07-27, Best order: (5, 0, 5)-(1, 1), AIC: -6.92392951587946, Final model FAILED to converge
[2024-06-02T06:04:35] Estimation window: 2012-08-07 - 2016-07-28, Best order: (5, 0, 5)-(1, 1), AIC: -6.91773518867138, Final model converged
[2024-06-02T06:04:57] Estimation window: 2012-08-08 - 2016-07-29, Best order: (1, 0, 1)-(1, 1), AIC: -6.91248418194054, Final model converged
[2024-06-02T06:05:21] Estimation window: 2012-08-09 - 2016-08-01, Best order: (1, 0, 1)-(1, 1), AIC: -6.91249801607132, Final model converged
[2024-06-02T06:05:45] Estimation window: 2012-08-10 - 2016-08-02, Best order: (5, 0, 5)-(1, 1), AIC: -6.90909972114, Final model converged
[2024-06-02T06:06:08] Estimation window: 2012-08-13 - 2016-08-03, Best order: (3, 0, 4)-(1, 1), AIC: -6.90874060921738, Final model converged
[2024-06-02T06:06:31] Estimation window: 2012-08-14 - 2016-08-04, Best order: (5, 0, 4)-(1, 1), AIC: -6.90746284088977, Final model converged
[2024-06-02T06:06:53] Estimation window: 2012-08-15 - 2016-08-05, Best order: (5, 0, 5)-(1, 1), AIC: -6.92720206124388, Final model converged
[2024-06-02T06:07:14] Estimation window: 2012-08-16 - 2016-08-08, Best order: (5, 0, 4)-(1, 1), AIC: -6.81623566823679, Final model converged
[2024-06-02T06:07:34] Estimation window: 2012-08-17 - 2016-08-09, Best order: (3, 0, 3)-(1, 1), AIC: -6.90861862019691, Final model FAILED to converge
[2024-06-02T06:07:55] Estimation window: 2012-08-20 - 2016-08-10, Best order: (2, 0, 3)-(1, 1), AIC: -6.90738181696001, Final model converged
[2024-06-02T06:08:16] Estimation window: 2012-08-21 - 2016-08-11, Best order: (5, 0, 5)-(1, 1), AIC: -6.90692750232613, Final model converged
[2024-06-02T06:08:37] Estimation window: 2012-08-22 - 2016-08-12, Best order: (5, 0, 5)-(1, 1), AIC: -6.91547852277992, Final model converged
[2024-06-02T06:08:57] Estimation window: 2012-08-23 - 2016-08-15, Best order: (5, 0, 4)-(1, 1), AIC: -6.91001090023119, Final model converged
[2024-06-02T06:09:18] Estimation window: 2012-08-24 - 2016-08-16, Best order: (5, 0, 5)-(1, 1), AIC: -6.91094288966153, Final model converged
[2024-06-02T06:09:38] Estimation window: 2012-08-27 - 2016-08-17, Best order: (5, 0, 4)-(1, 1), AIC: -6.91930418246609, Final model converged
[2024-06-02T06:09:59] Estimation window: 2012-08-28 - 2016-08-18, Best order: (4, 0, 5)-(1, 1), AIC: -6.91035546777241, Final model converged
[2024-06-02T06:10:20] Estimation window: 2012-08-29 - 2016-08-19, Best order: (3, 0, 5)-(1, 1), AIC: -6.90946228251077, Final model converged
[2024-06-02T06:10:41] Estimation window: 2012-08-30 - 2016-08-22, Best order: (3, 0, 3)-(1, 1), AIC: -6.9087478797804, Final model converged
[2024-06-02T06:11:02] Estimation window: 2012-08-31 - 2016-08-23, Best order: (5, 0, 3)-(1, 1), AIC: -6.90777054006942, Final model converged
[2024-06-02T06:11:23] Estimation window: 2012-09-04 - 2016-08-24, Best order: (4, 0, 4)-(1, 1), AIC: -6.92319121402514, Final model converged
[2024-06-02T06:11:43] Estimation window: 2012-09-05 - 2016-08-25, Best order: (3, 0, 4)-(1, 1), AIC: -6.91976811589413, Final model FAILED to converge
[2024-06-02T06:12:16] Estimation window: 2012-09-06 - 2016-08-26, Best order: (3, 0, 4)-(1, 1), AIC: -6.92298273909626, Final model converged
[2024-06-02T06:12:38] Estimation window: 2012-09-07 - 2016-08-29, Best order: (5, 0, 4)-(1, 1), AIC: -6.94265149252875, Final model converged
[2024-06-02T06:12:59] Estimation window: 2012-09-10 - 2016-08-30, Best order: (5, 0, 5)-(1, 1), AIC: -6.93228239241617, Final model converged
[2024-06-02T06:13:19] Estimation window: 2012-09-11 - 2016-08-31, Best order: (3, 0, 4)-(1, 1), AIC: -6.93086188613504, Final model FAILED to converge
[2024-06-02T06:13:39] Estimation window: 2012-09-12 - 2016-09-01, Best order: (3, 0, 5)-(1, 1), AIC: -6.92255812035581, Final model converged
[2024-06-02T06:13:59] Estimation window: 2012-09-13 - 2016-09-02, Best order: (5, 0, 5)-(1, 1), AIC: -6.93137457926592, Final model converged
[2024-06-02T06:14:18] Estimation window: 2012-09-14 - 2016-09-06, Best order: (3, 0, 3)-(1, 1), AIC: -6.94134157753846, Final model converged
[2024-06-02T06:14:36] Estimation window: 2012-09-17 - 2016-09-07, Best order: (2, 0, 1)-(1, 1), AIC: -6.93461350588695, Final model converged
[2024-06-02T06:14:56] Estimation window: 2012-09-18 - 2016-09-08, Best order: (5, 0, 5)-(1, 1), AIC: -6.93894382484248, Final model FAILED to converge
[2024-06-02T06:15:15] Estimation window: 2012-09-19 - 2016-09-09, Best order: (5, 0, 5)-(1, 1), AIC: -6.9121091905371, Final model converged
[2024-06-02T06:15:34] Estimation window: 2012-09-20 - 2016-09-12, Best order: (3, 0, 5)-(1, 1), AIC: -6.91147247493424, Final model FAILED to converge
[2024-06-02T06:15:54] Estimation window: 2012-09-21 - 2016-09-13, Best order: (4, 0, 3)-(1, 1), AIC: -6.90580025762254, Final model FAILED to converge
[2024-06-02T06:16:13] Estimation window: 2012-09-24 - 2016-09-14, Best order: (5, 0, 5)-(1, 1), AIC: -6.91672511773684, Final model converged
[2024-06-02T06:16:32] Estimation window: 2012-09-25 - 2016-09-15, Best order: (2, 0, 1)-(1, 1), AIC: -6.89921339628263, Final model FAILED to converge
[2024-06-02T06:16:51] Estimation window: 2012-09-26 - 2016-09-16, Best order: (5, 0, 4)-(1, 1), AIC: -6.91025221099348, Final model FAILED to converge
[2024-06-02T06:17:10] Estimation window: 2012-09-27 - 2016-09-19, Best order: (4, 0, 5)-(1, 1), AIC: -6.91033953000711, Final model FAILED to converge
[2024-06-02T06:17:29] Estimation window: 2012-09-28 - 2016-09-20, Best order: (4, 0, 3)-(1, 1), AIC: -6.91146639352132, Final model converged
[2024-06-02T06:17:48] Estimation window: 2012-10-01 - 2016-09-21, Best order: (3, 0, 4)-(1, 1), AIC: -6.91046705546981, Final model converged
[2024-06-02T06:18:07] Estimation window: 2012-10-02 - 2016-09-22, Best order: (4, 0, 3)-(1, 1), AIC: -6.93396314071926, Final model converged
[2024-06-02T06:18:26] Estimation window: 2012-10-03 - 2016-09-23, Best order: (4, 0, 4)-(1, 1), AIC: -6.89667546976386, Final model FAILED to converge
[2024-06-02T06:18:45] Estimation window: 2012-10-04 - 2016-09-26, Best order: (4, 0, 4)-(1, 1), AIC: -6.88896935121535, Final model converged
[2024-06-02T06:19:05] Estimation window: 2012-10-05 - 2016-09-27, Best order: (4, 0, 5)-(1, 1), AIC: -6.89727052502253, Final model converged
[2024-06-02T06:19:28] Estimation window: 2012-10-08 - 2016-09-28, Best order: (5, 0, 4)-(1, 1), AIC: -6.89800102198293, Final model converged
[2024-06-02T06:19:47] Estimation window: 2012-10-09 - 2016-09-29, Best order: (4, 0, 4)-(1, 1), AIC: -6.91441078421359, Final model converged
[2024-06-02T06:20:10] Estimation window: 2012-10-10 - 2016-09-30, Best order: (5, 0, 3)-(1, 1), AIC: -6.8984161629471, Final model converged
[2024-06-02T06:20:29] Estimation window: 2012-10-11 - 2016-10-03, Best order: (4, 0, 5)-(1, 1), AIC: -6.91937124327916, Final model converged
[2024-06-02T06:20:48] Estimation window: 2012-10-12 - 2016-10-04, Best order: (4, 0, 4)-(1, 1), AIC: -6.90961024779796, Final model converged
[2024-06-02T06:21:08] Estimation window: 2012-10-15 - 2016-10-05, Best order: (3, 0, 5)-(1, 1), AIC: -6.90733490501131, Final model converged
[2024-06-02T06:21:27] Estimation window: 2012-10-16 - 2016-10-06, Best order: (5, 0, 3)-(1, 1), AIC: -6.92127549013301, Final model converged
