[2024-06-02T04:38:52] Estimation window: 2002-01-02 - 2005-12-19, Best order: (5, 0, 5)-(1, 1), AIC: -6.54851875256126, Final model converged
[2024-06-02T04:39:19] Estimation window: 2002-01-03 - 2005-12-20, Best order: (4, 0, 5)-(1, 1), AIC: -6.55278668137994, Final model converged
[2024-06-02T04:39:46] Estimation window: 2002-01-04 - 2005-12-21, Best order: (5, 0, 5)-(1, 1), AIC: -6.55451655102111, Final model FAILED to converge
[2024-06-02T04:40:22] Estimation window: 2002-01-07 - 2005-12-22, Best order: (5, 0, 4)-(1, 1), AIC: -6.53175843709351, Final model converged
[2024-06-02T04:40:44] Estimation window: 2002-01-08 - 2005-12-23, Best order: (4, 0, 5)-(1, 1), AIC: -6.53645238570763, Final model converged
[2024-06-02T04:41:16] Estimation window: 2002-01-09 - 2005-12-27, Best order: (4, 0, 3)-(1, 1), AIC: -6.5391965489978, Final model converged
[2024-06-02T04:41:38] Estimation window: 2002-01-10 - 2005-12-28, Best order: (4, 0, 2)-(1, 1), AIC: -6.53998898605131, Final model converged
[2024-06-02T04:42:00] Estimation window: 2002-01-11 - 2005-12-29, Best order: (3, 0, 4)-(1, 1), AIC: -6.53229923108965, Final model converged
[2024-06-02T04:42:21] Estimation window: 2002-01-14 - 2005-12-30, Best order: (4, 0, 4)-(1, 1), AIC: -6.54070222720412, Final model converged
[2024-06-02T04:42:44] Estimation window: 2002-01-15 - 2006-01-03, Best order: (5, 0, 4)-(1, 1), AIC: -6.53425232953722, Final model converged
[2024-06-02T04:43:07] Estimation window: 2002-01-16 - 2006-01-04, Best order: (4, 0, 4)-(1, 1), AIC: -6.53178590254867, Final model converged
[2024-06-02T04:43:37] Estimation window: 2002-01-17 - 2006-01-05, Best order: (4, 0, 3)-(1, 1), AIC: -6.53771444310438, Final model converged
[2024-06-02T04:44:00] Estimation window: 2002-01-18 - 2006-01-06, Best order: (3, 0, 4)-(1, 1), AIC: -6.55172229716095, Final model converged
[2024-06-02T04:44:26] Estimation window: 2002-01-22 - 2006-01-09, Best order: (5, 0, 5)-(1, 1), AIC: -6.53225345588988, Final model converged
[2024-06-02T04:44:49] Estimation window: 2002-01-23 - 2006-01-10, Best order: (4, 0, 5)-(1, 1), AIC: -6.56024701144027, Final model converged
[2024-06-02T04:45:11] Estimation window: 2002-01-24 - 2006-01-11, Best order: (5, 0, 2)-(1, 1), AIC: -6.53383566683101, Final model converged
[2024-06-02T04:45:42] Estimation window: 2002-01-25 - 2006-01-12, Best order: (4, 0, 5)-(1, 1), AIC: -6.54596148192165, Final model converged
[2024-06-02T04:46:06] Estimation window: 2002-01-28 - 2006-01-13, Best order: (5, 0, 4)-(1, 1), AIC: -6.54459748478638, Final model converged
[2024-06-02T04:46:38] Estimation window: 2002-01-29 - 2006-01-17, Best order: (4, 0, 3)-(1, 1), AIC: -6.54003456413802, Final model FAILED to converge
[2024-06-02T04:47:14] Estimation window: 2002-01-30 - 2006-01-18, Best order: (5, 0, 4)-(1, 1), AIC: -6.57202099045456, Final model converged
[2024-06-02T04:47:47] Estimation window: 2002-01-31 - 2006-01-19, Best order: (5, 0, 5)-(1, 1), AIC: -6.54832872811446, Final model converged
[2024-06-02T04:48:10] Estimation window: 2002-02-01 - 2006-01-20, Best order: (4, 0, 5)-(1, 1), AIC: -6.56852411624959, Final model converged
[2024-06-02T04:48:57] Estimation window: 2002-02-04 - 2006-01-23, Best order: (4, 0, 5)-(1, 1), AIC: -6.58583208111703, Final model converged
[2024-06-02T04:49:19] Estimation window: 2002-02-05 - 2006-01-24, Best order: (5, 0, 3)-(1, 1), AIC: -6.54841726612737, Final model converged
[2024-06-02T04:49:43] Estimation window: 2002-02-06 - 2006-01-25, Best order: (4, 0, 5)-(1, 1), AIC: -6.59889591847432, Final model converged
[2024-06-02T04:50:31] Estimation window: 2002-02-07 - 2006-01-26, Best order: (4, 0, 5)-(1, 1), AIC: -6.58461144210019, Final model converged
[2024-06-02T04:51:18] Estimation window: 2002-02-08 - 2006-01-27, Best order: (5, 0, 5)-(1, 1), AIC: -6.54509138924832, Final model converged
[2024-06-02T04:51:42] Estimation window: 2002-02-11 - 2006-01-30, Best order: (5, 0, 4)-(1, 1), AIC: -6.55015649769779, Final model converged
[2024-06-02T04:52:04] Estimation window: 2002-02-12 - 2006-01-31, Best order: (5, 0, 4)-(1, 1), AIC: -6.5798044903665, Final model converged
[2024-06-02T04:52:49] Estimation window: 2002-02-13 - 2006-02-01, Best order: (5, 0, 5)-(1, 1), AIC: -6.5749795338845, Final model converged
[2024-06-02T04:53:48] Estimation window: 2002-02-14 - 2006-02-02, Best order: (5, 0, 4)-(1, 1), AIC: -6.5895559888797, Final model FAILED to converge
[2024-06-02T04:54:26] Estimation window: 2002-02-15 - 2006-02-03, Best order: (5, 0, 4)-(1, 1), AIC: -6.55555029252133, Final model FAILED to converge
[2024-06-02T04:55:01] Estimation window: 2002-02-19 - 2006-02-06, Best order: (4, 0, 5)-(1, 1), AIC: -6.60364688166559, Final model converged
[2024-06-02T04:55:24] Estimation window: 2002-02-20 - 2006-02-07, Best order: (5, 0, 5)-(1, 1), AIC: -6.5884627835026, Final model converged
[2024-06-02T04:55:59] Estimation window: 2002-02-21 - 2006-02-08, Best order: (4, 0, 2)-(1, 1), AIC: -6.55908067250847, Final model converged
[2024-06-02T04:56:21] Estimation window: 2002-02-22 - 2006-02-09, Best order: (5, 0, 3)-(1, 1), AIC: -6.57669984175206, Final model converged
[2024-06-02T04:56:43] Estimation window: 2002-02-25 - 2006-02-10, Best order: (4, 0, 2)-(1, 1), AIC: -6.56413278946573, Final model converged
[2024-06-02T04:57:07] Estimation window: 2002-02-26 - 2006-02-13, Best order: (5, 0, 4)-(1, 1), AIC: -6.59598633763259, Final model converged
[2024-06-02T04:57:40] Estimation window: 2002-02-27 - 2006-02-14, Best order: (2, 0, 4)-(1, 1), AIC: -6.56690784252975, Final model converged
[2024-06-02T04:58:03] Estimation window: 2002-02-28 - 2006-02-15, Best order: (5, 0, 5)-(1, 1), AIC: -6.56544351509996, Final model FAILED to converge
[2024-06-02T04:58:34] Estimation window: 2002-03-01 - 2006-02-16, Best order: (4, 0, 5)-(1, 1), AIC: -6.60352156502834, Final model converged
[2024-06-02T04:58:57] Estimation window: 2002-03-04 - 2006-02-17, Best order: (5, 0, 5)-(1, 1), AIC: -6.58166748460273, Final model converged
[2024-06-02T04:59:39] Estimation window: 2002-03-05 - 2006-02-21, Best order: (4, 0, 5)-(1, 1), AIC: -6.57940384300156, Final model converged
[2024-06-02T05:00:26] Estimation window: 2002-03-06 - 2006-02-22, Best order: (4, 0, 5)-(1, 1), AIC: -6.57657063781211, Final model FAILED to converge
[2024-06-02T05:00:48] Estimation window: 2002-03-07 - 2006-02-23, Best order: (2, 0, 3)-(1, 1), AIC: -6.59881998978188, Final model converged
[2024-06-02T05:01:12] Estimation window: 2002-03-08 - 2006-02-24, Best order: (4, 0, 5)-(1, 1), AIC: -6.59369355737373, Final model converged
[2024-06-02T05:01:56] Estimation window: 2002-03-11 - 2006-02-27, Best order: (5, 0, 4)-(1, 1), AIC: -6.58154047934634, Final model converged
[2024-06-02T05:02:20] Estimation window: 2002-03-12 - 2006-02-28, Best order: (5, 0, 4)-(1, 1), AIC: -6.58815209387302, Final model converged
[2024-06-02T05:02:50] Estimation window: 2002-03-13 - 2006-03-01, Best order: (5, 0, 4)-(1, 1), AIC: -6.60187053890462, Final model FAILED to converge
[2024-06-02T05:03:14] Estimation window: 2002-03-14 - 2006-03-02, Best order: (5, 0, 5)-(1, 1), AIC: -6.59106123009406, Final model converged
[2024-06-02T05:03:38] Estimation window: 2002-03-15 - 2006-03-03, Best order: (5, 0, 4)-(1, 1), AIC: -6.59424084002471, Final model converged
[2024-06-02T05:04:03] Estimation window: 2002-03-18 - 2006-03-06, Best order: (3, 0, 5)-(1, 1), AIC: -6.59550168673956, Final model converged
[2024-06-02T05:04:25] Estimation window: 2002-03-19 - 2006-03-07, Best order: (3, 0, 2)-(1, 1), AIC: -6.58728410763047, Final model converged
[2024-06-02T05:04:49] Estimation window: 2002-03-20 - 2006-03-08, Best order: (2, 0, 3)-(1, 1), AIC: -6.58860613230147, Final model converged
[2024-06-02T05:05:26] Estimation window: 2002-03-21 - 2006-03-09, Best order: (5, 0, 4)-(1, 1), AIC: -6.60041078303773, Final model FAILED to converge
[2024-06-02T05:06:11] Estimation window: 2002-03-22 - 2006-03-10, Best order: (4, 0, 5)-(1, 1), AIC: -6.59664511762282, Final model converged
[2024-06-02T05:06:36] Estimation window: 2002-03-25 - 2006-03-13, Best order: (2, 0, 3)-(1, 1), AIC: -6.58913774462776, Final model converged
[2024-06-02T05:06:58] Estimation window: 2002-03-26 - 2006-03-14, Best order: (5, 0, 4)-(1, 1), AIC: -6.61281649266386, Final model converged
[2024-06-02T05:07:26] Estimation window: 2002-03-27 - 2006-03-15, Best order: (5, 0, 4)-(1, 1), AIC: -6.61590005788119, Final model converged
[2024-06-02T05:07:55] Estimation window: 2002-03-28 - 2006-03-16, Best order: (4, 0, 5)-(1, 1), AIC: -6.60481701036658, Final model converged
[2024-06-02T05:08:24] Estimation window: 2002-04-01 - 2006-03-17, Best order: (4, 0, 5)-(1, 1), AIC: -6.61792599639143, Final model converged
[2024-06-02T05:08:53] Estimation window: 2002-04-02 - 2006-03-20, Best order: (4, 0, 5)-(1, 1), AIC: -6.60824190980981, Final model converged
[2024-06-02T05:09:24] Estimation window: 2002-04-03 - 2006-03-21, Best order: (3, 0, 2)-(1, 1), AIC: -6.59825994323384, Final model converged
[2024-06-02T05:09:48] Estimation window: 2002-04-04 - 2006-03-22, Best order: (5, 0, 5)-(1, 1), AIC: -6.5962920137094, Final model converged
[2024-06-02T05:10:10] Estimation window: 2002-04-05 - 2006-03-23, Best order: (4, 0, 3)-(1, 1), AIC: -6.61210930770278, Final model converged
[2024-06-02T05:10:34] Estimation window: 2002-04-08 - 2006-03-24, Best order: (5, 0, 4)-(1, 1), AIC: -6.62804527529366, Final model FAILED to converge
[2024-06-02T05:10:58] Estimation window: 2002-04-09 - 2006-03-27, Best order: (5, 0, 5)-(1, 1), AIC: -6.62755976478655, Final model converged
[2024-06-02T05:11:24] Estimation window: 2002-04-10 - 2006-03-28, Best order: (5, 0, 5)-(1, 1), AIC: -6.61578126328986, Final model converged
[2024-06-02T05:11:49] Estimation window: 2002-04-11 - 2006-03-29, Best order: (2, 0, 3)-(1, 1), AIC: -6.61216198504421, Final model converged
[2024-06-02T05:12:11] Estimation window: 2002-04-12 - 2006-03-30, Best order: (5, 0, 5)-(1, 1), AIC: -6.61600673133851, Final model converged
[2024-06-02T05:12:40] Estimation window: 2002-04-15 - 2006-03-31, Best order: (4, 0, 2)-(1, 1), AIC: -6.60991950742911, Final model converged
[2024-06-02T05:13:02] Estimation window: 2002-04-16 - 2006-04-03, Best order: (4, 0, 5)-(1, 1), AIC: -6.62235654302223, Final model converged
[2024-06-02T05:13:32] Estimation window: 2002-04-17 - 2006-04-04, Best order: (4, 0, 5)-(1, 1), AIC: -6.62699863328909, Final model converged
[2024-06-02T05:13:58] Estimation window: 2002-04-18 - 2006-04-05, Best order: (5, 0, 4)-(1, 1), AIC: -6.6482932965476, Final model FAILED to converge
