[2024-06-02T04:39:06] Estimation window: 2002-09-13 - 2006-08-31, Best order: (4, 0, 3)-(1, 1), AIC: -6.80340675941466, Final model converged
[2024-06-02T04:39:28] Estimation window: 2002-09-16 - 2006-09-01, Best order: (3, 0, 4)-(1, 1), AIC: -6.80421686166698, Final model FAILED to converge
[2024-06-02T04:39:50] Estimation window: 2002-09-17 - 2006-09-05, Best order: (4, 0, 5)-(1, 1), AIC: -6.79763372079163, Final model converged
[2024-06-02T04:40:35] Estimation window: 2002-09-18 - 2006-09-06, Best order: (4, 0, 4)-(1, 1), AIC: -6.81174928988162, Final model converged
[2024-06-02T04:41:13] Estimation window: 2002-09-19 - 2006-09-07, Best order: (4, 0, 4)-(1, 1), AIC: -6.79999718559654, Final model converged
[2024-06-02T04:41:36] Estimation window: 2002-09-20 - 2006-09-08, Best order: (5, 0, 5)-(1, 1), AIC: -6.81732998061835, Final model converged
[2024-06-02T04:42:11] Estimation window: 2002-09-23 - 2006-09-11, Best order: (5, 0, 4)-(1, 1), AIC: -6.82385679743384, Final model converged
[2024-06-02T04:42:34] Estimation window: 2002-09-24 - 2006-09-12, Best order: (5, 0, 4)-(1, 1), AIC: -6.81605340706389, Final model converged
[2024-06-02T04:43:10] Estimation window: 2002-09-25 - 2006-09-13, Best order: (5, 0, 4)-(1, 1), AIC: -6.81561546772891, Final model converged
[2024-06-02T04:43:35] Estimation window: 2002-09-26 - 2006-09-14, Best order: (4, 0, 2)-(1, 1), AIC: -6.79012318258336, Final model converged
[2024-06-02T04:43:59] Estimation window: 2002-09-27 - 2006-09-15, Best order: (4, 0, 5)-(1, 1), AIC: -6.78424569034134, Final model converged
[2024-06-02T04:44:23] Estimation window: 2002-09-30 - 2006-09-18, Best order: (3, 0, 2)-(1, 1), AIC: -6.81906598706561, Final model converged
[2024-06-02T04:44:58] Estimation window: 2002-10-01 - 2006-09-19, Best order: (5, 0, 2)-(1, 1), AIC: -6.82519080570593, Final model converged
[2024-06-02T04:45:33] Estimation window: 2002-10-02 - 2006-09-20, Best order: (4, 0, 5)-(1, 1), AIC: -6.8245850900494, Final model converged
[2024-06-02T04:46:08] Estimation window: 2002-10-03 - 2006-09-21, Best order: (3, 0, 3)-(1, 1), AIC: -6.83445244792761, Final model converged
[2024-06-02T04:46:44] Estimation window: 2002-10-04 - 2006-09-22, Best order: (2, 0, 3)-(1, 1), AIC: -6.85650702835927, Final model converged
[2024-06-02T04:47:07] Estimation window: 2002-10-07 - 2006-09-25, Best order: (0, 0, 1)-(1, 1), AIC: -6.83830419470476, Final model converged
[2024-06-02T04:47:30] Estimation window: 2002-10-08 - 2006-09-26, Best order: (4, 0, 3)-(1, 1), AIC: -6.82995193844653, Final model converged
[2024-06-02T04:48:08] Estimation window: 2002-10-09 - 2006-09-27, Best order: (4, 0, 2)-(1, 1), AIC: -6.81084499300784, Final model converged
[2024-06-02T04:48:30] Estimation window: 2002-10-10 - 2006-09-28, Best order: (4, 0, 3)-(1, 1), AIC: -6.83866236056409, Final model converged
[2024-06-02T04:48:57] Estimation window: 2002-10-11 - 2006-09-29, Best order: (5, 0, 3)-(1, 1), AIC: -6.81765398640121, Final model converged
[2024-06-02T04:49:22] Estimation window: 2002-10-14 - 2006-10-02, Best order: (3, 0, 3)-(1, 1), AIC: -6.86791849918929, Final model converged
[2024-06-02T04:49:46] Estimation window: 2002-10-15 - 2006-10-03, Best order: (5, 0, 5)-(1, 1), AIC: -6.85833529887168, Final model converged
