[2024-06-02T06:00:31] Estimation window: 2015-04-16 - 2019-04-04, Best order: (5, 0, 3)-(1, 1), AIC: -6.979219831022, Final model converged
[2024-06-02T06:01:07] Estimation window: 2015-04-17 - 2019-04-05, Best order: (5, 0, 5)-(1, 1), AIC: -6.97812323569929, Final model converged
[2024-06-02T06:01:29] Estimation window: 2015-04-20 - 2019-04-08, Best order: (4, 0, 4)-(1, 1), AIC: -6.98612555333007, Final model converged
[2024-06-02T06:01:52] Estimation window: 2015-04-21 - 2019-04-09, Best order: (4, 0, 3)-(1, 1), AIC: -6.98852114411627, Final model converged
[2024-06-02T06:02:14] Estimation window: 2015-04-22 - 2019-04-10, Best order: (3, 0, 3)-(1, 1), AIC: -6.98528749530933, Final model converged
[2024-06-02T06:02:38] Estimation window: 2015-04-23 - 2019-04-11, Best order: (4, 0, 4)-(1, 1), AIC: -6.9842556793121, Final model converged
[2024-06-02T06:03:02] Estimation window: 2015-04-24 - 2019-04-12, Best order: (3, 0, 4)-(1, 1), AIC: -7.00269868364416, Final model converged
[2024-06-02T06:03:24] Estimation window: 2015-04-27 - 2019-04-15, Best order: (3, 0, 4)-(1, 1), AIC: -6.9922654897695, Final model converged
[2024-06-02T06:03:48] Estimation window: 2015-04-28 - 2019-04-16, Best order: (4, 0, 3)-(1, 1), AIC: -6.99458076465547, Final model converged
[2024-06-02T06:04:30] Estimation window: 2015-04-29 - 2019-04-17, Best order: (5, 0, 2)-(1, 1), AIC: -6.99273295339659, Final model converged
[2024-06-02T06:04:53] Estimation window: 2015-04-30 - 2019-04-18, Best order: (5, 0, 2)-(1, 1), AIC: -6.98992113895962, Final model converged
[2024-06-02T06:05:15] Estimation window: 2015-05-01 - 2019-04-22, Best order: (5, 0, 3)-(1, 1), AIC: -6.99420275517771, Final model converged
[2024-06-02T06:05:37] Estimation window: 2015-05-04 - 2019-04-23, Best order: (5, 0, 2)-(1, 1), AIC: -6.99668172702866, Final model converged
[2024-06-02T06:06:00] Estimation window: 2015-05-05 - 2019-04-24, Best order: (2, 0, 1)-(1, 1), AIC: -6.99662785630584, Final model converged
[2024-06-02T06:06:21] Estimation window: 2015-05-06 - 2019-04-25, Best order: (2, 0, 1)-(1, 1), AIC: -7.00381157848865, Final model converged
[2024-06-02T06:06:41] Estimation window: 2015-05-07 - 2019-04-26, Best order: (5, 0, 3)-(1, 1), AIC: -6.99470583930922, Final model converged
[2024-06-02T06:07:01] Estimation window: 2015-05-08 - 2019-04-29, Best order: (5, 0, 5)-(1, 1), AIC: -7.00418669316648, Final model converged
[2024-06-02T06:07:20] Estimation window: 2015-05-11 - 2019-04-30, Best order: (5, 0, 5)-(1, 1), AIC: -6.99488283855477, Final model converged
[2024-06-02T06:07:39] Estimation window: 2015-05-12 - 2019-05-01, Best order: (5, 0, 5)-(1, 1), AIC: -7.00534235081413, Final model converged
[2024-06-02T06:08:20] Estimation window: 2015-05-13 - 2019-05-02, Best order: (5, 0, 3)-(1, 1), AIC: -6.99693434377232, Final model converged
[2024-06-02T06:08:40] Estimation window: 2015-05-14 - 2019-05-03, Best order: (4, 0, 5)-(1, 1), AIC: -7.01749192908745, Final model FAILED to converge
[2024-06-02T06:08:59] Estimation window: 2015-05-15 - 2019-05-06, Best order: (3, 0, 4)-(1, 1), AIC: -6.99611920750024, Final model converged
[2024-06-02T06:09:20] Estimation window: 2015-05-18 - 2019-05-07, Best order: (3, 0, 4)-(1, 1), AIC: -6.99572185020755, Final model converged
[2024-06-02T06:09:39] Estimation window: 2015-05-19 - 2019-05-08, Best order: (5, 0, 5)-(1, 1), AIC: -6.99617300322122, Final model converged
[2024-06-02T06:10:00] Estimation window: 2015-05-20 - 2019-05-09, Best order: (5, 0, 5)-(1, 1), AIC: -6.99392273948086, Final model converged
[2024-06-02T06:10:30] Estimation window: 2015-05-21 - 2019-05-10, Best order: (5, 0, 3)-(1, 1), AIC: -6.98605175810418, Final model converged
[2024-06-02T06:10:55] Estimation window: 2015-05-22 - 2019-05-13, Best order: (3, 0, 4)-(1, 1), AIC: -6.98906501122041, Final model converged
[2024-06-02T06:11:14] Estimation window: 2015-05-26 - 2019-05-14, Best order: (4, 0, 3)-(1, 1), AIC: -6.98711895314289, Final model converged
[2024-06-02T06:11:47] Estimation window: 2015-05-27 - 2019-05-15, Best order: (4, 0, 3)-(1, 1), AIC: -6.98334717311088, Final model converged
[2024-06-02T06:12:07] Estimation window: 2015-05-28 - 2019-05-16, Best order: (4, 0, 2)-(1, 1), AIC: -6.98170368349143, Final model converged
[2024-06-02T06:12:27] Estimation window: 2015-05-29 - 2019-05-17, Best order: (3, 0, 4)-(1, 1), AIC: -6.98425329355108, Final model converged
[2024-06-02T06:12:47] Estimation window: 2015-06-01 - 2019-05-20, Best order: (3, 0, 4)-(1, 1), AIC: -6.99985078633542, Final model converged
[2024-06-02T06:13:18] Estimation window: 2015-06-02 - 2019-05-21, Best order: (5, 0, 4)-(1, 1), AIC: -6.99368156954764, Final model converged
[2024-06-02T06:14:07] Estimation window: 2015-06-03 - 2019-05-22, Best order: (5, 0, 5)-(1, 1), AIC: -6.98194394626693, Final model converged
[2024-06-02T06:14:25] Estimation window: 2015-06-04 - 2019-05-23, Best order: (3, 0, 4)-(1, 1), AIC: -7.01039958517166, Final model converged
[2024-06-02T06:14:45] Estimation window: 2015-06-05 - 2019-05-24, Best order: (5, 0, 5)-(1, 1), AIC: -6.98057719021107, Final model converged
[2024-06-02T06:15:16] Estimation window: 2015-06-08 - 2019-05-28, Best order: (5, 0, 3)-(1, 1), AIC: -6.97667057796237, Final model converged
[2024-06-02T06:15:38] Estimation window: 2015-06-09 - 2019-05-29, Best order: (5, 0, 4)-(1, 1), AIC: -6.99027752505084, Final model converged
[2024-06-02T06:15:56] Estimation window: 2015-06-10 - 2019-05-30, Best order: (5, 0, 4)-(1, 1), AIC: -6.9991581376948, Final model converged
[2024-06-02T06:16:14] Estimation window: 2015-06-11 - 2019-05-31, Best order: (4, 0, 5)-(1, 1), AIC: -6.98921272722646, Final model converged
[2024-06-02T06:16:47] Estimation window: 2015-06-12 - 2019-06-03, Best order: (2, 0, 3)-(1, 1), AIC: -6.97584924483151, Final model converged
[2024-06-02T06:17:06] Estimation window: 2015-06-15 - 2019-06-04, Best order: (5, 0, 5)-(1, 1), AIC: -6.97690874837745, Final model converged
[2024-06-02T06:17:26] Estimation window: 2015-06-16 - 2019-06-05, Best order: (4, 0, 4)-(1, 1), AIC: -6.98530625061365, Final model converged
[2024-06-02T06:17:49] Estimation window: 2015-06-17 - 2019-06-06, Best order: (4, 0, 5)-(1, 1), AIC: -6.98374909348083, Final model FAILED to converge
[2024-06-02T06:18:08] Estimation window: 2015-06-18 - 2019-06-07, Best order: (3, 0, 3)-(1, 1), AIC: -6.97446843602502, Final model converged
[2024-06-02T06:18:29] Estimation window: 2015-06-19 - 2019-06-10, Best order: (4, 0, 3)-(1, 1), AIC: -6.96475041634324, Final model converged
[2024-06-02T06:18:48] Estimation window: 2015-06-22 - 2019-06-11, Best order: (4, 0, 3)-(1, 1), AIC: -6.96947025238361, Final model converged
[2024-06-02T06:19:07] Estimation window: 2015-06-23 - 2019-06-12, Best order: (3, 0, 4)-(1, 1), AIC: -6.97140507268043, Final model converged
[2024-06-02T06:19:26] Estimation window: 2015-06-24 - 2019-06-13, Best order: (5, 0, 3)-(1, 1), AIC: -6.9854204791745, Final model converged
[2024-06-02T06:19:51] Estimation window: 2015-06-25 - 2019-06-14, Best order: (5, 0, 4)-(1, 1), AIC: -6.99090130408366, Final model converged
[2024-06-02T06:20:25] Estimation window: 2015-06-26 - 2019-06-17, Best order: (5, 0, 5)-(1, 1), AIC: -6.99771287980115, Final model converged
[2024-06-02T06:20:51] Estimation window: 2015-06-29 - 2019-06-18, Best order: (4, 0, 3)-(1, 1), AIC: -6.98975961524027, Final model converged
[2024-06-02T06:21:15] Estimation window: 2015-06-30 - 2019-06-19, Best order: (4, 0, 3)-(1, 1), AIC: -7.00551718949836, Final model converged
[2024-06-02T06:21:45] Estimation window: 2015-07-01 - 2019-06-20, Best order: (5, 0, 5)-(1, 1), AIC: -6.98619285271577, Final model converged
[2024-06-02T06:22:19] Estimation window: 2015-07-02 - 2019-06-21, Best order: (5, 0, 5)-(1, 1), AIC: -7.00218501295629, Final model converged
[2024-06-02T06:22:38] Estimation window: 2015-07-06 - 2019-06-24, Best order: (4, 0, 5)-(1, 1), AIC: -7.00754458002777, Final model converged
[2024-06-02T06:23:25] Estimation window: 2015-07-07 - 2019-06-25, Best order: (5, 0, 5)-(1, 1), AIC: -6.9934030330819, Final model converged
[2024-06-02T06:23:55] Estimation window: 2015-07-08 - 2019-06-26, Best order: (5, 0, 4)-(1, 1), AIC: -6.99367132684411, Final model converged
[2024-06-02T06:24:14] Estimation window: 2015-07-09 - 2019-06-27, Best order: (3, 0, 3)-(1, 1), AIC: -6.98610541299806, Final model converged
