[2024-06-02T04:38:49] Estimation window: 2004-10-19 - 2008-10-07, Best order: (3, 0, 3)-(1, 1), AIC: -6.69148948105101, Final model converged
[2024-06-02T04:39:31] Estimation window: 2004-10-20 - 2008-10-08, Best order: (4, 0, 5)-(1, 1), AIC: -6.68375219635114, Final model converged
[2024-06-02T04:39:53] Estimation window: 2004-10-21 - 2008-10-09, Best order: (3, 0, 3)-(1, 1), AIC: -6.70856995252329, Final model FAILED to converge
[2024-06-02T04:40:44] Estimation window: 2004-10-22 - 2008-10-10, Best order: (3, 0, 3)-(1, 1), AIC: -6.68916110163291, Final model converged
[2024-06-02T04:41:06] Estimation window: 2004-10-25 - 2008-10-13, Best order: (5, 0, 5)-(1, 1), AIC: -6.6936770706971, Final model converged
[2024-06-02T04:41:33] Estimation window: 2004-10-26 - 2008-10-14, Best order: (5, 0, 5)-(1, 1), AIC: -6.69154094136046, Final model converged
[2024-06-02T04:41:54] Estimation window: 2004-10-27 - 2008-10-15, Best order: (3, 0, 5)-(1, 1), AIC: -6.65711378012822, Final model converged
[2024-06-02T04:42:16] Estimation window: 2004-10-28 - 2008-10-16, Best order: (3, 0, 4)-(1, 1), AIC: -6.656687315478, Final model converged
[2024-06-02T04:42:37] Estimation window: 2004-10-29 - 2008-10-17, Best order: (5, 0, 5)-(1, 1), AIC: -6.67192137383399, Final model converged
[2024-06-02T04:43:02] Estimation window: 2004-11-01 - 2008-10-20, Best order: (5, 0, 5)-(1, 1), AIC: -6.67931878547204, Final model converged
[2024-06-02T04:43:52] Estimation window: 2004-11-02 - 2008-10-21, Best order: (3, 0, 4)-(1, 1), AIC: 195.176339970853, Final model FAILED to converge
[2024-06-02T04:44:14] Estimation window: 2004-11-03 - 2008-10-22, Best order: (5, 0, 4)-(1, 1), AIC: -6.66633233236466, Final model converged
[2024-06-02T04:44:36] Estimation window: 2004-11-04 - 2008-10-23, Best order: (2, 0, 5)-(1, 1), AIC: -6.66578030629064, Final model converged
[2024-06-02T04:44:58] Estimation window: 2004-11-05 - 2008-10-24, Best order: (4, 0, 4)-(1, 1), AIC: -6.63758914452302, Final model converged
[2024-06-02T04:45:22] Estimation window: 2004-11-08 - 2008-10-27, Best order: (5, 0, 4)-(1, 1), AIC: -6.63711518839359, Final model FAILED to converge
[2024-06-02T04:45:44] Estimation window: 2004-11-09 - 2008-10-28, Best order: (5, 0, 4)-(1, 1), AIC: -6.65116248102942, Final model converged
[2024-06-02T04:46:04] Estimation window: 2004-11-10 - 2008-10-29, Best order: (4, 0, 4)-(1, 1), AIC: -6.64092379308073, Final model converged
[2024-06-02T04:46:25] Estimation window: 2004-11-11 - 2008-10-30, Best order: (4, 0, 2)-(1, 1), AIC: -6.6186665810684, Final model converged
[2024-06-02T04:46:47] Estimation window: 2004-11-12 - 2008-10-31, Best order: (5, 0, 5)-(1, 1), AIC: -6.61870226609999, Final model converged
[2024-06-02T04:47:08] Estimation window: 2004-11-15 - 2008-11-03, Best order: (5, 0, 2)-(1, 1), AIC: -6.60666052796877, Final model converged
[2024-06-02T04:47:29] Estimation window: 2004-11-16 - 2008-11-04, Best order: (5, 0, 5)-(1, 1), AIC: -6.62355069536185, Final model FAILED to converge
[2024-06-02T04:47:56] Estimation window: 2004-11-17 - 2008-11-05, Best order: (4, 0, 4)-(1, 1), AIC: -6.60431571505357, Final model FAILED to converge
[2024-06-02T04:48:21] Estimation window: 2004-11-18 - 2008-11-06, Best order: (3, 0, 4)-(1, 1), AIC: -6.61472498484542, Final model converged
[2024-06-02T04:48:42] Estimation window: 2004-11-19 - 2008-11-07, Best order: (3, 0, 3)-(1, 1), AIC: -6.6145727497496, Final model converged
[2024-06-02T04:49:04] Estimation window: 2004-11-22 - 2008-11-10, Best order: (5, 0, 4)-(1, 1), AIC: -6.59497173825489, Final model converged
[2024-06-02T04:49:24] Estimation window: 2004-11-23 - 2008-11-11, Best order: (1, 0, 1)-(1, 1), AIC: -6.59871053163381, Final model converged
[2024-06-02T04:49:46] Estimation window: 2004-11-24 - 2008-11-12, Best order: (5, 0, 3)-(1, 1), AIC: -6.57638371991764, Final model converged
[2024-06-02T04:50:06] Estimation window: 2004-11-26 - 2008-11-13, Best order: (5, 0, 5)-(1, 1), AIC: -6.60842054660917, Final model converged
[2024-06-02T04:50:27] Estimation window: 2004-11-29 - 2008-11-14, Best order: (5, 0, 2)-(1, 1), AIC: -6.57608771919038, Final model converged
[2024-06-02T04:51:30] Estimation window: 2004-11-30 - 2008-11-17, Best order: (5, 0, 4)-(1, 1), AIC: 570.714507933018, Final model FAILED to converge
[2024-06-02T04:51:52] Estimation window: 2004-12-01 - 2008-11-18, Best order: (3, 0, 4)-(1, 1), AIC: -6.58567873695808, Final model converged
[2024-06-02T04:52:13] Estimation window: 2004-12-02 - 2008-11-19, Best order: (3, 0, 3)-(1, 1), AIC: -6.57416594274406, Final model converged
[2024-06-02T04:52:34] Estimation window: 2004-12-03 - 2008-11-20, Best order: (5, 0, 3)-(1, 1), AIC: -6.55752163546777, Final model converged
[2024-06-02T04:52:55] Estimation window: 2004-12-06 - 2008-11-21, Best order: (5, 0, 5)-(1, 1), AIC: -6.56337066640732, Final model FAILED to converge
[2024-06-02T04:53:16] Estimation window: 2004-12-07 - 2008-11-24, Best order: (3, 0, 3)-(1, 1), AIC: -6.56765012391505, Final model converged
[2024-06-02T04:53:39] Estimation window: 2004-12-08 - 2008-11-25, Best order: (3, 0, 3)-(1, 1), AIC: -6.55553932878248, Final model converged
[2024-06-02T04:54:00] Estimation window: 2004-12-09 - 2008-11-26, Best order: (4, 0, 3)-(1, 1), AIC: -6.54393004588571, Final model converged
[2024-06-02T04:54:21] Estimation window: 2004-12-10 - 2008-11-28, Best order: (3, 0, 4)-(1, 1), AIC: -6.53610220999618, Final model converged
[2024-06-02T04:54:42] Estimation window: 2004-12-13 - 2008-12-01, Best order: (2, 0, 5)-(1, 1), AIC: -6.53534356303075, Final model converged
[2024-06-02T04:55:02] Estimation window: 2004-12-14 - 2008-12-02, Best order: (1, 0, 1)-(1, 1), AIC: -6.53494114022716, Final model converged
[2024-06-02T04:55:23] Estimation window: 2004-12-15 - 2008-12-03, Best order: (4, 0, 4)-(1, 1), AIC: -6.54544728780025, Final model converged
[2024-06-02T04:55:44] Estimation window: 2004-12-16 - 2008-12-04, Best order: (3, 0, 3)-(1, 1), AIC: -6.51985680581937, Final model converged
[2024-06-02T04:56:04] Estimation window: 2004-12-17 - 2008-12-05, Best order: (5, 0, 3)-(1, 1), AIC: -6.53672439224569, Final model converged
[2024-06-02T04:56:32] Estimation window: 2004-12-20 - 2008-12-08, Best order: (4, 0, 3)-(1, 1), AIC: -6.55027157001001, Final model FAILED to converge
[2024-06-02T04:56:53] Estimation window: 2004-12-21 - 2008-12-09, Best order: (3, 0, 3)-(1, 1), AIC: -6.51578447723965, Final model converged
[2024-06-02T04:57:13] Estimation window: 2004-12-22 - 2008-12-10, Best order: (5, 0, 5)-(1, 1), AIC: -6.52036863444073, Final model converged
[2024-06-02T04:58:10] Estimation window: 2004-12-23 - 2008-12-11, Best order: (4, 0, 4)-(1, 1), AIC: 391.160496734419, Final model FAILED to converge
[2024-06-02T04:58:30] Estimation window: 2004-12-27 - 2008-12-12, Best order: (3, 0, 5)-(1, 1), AIC: -6.51966369680214, Final model converged
[2024-06-02T04:58:50] Estimation window: 2004-12-28 - 2008-12-15, Best order: (2, 0, 5)-(1, 1), AIC: -6.50192746542842, Final model converged
[2024-06-02T04:59:10] Estimation window: 2004-12-29 - 2008-12-16, Best order: (1, 0, 1)-(1, 1), AIC: -6.5002480861619, Final model converged
[2024-06-02T04:59:29] Estimation window: 2004-12-30 - 2008-12-17, Best order: (5, 0, 4)-(1, 1), AIC: -6.49224369137592, Final model converged
[2024-06-02T04:59:49] Estimation window: 2004-12-31 - 2008-12-18, Best order: (4, 0, 3)-(1, 1), AIC: -6.51671419835414, Final model converged
