[2024-06-02T03:10:30] Estimation window: 2004-02-06 - 2008-01-28, Best order: (5, 0, 4)-(1, 1), AIC: -6.99893127715354, Final model converged
[2024-06-02T03:10:48] Estimation window: 2004-02-09 - 2008-01-29, Best order: (2, 0, 5)-(1, 1), AIC: -6.9732167990267, Final model converged
[2024-06-02T03:11:01] Estimation window: 2004-02-10 - 2008-01-30, Best order: (5, 0, 5)-(1, 1), AIC: -6.97988767616738, Final model FAILED to converge
[2024-06-02T03:11:14] Estimation window: 2004-02-11 - 2008-01-31, Best order: (5, 0, 4)-(1, 1), AIC: -6.99414109609013, Final model converged
[2024-06-02T03:11:30] Estimation window: 2004-02-12 - 2008-02-01, Best order: (5, 0, 4)-(1, 1), AIC: -6.99040576813696, Final model FAILED to converge
[2024-06-02T03:11:43] Estimation window: 2004-02-13 - 2008-02-04, Best order: (5, 0, 5)-(1, 1), AIC: -6.96690624708498, Final model converged
[2024-06-02T03:12:05] Estimation window: 2004-02-17 - 2008-02-05, Best order: (5, 0, 3)-(1, 1), AIC: -6.95872129377622, Final model converged
[2024-06-02T03:12:23] Estimation window: 2004-02-18 - 2008-02-06, Best order: (5, 0, 5)-(1, 1), AIC: -6.97451419526108, Final model converged
[2024-06-02T03:12:35] Estimation window: 2004-02-19 - 2008-02-07, Best order: (5, 0, 5)-(1, 1), AIC: -6.96285480995188, Final model FAILED to converge
[2024-06-02T03:12:48] Estimation window: 2004-02-20 - 2008-02-08, Best order: (4, 0, 4)-(1, 1), AIC: -6.97054664106566, Final model converged
[2024-06-02T03:13:00] Estimation window: 2004-02-23 - 2008-02-11, Best order: (2, 0, 5)-(1, 1), AIC: -6.95797765029714, Final model converged
[2024-06-02T03:13:13] Estimation window: 2004-02-24 - 2008-02-12, Best order: (5, 0, 3)-(1, 1), AIC: -6.98383166097076, Final model converged
[2024-06-02T03:13:25] Estimation window: 2004-02-25 - 2008-02-13, Best order: (5, 0, 4)-(1, 1), AIC: -6.95359456526422, Final model converged
[2024-06-02T03:13:40] Estimation window: 2004-02-26 - 2008-02-14, Best order: (5, 0, 3)-(1, 1), AIC: -6.95189997768972, Final model converged
[2024-06-02T03:13:58] Estimation window: 2004-02-27 - 2008-02-15, Best order: (5, 0, 3)-(1, 1), AIC: -6.98905469254781, Final model converged
[2024-06-02T03:14:10] Estimation window: 2004-03-01 - 2008-02-19, Best order: (4, 0, 3)-(1, 1), AIC: -6.98674712386119, Final model converged
[2024-06-02T03:14:22] Estimation window: 2004-03-02 - 2008-02-20, Best order: (2, 0, 5)-(1, 1), AIC: -6.95196441919734, Final model converged
[2024-06-02T03:14:34] Estimation window: 2004-03-03 - 2008-02-21, Best order: (5, 0, 4)-(1, 1), AIC: -6.94752821629547, Final model converged
[2024-06-02T03:14:46] Estimation window: 2004-03-04 - 2008-02-22, Best order: (5, 0, 2)-(1, 1), AIC: -6.95187860177166, Final model converged
[2024-06-02T03:14:57] Estimation window: 2004-03-05 - 2008-02-25, Best order: (5, 0, 4)-(1, 1), AIC: -6.9468037009446, Final model converged
[2024-06-02T03:15:16] Estimation window: 2004-03-08 - 2008-02-26, Best order: (5, 0, 4)-(1, 1), AIC: -6.94735061478408, Final model converged
[2024-06-02T03:15:29] Estimation window: 2004-03-09 - 2008-02-27, Best order: (4, 0, 5)-(1, 1), AIC: -6.96087587933555, Final model converged
[2024-06-02T03:15:49] Estimation window: 2004-03-10 - 2008-02-28, Best order: (4, 0, 5)-(1, 1), AIC: -6.94562656749322, Final model FAILED to converge
[2024-06-02T03:16:02] Estimation window: 2004-03-11 - 2008-02-29, Best order: (5, 0, 4)-(1, 1), AIC: -6.96781359025541, Final model converged
[2024-06-02T03:16:14] Estimation window: 2004-03-12 - 2008-03-03, Best order: (4, 0, 4)-(1, 1), AIC: -6.97057932910393, Final model converged
[2024-06-02T03:16:26] Estimation window: 2004-03-15 - 2008-03-04, Best order: (4, 0, 4)-(1, 1), AIC: -6.96738463341795, Final model converged
[2024-06-02T03:16:44] Estimation window: 2004-03-16 - 2008-03-05, Best order: (4, 0, 5)-(1, 1), AIC: -6.95376277518425, Final model converged
[2024-06-02T03:17:02] Estimation window: 2004-03-17 - 2008-03-06, Best order: (5, 0, 4)-(1, 1), AIC: -6.94194026233259, Final model converged
