[2024-06-02T03:52:50] Estimation window: 2012-06-26 - 2016-06-16, Best order: (5, 0, 3)-(1, 1), AIC: -6.90582105307699, Final model converged
[2024-06-02T03:53:04] Estimation window: 2012-06-27 - 2016-06-17, Best order: (5, 0, 4)-(1, 1), AIC: -6.89271826513073, Final model converged
[2024-06-02T03:53:19] Estimation window: 2012-06-28 - 2016-06-20, Best order: (4, 0, 4)-(1, 1), AIC: -6.90560314496229, Final model converged
[2024-06-02T03:53:39] Estimation window: 2012-06-29 - 2016-06-21, Best order: (3, 0, 5)-(1, 1), AIC: -6.90639856483, Final model converged
[2024-06-02T03:53:52] Estimation window: 2012-07-02 - 2016-06-22, Best order: (3, 0, 4)-(1, 1), AIC: -6.92732577205754, Final model FAILED to converge
[2024-06-02T03:54:11] Estimation window: 2012-07-03 - 2016-06-23, Best order: (5, 0, 5)-(1, 1), AIC: -6.91601412176211, Final model converged
[2024-06-02T03:54:23] Estimation window: 2012-07-05 - 2016-06-24, Best order: (4, 0, 4)-(1, 1), AIC: -6.89071984211145, Final model converged
[2024-06-02T03:54:35] Estimation window: 2012-07-06 - 2016-06-27, Best order: (4, 0, 3)-(1, 1), AIC: -6.87511448272153, Final model FAILED to converge
[2024-06-02T03:54:49] Estimation window: 2012-07-09 - 2016-06-28, Best order: (4, 0, 4)-(1, 1), AIC: -6.89099296999895, Final model FAILED to converge
[2024-06-02T03:55:02] Estimation window: 2012-07-10 - 2016-06-29, Best order: (5, 0, 4)-(1, 1), AIC: -6.89639553791159, Final model converged
[2024-06-02T03:55:26] Estimation window: 2012-07-11 - 2016-06-30, Best order: (4, 0, 5)-(1, 1), AIC: -6.86900534533014, Final model converged
[2024-06-02T03:55:40] Estimation window: 2012-07-12 - 2016-07-01, Best order: (5, 0, 3)-(1, 1), AIC: -6.89826541878296, Final model converged
[2024-06-02T03:55:53] Estimation window: 2012-07-13 - 2016-07-05, Best order: (5, 0, 3)-(1, 1), AIC: -6.88831706874981, Final model converged
[2024-06-02T03:56:07] Estimation window: 2012-07-16 - 2016-07-06, Best order: (5, 0, 5)-(1, 1), AIC: -6.8968960935786, Final model converged
[2024-06-02T03:56:25] Estimation window: 2012-07-17 - 2016-07-07, Best order: (5, 0, 3)-(1, 1), AIC: -6.872001881571, Final model converged
[2024-06-02T03:57:03] Estimation window: 2012-07-18 - 2016-07-08, Best order: (4, 0, 3)-(1, 1), AIC: 494.272370765396, Final model converged
[2024-06-02T03:57:17] Estimation window: 2012-07-19 - 2016-07-11, Best order: (5, 0, 4)-(1, 1), AIC: -6.9024325169784, Final model converged
[2024-06-02T03:57:30] Estimation window: 2012-07-20 - 2016-07-12, Best order: (4, 0, 5)-(1, 1), AIC: -6.88638466136809, Final model converged
[2024-06-02T03:57:43] Estimation window: 2012-07-23 - 2016-07-13, Best order: (4, 0, 5)-(1, 1), AIC: -6.8826228794697, Final model converged
[2024-06-02T03:57:56] Estimation window: 2012-07-24 - 2016-07-14, Best order: (3, 0, 4)-(1, 1), AIC: -6.88498434833365, Final model FAILED to converge
[2024-06-02T03:58:10] Estimation window: 2012-07-25 - 2016-07-15, Best order: (5, 0, 5)-(1, 1), AIC: -6.89391640608373, Final model converged
[2024-06-02T03:58:34] Estimation window: 2012-07-26 - 2016-07-18, Best order: (5, 0, 4)-(1, 1), AIC: -6.90237639252921, Final model converged
[2024-06-02T03:58:47] Estimation window: 2012-07-27 - 2016-07-19, Best order: (3, 0, 3)-(1, 1), AIC: -6.90838064348308, Final model converged
[2024-06-02T03:59:00] Estimation window: 2012-07-30 - 2016-07-20, Best order: (4, 0, 3)-(1, 1), AIC: -6.89653332872578, Final model converged
[2024-06-02T03:59:14] Estimation window: 2012-07-31 - 2016-07-21, Best order: (5, 0, 5)-(1, 1), AIC: -6.91055567042518, Final model FAILED to converge
[2024-06-02T03:59:27] Estimation window: 2012-08-01 - 2016-07-22, Best order: (4, 0, 5)-(1, 1), AIC: -6.90337336060564, Final model converged
[2024-06-02T03:59:39] Estimation window: 2012-08-02 - 2016-07-25, Best order: (2, 0, 3)-(1, 1), AIC: -6.90059786042566, Final model converged
