[2024-06-02T03:10:35] Estimation window: 2002-09-13 - 2006-08-31, Best order: (4, 0, 4)-(1, 1), AIC: -6.82343508768901, Final model converged
[2024-06-02T03:10:46] Estimation window: 2002-09-16 - 2006-09-01, Best order: (5, 0, 5)-(1, 1), AIC: -6.81069489900725, Final model FAILED to converge
[2024-06-02T03:11:22] Estimation window: 2002-09-17 - 2006-09-05, Best order: (5, 0, 5)-(1, 1), AIC: 534.645940937033, Final model converged
[2024-06-02T03:11:38] Estimation window: 2002-09-18 - 2006-09-06, Best order: (5, 0, 5)-(1, 1), AIC: -6.80707732147336, Final model converged
[2024-06-02T03:11:57] Estimation window: 2002-09-19 - 2006-09-07, Best order: (5, 0, 5)-(1, 1), AIC: -6.81645354980154, Final model FAILED to converge
[2024-06-02T03:12:09] Estimation window: 2002-09-20 - 2006-09-08, Best order: (4, 0, 3)-(1, 1), AIC: -6.82690673852947, Final model converged
[2024-06-02T03:12:21] Estimation window: 2002-09-23 - 2006-09-11, Best order: (3, 0, 4)-(1, 1), AIC: -6.7989282223422, Final model converged
[2024-06-02T03:12:35] Estimation window: 2002-09-24 - 2006-09-12, Best order: (5, 0, 5)-(1, 1), AIC: -6.79833138300653, Final model converged
[2024-06-02T03:12:53] Estimation window: 2002-09-25 - 2006-09-13, Best order: (3, 0, 4)-(1, 1), AIC: -6.80449521123651, Final model converged
[2024-06-02T03:13:04] Estimation window: 2002-09-26 - 2006-09-14, Best order: (1, 0, 1)-(1, 1), AIC: -6.8121174906353, Final model converged
[2024-06-02T03:13:15] Estimation window: 2002-09-27 - 2006-09-15, Best order: (2, 0, 3)-(1, 1), AIC: -6.8322234098841, Final model converged
[2024-06-02T03:13:26] Estimation window: 2002-09-30 - 2006-09-18, Best order: (3, 0, 2)-(1, 1), AIC: -6.81906598706561, Final model converged
[2024-06-02T03:13:37] Estimation window: 2002-10-01 - 2006-09-19, Best order: (5, 0, 2)-(1, 1), AIC: -6.82519080570593, Final model converged
[2024-06-02T03:13:48] Estimation window: 2002-10-02 - 2006-09-20, Best order: (3, 0, 2)-(1, 1), AIC: -6.82634751746267, Final model converged
[2024-06-02T03:14:04] Estimation window: 2002-10-03 - 2006-09-21, Best order: (3, 0, 2)-(1, 1), AIC: -6.85831505098125, Final model converged
[2024-06-02T03:14:20] Estimation window: 2002-10-04 - 2006-09-22, Best order: (2, 0, 3)-(1, 1), AIC: -6.85650702835927, Final model converged
[2024-06-02T03:14:31] Estimation window: 2002-10-07 - 2006-09-25, Best order: (0, 0, 1)-(1, 1), AIC: -6.83830419470476, Final model converged
[2024-06-02T03:14:42] Estimation window: 2002-10-08 - 2006-09-26, Best order: (0, 0, 1)-(1, 1), AIC: -6.83908032751705, Final model converged
[2024-06-02T03:15:05] Estimation window: 2002-10-09 - 2006-09-27, Best order: (1, 0, 1)-(1, 1), AIC: -6.84025699227802, Final model converged
[2024-06-02T03:15:26] Estimation window: 2002-10-10 - 2006-09-28, Best order: (4, 0, 3)-(1, 1), AIC: -6.83866236056409, Final model converged
[2024-06-02T03:15:46] Estimation window: 2002-10-11 - 2006-09-29, Best order: (3, 0, 4)-(1, 1), AIC: -6.84272487341887, Final model converged
[2024-06-02T03:15:58] Estimation window: 2002-10-14 - 2006-10-02, Best order: (4, 0, 3)-(1, 1), AIC: -6.83770459444142, Final model converged
[2024-06-02T03:16:10] Estimation window: 2002-10-15 - 2006-10-03, Best order: (3, 0, 3)-(1, 1), AIC: -6.84610885126836, Final model converged
[2024-06-02T03:16:27] Estimation window: 2002-10-16 - 2006-10-04, Best order: (4, 0, 3)-(1, 1), AIC: -6.88633923659731, Final model converged
[2024-06-02T03:16:39] Estimation window: 2002-10-17 - 2006-10-05, Best order: (5, 0, 5)-(1, 1), AIC: -6.91017263395305, Final model FAILED to converge
[2024-06-02T03:16:50] Estimation window: 2002-10-18 - 2006-10-06, Best order: (3, 0, 4)-(1, 1), AIC: -6.90085252948256, Final model converged
[2024-06-02T03:17:02] Estimation window: 2002-10-21 - 2006-10-09, Best order: (4, 0, 5)-(1, 1), AIC: -6.91012684213167, Final model converged
[2024-06-02T03:17:12] Estimation window: 2002-10-22 - 2006-10-10, Best order: (4, 0, 2)-(1, 1), AIC: -6.89091820132143, Final model converged
