[2024-06-02T03:54:09] Estimation window: 2013-03-12 - 2017-02-28, Best order: (3, 0, 3)-(1, 1), AIC: -6.9862570630457, Final model converged
[2024-06-02T03:54:30] Estimation window: 2013-03-13 - 2017-03-01, Best order: (4, 0, 4)-(1, 1), AIC: -7.00482939905627, Final model converged
[2024-06-02T03:54:51] Estimation window: 2013-03-14 - 2017-03-02, Best order: (2, 0, 2)-(1, 1), AIC: -6.9813354145519, Final model converged
[2024-06-02T03:55:24] Estimation window: 2013-03-15 - 2017-03-03, Best order: (5, 0, 4)-(1, 1), AIC: -6.9800040247151, Final model converged
[2024-06-02T03:55:45] Estimation window: 2013-03-18 - 2017-03-06, Best order: (5, 0, 5)-(1, 1), AIC: -6.97554603017968, Final model converged
[2024-06-02T03:56:04] Estimation window: 2013-03-19 - 2017-03-07, Best order: (4, 0, 4)-(1, 1), AIC: -6.98421149566766, Final model converged
[2024-06-02T03:56:18] Estimation window: 2013-03-20 - 2017-03-08, Best order: (3, 0, 5)-(1, 1), AIC: -6.88856050142795, Final model converged
[2024-06-02T03:56:33] Estimation window: 2013-03-21 - 2017-03-09, Best order: (3, 0, 4)-(1, 1), AIC: -6.97696850701664, Final model converged
[2024-06-02T03:56:47] Estimation window: 2013-03-22 - 2017-03-10, Best order: (4, 0, 4)-(1, 1), AIC: -6.98274085755642, Final model FAILED to converge
[2024-06-02T03:57:01] Estimation window: 2013-03-25 - 2017-03-13, Best order: (5, 0, 5)-(1, 1), AIC: -6.98583706676797, Final model converged
[2024-06-02T03:57:14] Estimation window: 2013-03-26 - 2017-03-14, Best order: (5, 0, 5)-(1, 1), AIC: -6.99259077969112, Final model converged
[2024-06-02T03:57:28] Estimation window: 2013-03-27 - 2017-03-15, Best order: (4, 0, 3)-(1, 1), AIC: -6.94503143049907, Final model converged
[2024-06-02T03:57:42] Estimation window: 2013-03-28 - 2017-03-16, Best order: (4, 0, 4)-(1, 1), AIC: -6.90314399613062, Final model converged
[2024-06-02T03:57:56] Estimation window: 2013-04-01 - 2017-03-17, Best order: (4, 0, 5)-(1, 1), AIC: -6.99477845670378, Final model converged
[2024-06-02T03:58:28] Estimation window: 2013-04-02 - 2017-03-20, Best order: (4, 0, 4)-(1, 1), AIC: -6.99485376628244, Final model FAILED to converge
[2024-06-02T03:58:42] Estimation window: 2013-04-03 - 2017-03-21, Best order: (3, 0, 4)-(1, 1), AIC: -6.96780206999048, Final model converged
[2024-06-02T03:59:15] Estimation window: 2013-04-04 - 2017-03-22, Best order: (5, 0, 3)-(1, 1), AIC: -6.97228917157841, Final model converged
