[2024-06-02T17:27:23] Estimation window: 2012-06-26 - 2016-06-16, Best order: (5, 0, 3)-(1, 1), AIC: -6.90582105307699, Final model converged
[2024-06-02T17:27:33] Estimation window: 2012-06-27 - 2016-06-17, Best order: (5, 0, 4)-(1, 1), AIC: -6.89271826513073, Final model converged
[2024-06-02T17:27:44] Estimation window: 2012-06-28 - 2016-06-20, Best order: (4, 0, 4)-(1, 1), AIC: -6.90560314496229, Final model converged
[2024-06-02T17:27:58] Estimation window: 2012-06-29 - 2016-06-21, Best order: (3, 0, 5)-(1, 1), AIC: -6.90639856483, Final model converged
[2024-06-02T17:28:07] Estimation window: 2012-07-02 - 2016-06-22, Best order: (3, 0, 4)-(1, 1), AIC: -6.92732577205754, Final model FAILED to converge
[2024-06-02T17:28:20] Estimation window: 2012-07-03 - 2016-06-23, Best order: (4, 0, 5)-(1, 1), AIC: -6.90541277046166, Final model converged
[2024-06-02T17:28:29] Estimation window: 2012-07-05 - 2016-06-24, Best order: (4, 0, 4)-(1, 1), AIC: -6.89071984211145, Final model converged
[2024-06-02T17:28:38] Estimation window: 2012-07-06 - 2016-06-27, Best order: (4, 0, 3)-(1, 1), AIC: -6.87511448272153, Final model FAILED to converge
[2024-06-02T17:28:48] Estimation window: 2012-07-09 - 2016-06-28, Best order: (4, 0, 4)-(1, 1), AIC: -6.89099296999895, Final model FAILED to converge
[2024-06-02T17:28:56] Estimation window: 2012-07-10 - 2016-06-29, Best order: (5, 0, 4)-(1, 1), AIC: -6.89639553791159, Final model converged
[2024-06-02T17:29:14] Estimation window: 2012-07-11 - 2016-06-30, Best order: (4, 0, 5)-(1, 1), AIC: -6.86900534533014, Final model converged
[2024-06-02T17:29:24] Estimation window: 2012-07-12 - 2016-07-01, Best order: (5, 0, 3)-(1, 1), AIC: -6.89826541878296, Final model converged
[2024-06-02T17:29:33] Estimation window: 2012-07-13 - 2016-07-05, Best order: (5, 0, 3)-(1, 1), AIC: -6.88831706874981, Final model converged
[2024-06-02T17:29:43] Estimation window: 2012-07-16 - 2016-07-06, Best order: (5, 0, 5)-(1, 1), AIC: -6.8968960935786, Final model converged
[2024-06-02T17:29:56] Estimation window: 2012-07-17 - 2016-07-07, Best order: (5, 0, 3)-(1, 1), AIC: -6.872001881571, Final model converged
[2024-06-02T17:30:14] Estimation window: 2012-07-18 - 2016-07-08, Best order: (4, 0, 3)-(1, 1), AIC: -6.90390349510596, Final model converged
[2024-06-02T17:30:24] Estimation window: 2012-07-19 - 2016-07-11, Best order: (5, 0, 4)-(1, 1), AIC: -6.9024325169784, Final model converged
[2024-06-02T17:30:33] Estimation window: 2012-07-20 - 2016-07-12, Best order: (4, 0, 5)-(1, 1), AIC: -6.88638466136809, Final model converged
