[2024-06-02T03:10:33] Estimation window: 2002-01-02 - 2005-12-19, Best order: (5, 0, 5)-(1, 1), AIC: -6.54851875256126, Final model converged
[2024-06-02T03:10:46] Estimation window: 2002-01-03 - 2005-12-20, Best order: (4, 0, 5)-(1, 1), AIC: -6.55278668137994, Final model converged
[2024-06-02T03:11:22] Estimation window: 2002-01-04 - 2005-12-21, Best order: (5, 0, 4)-(1, 1), AIC: 90.9955339156829, Final model FAILED to converge
[2024-06-02T03:11:33] Estimation window: 2002-01-07 - 2005-12-22, Best order: (3, 0, 5)-(1, 1), AIC: -6.55004250057621, Final model converged
[2024-06-02T03:11:44] Estimation window: 2002-01-08 - 2005-12-23, Best order: (5, 0, 5)-(1, 1), AIC: -6.52558534426624, Final model converged
[2024-06-02T03:11:55] Estimation window: 2002-01-09 - 2005-12-27, Best order: (2, 0, 4)-(1, 1), AIC: -6.52852951867306, Final model converged
[2024-06-02T03:12:07] Estimation window: 2002-01-10 - 2005-12-28, Best order: (5, 0, 5)-(1, 1), AIC: -6.54858155833104, Final model FAILED to converge
[2024-06-02T03:12:18] Estimation window: 2002-01-11 - 2005-12-29, Best order: (4, 0, 4)-(1, 1), AIC: -6.53921374497813, Final model converged
[2024-06-02T03:12:28] Estimation window: 2002-01-14 - 2005-12-30, Best order: (3, 0, 4)-(1, 1), AIC: -6.54263836955753, Final model converged
[2024-06-02T03:12:40] Estimation window: 2002-01-15 - 2006-01-03, Best order: (4, 0, 5)-(1, 1), AIC: -6.54519681739875, Final model converged
[2024-06-02T03:12:52] Estimation window: 2002-01-16 - 2006-01-04, Best order: (5, 0, 5)-(1, 1), AIC: -6.5337093051539, Final model FAILED to converge
[2024-06-02T03:13:22] Estimation window: 2002-01-17 - 2006-01-05, Best order: (4, 0, 5)-(1, 1), AIC: 347.478938486061, Final model FAILED to converge
[2024-06-02T03:13:33] Estimation window: 2002-01-18 - 2006-01-06, Best order: (4, 0, 5)-(1, 1), AIC: -6.56456042545499, Final model converged
[2024-06-02T03:13:45] Estimation window: 2002-01-22 - 2006-01-09, Best order: (3, 0, 5)-(1, 1), AIC: -6.53063688738579, Final model converged
[2024-06-02T03:13:56] Estimation window: 2002-01-23 - 2006-01-10, Best order: (5, 0, 5)-(1, 1), AIC: -6.53414287768793, Final model converged
[2024-06-02T03:14:12] Estimation window: 2002-01-24 - 2006-01-11, Best order: (3, 0, 5)-(1, 1), AIC: -6.54592859034937, Final model converged
[2024-06-02T03:14:23] Estimation window: 2002-01-25 - 2006-01-12, Best order: (5, 0, 2)-(1, 1), AIC: -6.55830201389709, Final model converged
[2024-06-02T03:14:35] Estimation window: 2002-01-28 - 2006-01-13, Best order: (5, 0, 3)-(1, 1), AIC: -6.53709699700277, Final model FAILED to converge
[2024-06-02T03:14:53] Estimation window: 2002-01-29 - 2006-01-17, Best order: (5, 0, 4)-(1, 1), AIC: -6.54843087400481, Final model converged
[2024-06-02T03:15:09] Estimation window: 2002-01-30 - 2006-01-18, Best order: (4, 0, 5)-(1, 1), AIC: -6.58109675941775, Final model converged
[2024-06-02T03:15:22] Estimation window: 2002-01-31 - 2006-01-19, Best order: (5, 0, 4)-(1, 1), AIC: -6.58065077163411, Final model converged
[2024-06-02T03:15:41] Estimation window: 2002-02-01 - 2006-01-20, Best order: (5, 0, 4)-(1, 1), AIC: -6.56943022228431, Final model converged
[2024-06-02T03:16:11] Estimation window: 2002-02-04 - 2006-01-23, Best order: (4, 0, 5)-(1, 1), AIC: -6.56523916473222, Final model converged
[2024-06-02T03:16:27] Estimation window: 2002-02-05 - 2006-01-24, Best order: (4, 0, 3)-(1, 1), AIC: -6.54745519562128, Final model converged
[2024-06-02T03:16:57] Estimation window: 2002-02-06 - 2006-01-25, Best order: (5, 0, 4)-(1, 1), AIC: 11.053881350372, Final model FAILED to converge
[2024-06-02T03:17:09] Estimation window: 2002-02-07 - 2006-01-26, Best order: (5, 0, 3)-(1, 1), AIC: -6.54667262650721, Final model FAILED to converge
[2024-06-02T03:17:25] Estimation window: 2002-02-08 - 2006-01-27, Best order: (5, 0, 5)-(1, 1), AIC: -6.54580319685674, Final model converged
[2024-06-02T03:17:43] Estimation window: 2002-02-11 - 2006-01-30, Best order: (5, 0, 4)-(1, 1), AIC: -6.55015649769779, Final model converged
[2024-06-02T03:17:55] Estimation window: 2002-02-12 - 2006-01-31, Best order: (5, 0, 3)-(1, 1), AIC: -6.56750533527634, Final model converged
[2024-06-02T03:18:05] Estimation window: 2002-02-13 - 2006-02-01, Best order: (5, 0, 5)-(1, 1), AIC: -6.5749795338845, Final model converged
[2024-06-02T03:18:29] Estimation window: 2002-02-14 - 2006-02-02, Best order: (5, 0, 4)-(1, 1), AIC: -6.5895559888797, Final model FAILED to converge
[2024-06-02T03:18:53] Estimation window: 2002-02-15 - 2006-02-03, Best order: (4, 0, 5)-(1, 1), AIC: -6.58887910641087, Final model FAILED to converge
[2024-06-02T03:19:14] Estimation window: 2002-02-19 - 2006-02-06, Best order: (4, 0, 5)-(1, 1), AIC: -6.60364688166559, Final model converged
[2024-06-02T03:19:25] Estimation window: 2002-02-20 - 2006-02-07, Best order: (3, 0, 2)-(1, 1), AIC: -6.57692346904573, Final model converged
[2024-06-02T03:19:35] Estimation window: 2002-02-21 - 2006-02-08, Best order: (2, 0, 2)-(1, 1), AIC: -6.56397619505593, Final model converged
[2024-06-02T03:19:46] Estimation window: 2002-02-22 - 2006-02-09, Best order: (3, 0, 5)-(1, 1), AIC: -6.56328502845721, Final model converged
[2024-06-02T03:19:57] Estimation window: 2002-02-25 - 2006-02-10, Best order: (5, 0, 4)-(1, 1), AIC: -6.59449381996465, Final model converged
[2024-06-02T03:20:08] Estimation window: 2002-02-26 - 2006-02-13, Best order: (3, 0, 5)-(1, 1), AIC: -6.58160356583225, Final model converged
[2024-06-02T03:20:19] Estimation window: 2002-02-27 - 2006-02-14, Best order: (5, 0, 4)-(1, 1), AIC: -6.59423239490677, Final model FAILED to converge
[2024-06-02T03:20:32] Estimation window: 2002-02-28 - 2006-02-15, Best order: (5, 0, 3)-(1, 1), AIC: -6.58201424376469, Final model converged
[2024-06-02T03:21:10] Estimation window: 2002-03-01 - 2006-02-16, Best order: (3, 0, 5)-(1, 1), AIC: 398.787539020903, Final model FAILED to converge
[2024-06-02T03:21:21] Estimation window: 2002-03-04 - 2006-02-17, Best order: (5, 0, 5)-(1, 1), AIC: -6.58166748460273, Final model converged
[2024-06-02T03:21:32] Estimation window: 2002-03-05 - 2006-02-21, Best order: (4, 0, 5)-(1, 1), AIC: -6.57940384300156, Final model converged
[2024-06-02T03:21:56] Estimation window: 2002-03-06 - 2006-02-22, Best order: (3, 0, 2)-(1, 1), AIC: -6.59690069122629, Final model converged
[2024-06-02T03:22:07] Estimation window: 2002-03-07 - 2006-02-23, Best order: (5, 0, 5)-(1, 1), AIC: -6.60184302588473, Final model FAILED to converge
[2024-06-02T03:22:17] Estimation window: 2002-03-08 - 2006-02-24, Best order: (5, 0, 5)-(1, 1), AIC: -6.60446021976094, Final model converged
[2024-06-02T03:22:36] Estimation window: 2002-03-11 - 2006-02-27, Best order: (5, 0, 4)-(1, 1), AIC: -6.58154047934634, Final model converged
[2024-06-02T03:22:47] Estimation window: 2002-03-12 - 2006-02-28, Best order: (4, 0, 5)-(1, 1), AIC: -6.61053057809723, Final model converged
[2024-06-02T03:22:58] Estimation window: 2002-03-13 - 2006-03-01, Best order: (4, 0, 5)-(1, 1), AIC: -6.60700704260347, Final model converged
[2024-06-02T03:23:11] Estimation window: 2002-03-14 - 2006-03-02, Best order: (3, 0, 4)-(1, 1), AIC: -6.60923525869904, Final model FAILED to converge
[2024-06-02T03:23:22] Estimation window: 2002-03-15 - 2006-03-03, Best order: (4, 0, 5)-(1, 1), AIC: -6.59490699944688, Final model converged
[2024-06-02T03:23:32] Estimation window: 2002-03-18 - 2006-03-06, Best order: (5, 0, 4)-(1, 1), AIC: -6.59224117977591, Final model converged
[2024-06-02T03:23:43] Estimation window: 2002-03-19 - 2006-03-07, Best order: (5, 0, 3)-(1, 1), AIC: -6.59533154519622, Final model converged
[2024-06-02T03:23:55] Estimation window: 2002-03-20 - 2006-03-08, Best order: (2, 0, 3)-(1, 1), AIC: -6.58860613230147, Final model converged
[2024-06-02T03:24:06] Estimation window: 2002-03-21 - 2006-03-09, Best order: (3, 0, 2)-(1, 1), AIC: -6.5909029313343, Final model converged
[2024-06-02T03:24:17] Estimation window: 2002-03-22 - 2006-03-10, Best order: (4, 0, 5)-(1, 1), AIC: -6.59664511762282, Final model converged
[2024-06-02T03:24:27] Estimation window: 2002-03-25 - 2006-03-13, Best order: (4, 0, 2)-(1, 1), AIC: -6.59109740522171, Final model converged
[2024-06-02T03:24:39] Estimation window: 2002-03-26 - 2006-03-14, Best order: (5, 0, 4)-(1, 1), AIC: -6.61281649266386, Final model converged
[2024-06-02T03:24:50] Estimation window: 2002-03-27 - 2006-03-15, Best order: (5, 0, 4)-(1, 1), AIC: -6.61590005788119, Final model converged
[2024-06-02T03:25:01] Estimation window: 2002-03-28 - 2006-03-16, Best order: (5, 0, 3)-(1, 1), AIC: -6.59357581889813, Final model FAILED to converge
[2024-06-02T03:25:13] Estimation window: 2002-04-01 - 2006-03-17, Best order: (5, 0, 4)-(1, 1), AIC: -6.61460778999893, Final model FAILED to converge
[2024-06-02T03:25:25] Estimation window: 2002-04-02 - 2006-03-20, Best order: (5, 0, 4)-(1, 1), AIC: -6.59501349478613, Final model converged
[2024-06-02T03:25:37] Estimation window: 2002-04-03 - 2006-03-21, Best order: (5, 0, 4)-(1, 1), AIC: -6.61524038493765, Final model FAILED to converge
[2024-06-02T03:25:53] Estimation window: 2002-04-04 - 2006-03-22, Best order: (4, 0, 5)-(1, 1), AIC: -6.629053599915, Final model converged
[2024-06-02T03:26:03] Estimation window: 2002-04-05 - 2006-03-23, Best order: (5, 0, 4)-(1, 1), AIC: -6.60607534652594, Final model converged
[2024-06-02T03:26:14] Estimation window: 2002-04-08 - 2006-03-24, Best order: (5, 0, 5)-(1, 1), AIC: -6.61869130263834, Final model converged
[2024-06-02T03:26:25] Estimation window: 2002-04-09 - 2006-03-27, Best order: (4, 0, 5)-(1, 1), AIC: -6.60061162811508, Final model converged
[2024-06-02T03:26:37] Estimation window: 2002-04-10 - 2006-03-28, Best order: (4, 0, 5)-(1, 1), AIC: -6.61962366939244, Final model converged
[2024-06-02T03:26:48] Estimation window: 2002-04-11 - 2006-03-29, Best order: (2, 0, 3)-(1, 1), AIC: -6.61216198504421, Final model converged
[2024-06-02T03:26:58] Estimation window: 2002-04-12 - 2006-03-30, Best order: (3, 0, 5)-(1, 1), AIC: -6.61923431950994, Final model converged
[2024-06-02T03:27:09] Estimation window: 2002-04-15 - 2006-03-31, Best order: (4, 0, 2)-(1, 1), AIC: -6.60991950742911, Final model converged
[2024-06-02T03:27:22] Estimation window: 2002-04-16 - 2006-04-03, Best order: (3, 0, 5)-(1, 1), AIC: -6.63485523369325, Final model converged
[2024-06-02T03:27:34] Estimation window: 2002-04-17 - 2006-04-04, Best order: (5, 0, 4)-(1, 1), AIC: -6.62980787951181, Final model converged
[2024-06-02T03:27:52] Estimation window: 2002-04-18 - 2006-04-05, Best order: (4, 0, 5)-(1, 1), AIC: -6.64426356488515, Final model converged
[2024-06-02T03:28:03] Estimation window: 2002-04-19 - 2006-04-06, Best order: (5, 0, 5)-(1, 1), AIC: -6.6210494617186, Final model converged
[2024-06-02T03:28:13] Estimation window: 2002-04-22 - 2006-04-07, Best order: (2, 0, 2)-(1, 1), AIC: -6.63061358167633, Final model converged
