[2024-06-01T17:37:34] Estimation window: 2005-03-14 - 2007-03-08, Best order: (4, 0, 5)-(1, 1), AIC: -7.2659091126011, Final model converged
[2024-06-01T17:37:47] Estimation window: 2005-03-15 - 2007-03-09, Best order: (4, 0, 5)-(1, 1), AIC: -7.24965168650241, Final model converged
[2024-06-01T17:37:59] Estimation window: 2005-03-16 - 2007-03-12, Best order: (3, 0, 3)-(1, 1), AIC: -7.24472995916962, Final model FAILED to converge
[2024-06-01T17:38:12] Estimation window: 2005-03-17 - 2007-03-13, Best order: (5, 0, 4)-(1, 1), AIC: -7.25002236239374, Final model converged
[2024-06-01T17:38:25] Estimation window: 2005-03-18 - 2007-03-14, Best order: (4, 0, 2)-(1, 1), AIC: -7.27571739754542, Final model converged
[2024-06-01T17:38:38] Estimation window: 2005-03-21 - 2007-03-15, Best order: (4, 0, 5)-(1, 1), AIC: -7.28278896363813, Final model converged
[2024-06-01T17:38:51] Estimation window: 2005-03-22 - 2007-03-16, Best order: (4, 0, 3)-(1, 1), AIC: -7.24050409450737, Final model converged
[2024-06-01T17:39:03] Estimation window: 2005-03-23 - 2007-03-19, Best order: (3, 0, 4)-(1, 1), AIC: -7.23178595730599, Final model converged
[2024-06-01T17:39:16] Estimation window: 2005-03-24 - 2007-03-20, Best order: (3, 0, 4)-(1, 1), AIC: -7.24796238752355, Final model converged
[2024-06-01T17:39:30] Estimation window: 2005-03-28 - 2007-03-21, Best order: (5, 0, 5)-(1, 1), AIC: -7.23922769020879, Final model converged
[2024-06-01T17:39:44] Estimation window: 2005-03-29 - 2007-03-22, Best order: (2, 0, 4)-(1, 1), AIC: -7.21404284048095, Final model converged
[2024-06-01T17:39:58] Estimation window: 2005-03-30 - 2007-03-23, Best order: (3, 0, 3)-(1, 1), AIC: -7.27608405280407, Final model converged
[2024-06-01T17:40:18] Estimation window: 2005-03-31 - 2007-03-26, Best order: (1, 0, 4)-(1, 1), AIC: -7.23452739471307, Final model converged
[2024-06-01T17:40:31] Estimation window: 2005-04-01 - 2007-03-27, Best order: (4, 0, 5)-(1, 1), AIC: -7.22543478926872, Final model converged
[2024-06-01T17:40:44] Estimation window: 2005-04-04 - 2007-03-28, Best order: (4, 0, 5)-(1, 1), AIC: -7.22677252049416, Final model converged
[2024-06-01T17:40:56] Estimation window: 2005-04-05 - 2007-03-29, Best order: (3, 0, 4)-(1, 1), AIC: -7.25202734063345, Final model converged
[2024-06-01T17:41:10] Estimation window: 2005-04-06 - 2007-03-30, Best order: (5, 0, 5)-(1, 1), AIC: -7.22545854964344, Final model converged
[2024-06-01T17:41:23] Estimation window: 2005-04-07 - 2007-04-02, Best order: (5, 0, 5)-(1, 1), AIC: -7.28281952031407, Final model converged
[2024-06-01T17:41:35] Estimation window: 2005-04-08 - 2007-04-03, Best order: (5, 0, 4)-(1, 1), AIC: -7.22678950279772, Final model converged
[2024-06-01T17:41:50] Estimation window: 2005-04-11 - 2007-04-04, Best order: (4, 0, 3)-(1, 1), AIC: -7.23759847397898, Final model converged
[2024-06-01T17:42:04] Estimation window: 2005-04-12 - 2007-04-05, Best order: (4, 0, 2)-(1, 1), AIC: -7.2838466689536, Final model converged
[2024-06-01T17:42:23] Estimation window: 2005-04-13 - 2007-04-09, Best order: (3, 0, 4)-(1, 1), AIC: -7.29238401326585, Final model converged
[2024-06-01T17:42:38] Estimation window: 2005-04-14 - 2007-04-10, Best order: (3, 0, 2)-(1, 1), AIC: -7.30280067476633, Final model converged
[2024-06-01T17:42:55] Estimation window: 2005-04-15 - 2007-04-11, Best order: (4, 0, 2)-(1, 1), AIC: -7.28296689360021, Final model converged
[2024-06-01T17:43:04] Estimation window: 2005-04-18 - 2007-04-12, Best order: (5, 0, 5)-(1, 1), AIC: -7.21673193658455, Final model converged
