[2024-06-01T14:42:55] Estimation window: 2014-10-10 - 2016-10-04, Best order: (2, 0, 3)-(1, 1), AIC: -6.69475458811273, Final model converged
[2024-06-01T14:43:09] Estimation window: 2014-10-13 - 2016-10-05, Best order: (5, 0, 3)-(1, 1), AIC: -6.70171542258711, Final model converged
[2024-06-01T14:43:29] Estimation window: 2014-10-14 - 2016-10-06, Best order: (5, 0, 3)-(1, 1), AIC: -6.72815623156599, Final model converged
[2024-06-01T14:43:51] Estimation window: 2014-10-15 - 2016-10-07, Best order: (5, 0, 4)-(1, 1), AIC: -6.71877327517857, Final model converged
[2024-06-01T14:44:08] Estimation window: 2014-10-16 - 2016-10-10, Best order: (5, 0, 5)-(1, 1), AIC: -6.70208540019887, Final model converged
[2024-06-01T14:44:35] Estimation window: 2014-10-17 - 2016-10-11, Best order: (5, 0, 4)-(1, 1), AIC: -6.70873428141572, Final model converged
[2024-06-01T14:44:56] Estimation window: 2014-10-20 - 2016-10-12, Best order: (3, 0, 3)-(1, 1), AIC: -6.74343495624735, Final model converged
[2024-06-01T14:45:18] Estimation window: 2014-10-21 - 2016-10-13, Best order: (4, 0, 5)-(1, 1), AIC: -6.71540320647484, Final model converged
[2024-06-01T14:45:38] Estimation window: 2014-10-22 - 2016-10-14, Best order: (3, 0, 4)-(1, 1), AIC: -6.79039329401109, Final model converged
[2024-06-01T14:46:03] Estimation window: 2014-10-23 - 2016-10-17, Best order: (4, 0, 5)-(1, 1), AIC: -6.71681458926654, Final model FAILED to converge
[2024-06-01T14:46:19] Estimation window: 2014-10-24 - 2016-10-18, Best order: (2, 0, 4)-(1, 1), AIC: -6.73265723167286, Final model converged
[2024-06-01T14:46:37] Estimation window: 2014-10-27 - 2016-10-19, Best order: (3, 0, 5)-(1, 1), AIC: -6.7290785407446, Final model converged
[2024-06-01T14:46:56] Estimation window: 2014-10-28 - 2016-10-20, Best order: (2, 0, 4)-(1, 1), AIC: -6.73307136120861, Final model converged
[2024-06-01T14:47:08] Estimation window: 2014-10-29 - 2016-10-21, Best order: (5, 0, 4)-(1, 1), AIC: -6.73396349130561, Final model converged
[2024-06-01T14:47:23] Estimation window: 2014-10-30 - 2016-10-24, Best order: (4, 0, 4)-(1, 1), AIC: -6.7448480702442, Final model converged
[2024-06-01T14:47:36] Estimation window: 2014-10-31 - 2016-10-25, Best order: (4, 0, 5)-(1, 1), AIC: -6.74769095102952, Final model converged
[2024-06-01T14:47:50] Estimation window: 2014-11-03 - 2016-10-26, Best order: (4, 0, 5)-(1, 1), AIC: -6.74951309697146, Final model converged
[2024-06-01T14:48:04] Estimation window: 2014-11-04 - 2016-10-27, Best order: (3, 0, 5)-(1, 1), AIC: -6.75700830132015, Final model converged
[2024-06-01T14:48:20] Estimation window: 2014-11-05 - 2016-10-28, Best order: (5, 0, 4)-(1, 1), AIC: -6.73234339734924, Final model converged
[2024-06-01T14:48:39] Estimation window: 2014-11-06 - 2016-10-31, Best order: (4, 0, 4)-(1, 1), AIC: -6.74096036672136, Final model converged
[2024-06-01T14:48:57] Estimation window: 2014-11-07 - 2016-11-01, Best order: (4, 0, 3)-(1, 1), AIC: -6.74987846236638, Final model converged
[2024-06-01T14:49:11] Estimation window: 2014-11-10 - 2016-11-02, Best order: (4, 0, 3)-(1, 1), AIC: -6.72911367816133, Final model converged
[2024-06-01T14:49:34] Estimation window: 2014-11-11 - 2016-11-03, Best order: (3, 0, 4)-(1, 1), AIC: -6.70808953084833, Final model converged
[2024-06-01T14:49:51] Estimation window: 2014-11-12 - 2016-11-04, Best order: (5, 0, 5)-(1, 1), AIC: -6.77464116182817, Final model converged
[2024-06-01T14:50:05] Estimation window: 2014-11-13 - 2016-11-07, Best order: (3, 0, 3)-(1, 1), AIC: -6.73891205237471, Final model converged
[2024-06-01T14:50:23] Estimation window: 2014-11-14 - 2016-11-08, Best order: (5, 0, 3)-(1, 1), AIC: -6.71625217685382, Final model converged
[2024-06-01T14:50:37] Estimation window: 2014-11-17 - 2016-11-09, Best order: (5, 0, 3)-(1, 1), AIC: -6.74548266335022, Final model converged
[2024-06-01T14:50:58] Estimation window: 2014-11-18 - 2016-11-10, Best order: (3, 0, 4)-(1, 1), AIC: -6.75339198158599, Final model converged
[2024-06-01T14:51:28] Estimation window: 2014-11-19 - 2016-11-11, Best order: (4, 0, 3)-(1, 1), AIC: -6.70539026376521, Final model converged
[2024-06-01T14:52:01] Estimation window: 2014-11-20 - 2016-11-14, Best order: (4, 0, 3)-(1, 1), AIC: -6.70738940795607, Final model FAILED to converge
[2024-06-01T14:52:20] Estimation window: 2014-11-21 - 2016-11-15, Best order: (3, 0, 3)-(1, 1), AIC: -6.71117318747813, Final model converged
[2024-06-01T14:52:41] Estimation window: 2014-11-24 - 2016-11-16, Best order: (4, 0, 3)-(1, 1), AIC: -6.70464141420873, Final model converged
[2024-06-01T14:53:04] Estimation window: 2014-11-25 - 2016-11-17, Best order: (4, 0, 3)-(1, 1), AIC: -6.69506628235544, Final model converged
[2024-06-01T14:53:24] Estimation window: 2014-11-26 - 2016-11-18, Best order: (3, 0, 3)-(1, 1), AIC: -6.67738808781804, Final model converged
[2024-06-01T14:53:43] Estimation window: 2014-11-28 - 2016-11-21, Best order: (3, 0, 3)-(1, 1), AIC: -6.72804540451364, Final model converged
[2024-06-01T14:54:07] Estimation window: 2014-12-01 - 2016-11-22, Best order: (2, 0, 2)-(1, 1), AIC: -6.70832597937361, Final model converged
[2024-06-01T14:54:32] Estimation window: 2014-12-02 - 2016-11-23, Best order: (2, 0, 3)-(1, 1), AIC: -6.70330832874202, Final model converged
[2024-06-01T14:55:04] Estimation window: 2014-12-03 - 2016-11-25, Best order: (3, 0, 3)-(1, 1), AIC: -6.68305504617272, Final model converged
[2024-06-01T14:55:29] Estimation window: 2014-12-04 - 2016-11-28, Best order: (5, 0, 4)-(1, 1), AIC: -6.737891448436, Final model converged
[2024-06-01T14:55:54] Estimation window: 2014-12-05 - 2016-11-29, Best order: (5, 0, 4)-(1, 1), AIC: -6.72111783777183, Final model converged
[2024-06-01T14:56:10] Estimation window: 2014-12-08 - 2016-11-30, Best order: (5, 0, 4)-(1, 1), AIC: -6.70837782740267, Final model converged
[2024-06-01T14:56:27] Estimation window: 2014-12-09 - 2016-12-01, Best order: (2, 0, 2)-(1, 1), AIC: -6.71941717446277, Final model converged
[2024-06-01T14:56:49] Estimation window: 2014-12-10 - 2016-12-02, Best order: (5, 0, 5)-(1, 1), AIC: -6.7343693933059, Final model converged
[2024-06-01T14:57:08] Estimation window: 2014-12-11 - 2016-12-05, Best order: (4, 0, 5)-(1, 1), AIC: -6.71838095324494, Final model converged
[2024-06-01T14:57:24] Estimation window: 2014-12-12 - 2016-12-06, Best order: (4, 0, 2)-(1, 1), AIC: -6.71246693719561, Final model converged
[2024-06-01T14:57:36] Estimation window: 2014-12-15 - 2016-12-07, Best order: (4, 0, 5)-(1, 1), AIC: -6.77420234303705, Final model converged
[2024-06-01T14:57:50] Estimation window: 2014-12-16 - 2016-12-08, Best order: (4, 0, 5)-(1, 1), AIC: -6.74004043960348, Final model converged
[2024-06-01T14:58:16] Estimation window: 2014-12-17 - 2016-12-09, Best order: (5, 0, 4)-(1, 1), AIC: -6.71815748832226, Final model FAILED to converge
[2024-06-01T14:58:34] Estimation window: 2014-12-18 - 2016-12-12, Best order: (4, 0, 3)-(1, 1), AIC: -6.76055779475777, Final model converged
[2024-06-01T14:58:45] Estimation window: 2014-12-19 - 2016-12-13, Best order: (4, 0, 4)-(1, 1), AIC: -6.7323467511694, Final model converged
[2024-06-01T14:58:57] Estimation window: 2014-12-22 - 2016-12-14, Best order: (1, 0, 2)-(1, 1), AIC: -6.7559661224583, Final model converged
[2024-06-01T14:59:17] Estimation window: 2014-12-23 - 2016-12-15, Best order: (3, 0, 3)-(1, 1), AIC: -6.75802768666924, Final model converged
[2024-06-01T14:59:29] Estimation window: 2014-12-24 - 2016-12-16, Best order: (2, 0, 2)-(1, 1), AIC: -6.74997655732704, Final model converged
[2024-06-01T14:59:47] Estimation window: 2014-12-26 - 2016-12-19, Best order: (4, 0, 2)-(1, 1), AIC: -6.74918249865478, Final model converged
[2024-06-01T15:00:06] Estimation window: 2014-12-29 - 2016-12-20, Best order: (5, 0, 4)-(1, 1), AIC: -6.75985667563549, Final model converged
[2024-06-01T15:00:22] Estimation window: 2014-12-30 - 2016-12-21, Best order: (5, 0, 4)-(1, 1), AIC: -6.72156275245634, Final model converged
[2024-06-01T15:00:34] Estimation window: 2014-12-31 - 2016-12-22, Best order: (2, 0, 3)-(1, 1), AIC: -6.7519219774232, Final model converged
[2024-06-01T15:00:48] Estimation window: 2015-01-02 - 2016-12-23, Best order: (5, 0, 5)-(1, 1), AIC: -6.72416145413822, Final model converged
[2024-06-01T15:01:03] Estimation window: 2015-01-05 - 2016-12-27, Best order: (4, 0, 3)-(1, 1), AIC: -6.75019230495611, Final model converged
[2024-06-01T15:01:18] Estimation window: 2015-01-06 - 2016-12-28, Best order: (5, 0, 2)-(1, 1), AIC: -6.74279935519377, Final model converged
[2024-06-01T15:01:37] Estimation window: 2015-01-07 - 2016-12-29, Best order: (5, 0, 4)-(1, 1), AIC: -6.73833755823515, Final model converged
[2024-06-01T15:01:52] Estimation window: 2015-01-08 - 2016-12-30, Best order: (5, 0, 4)-(1, 1), AIC: -6.78885089003326, Final model converged
[2024-06-01T15:02:06] Estimation window: 2015-01-09 - 2017-01-03, Best order: (4, 0, 5)-(1, 1), AIC: -6.80104393392867, Final model converged
[2024-06-01T15:02:24] Estimation window: 2015-01-12 - 2017-01-04, Best order: (5, 0, 5)-(1, 1), AIC: -6.78529280459417, Final model converged
[2024-06-01T15:02:55] Estimation window: 2015-01-13 - 2017-01-05, Best order: (5, 0, 5)-(1, 1), AIC: 647.574917472892, Final model converged
[2024-06-01T15:03:12] Estimation window: 2015-01-14 - 2017-01-06, Best order: (4, 0, 3)-(1, 1), AIC: -6.80750965206579, Final model converged
[2024-06-01T15:03:27] Estimation window: 2015-01-15 - 2017-01-09, Best order: (5, 0, 3)-(1, 1), AIC: -6.75931131455359, Final model converged
[2024-06-01T15:03:38] Estimation window: 2015-01-16 - 2017-01-10, Best order: (4, 0, 4)-(1, 1), AIC: -6.78864025437139, Final model converged
[2024-06-01T15:03:49] Estimation window: 2015-01-20 - 2017-01-11, Best order: (5, 0, 3)-(1, 1), AIC: -6.82175903961295, Final model converged
[2024-06-01T15:04:01] Estimation window: 2015-01-21 - 2017-01-12, Best order: (5, 0, 4)-(1, 1), AIC: -6.78115598632301, Final model converged
[2024-06-01T15:04:13] Estimation window: 2015-01-22 - 2017-01-13, Best order: (3, 0, 5)-(1, 1), AIC: -6.80136061128257, Final model converged
[2024-06-01T15:04:26] Estimation window: 2015-01-23 - 2017-01-17, Best order: (3, 0, 5)-(1, 1), AIC: -6.82696070456895, Final model converged
[2024-06-01T15:04:43] Estimation window: 2015-01-26 - 2017-01-18, Best order: (5, 0, 2)-(1, 1), AIC: -6.78559593622889, Final model converged
[2024-06-01T15:04:55] Estimation window: 2015-01-27 - 2017-01-19, Best order: (2, 0, 4)-(1, 1), AIC: -6.79602660718381, Final model converged
[2024-06-01T15:05:08] Estimation window: 2015-01-28 - 2017-01-20, Best order: (3, 0, 5)-(1, 1), AIC: -6.79488846410676, Final model converged
[2024-06-01T15:05:24] Estimation window: 2015-01-29 - 2017-01-23, Best order: (5, 0, 3)-(1, 1), AIC: -6.82200625058142, Final model converged
