[2024-06-01T14:26:03] Estimation window: 2009-12-24 - 2011-12-16, Best order: (5, 0, 2)-(1, 1), AIC: -6.09645527062392, Final model converged
[2024-06-01T14:26:18] Estimation window: 2009-12-28 - 2011-12-19, Best order: (5, 0, 4)-(1, 1), AIC: -6.12074701557653, Final model converged
[2024-06-01T14:26:32] Estimation window: 2009-12-29 - 2011-12-20, Best order: (5, 0, 4)-(1, 1), AIC: -6.11929098105869, Final model converged
[2024-06-01T14:26:57] Estimation window: 2009-12-30 - 2011-12-21, Best order: (5, 0, 4)-(1, 1), AIC: -6.10249808989966, Final model converged
[2024-06-01T14:27:10] Estimation window: 2009-12-31 - 2011-12-22, Best order: (3, 0, 5)-(1, 1), AIC: -6.10308571100546, Final model converged
[2024-06-01T14:27:24] Estimation window: 2010-01-04 - 2011-12-23, Best order: (3, 0, 5)-(1, 1), AIC: -6.08431301587923, Final model converged
[2024-06-01T14:27:38] Estimation window: 2010-01-05 - 2011-12-27, Best order: (5, 0, 5)-(1, 1), AIC: -6.09758857237438, Final model converged
[2024-06-01T14:27:52] Estimation window: 2010-01-06 - 2011-12-28, Best order: (5, 0, 3)-(1, 1), AIC: -6.10630831437639, Final model converged
[2024-06-01T14:28:06] Estimation window: 2010-01-07 - 2011-12-29, Best order: (5, 0, 5)-(1, 1), AIC: -6.13012309091573, Final model converged
[2024-06-01T14:28:21] Estimation window: 2010-01-08 - 2011-12-30, Best order: (4, 0, 4)-(1, 1), AIC: -6.10414205730225, Final model converged
[2024-06-01T14:28:39] Estimation window: 2010-01-11 - 2012-01-03, Best order: (4, 0, 4)-(1, 1), AIC: -6.131196212062, Final model FAILED to converge
[2024-06-01T14:28:53] Estimation window: 2010-01-12 - 2012-01-04, Best order: (4, 0, 4)-(1, 1), AIC: -6.09764455253966, Final model converged
[2024-06-01T14:29:06] Estimation window: 2010-01-13 - 2012-01-05, Best order: (5, 0, 5)-(1, 1), AIC: -6.13043938414016, Final model converged
[2024-06-01T14:29:20] Estimation window: 2010-01-14 - 2012-01-06, Best order: (4, 0, 5)-(1, 1), AIC: -6.08019982311856, Final model converged
[2024-06-01T14:29:31] Estimation window: 2010-01-15 - 2012-01-09, Best order: (4, 0, 5)-(1, 1), AIC: -6.10428677143757, Final model converged
[2024-06-01T14:29:42] Estimation window: 2010-01-19 - 2012-01-10, Best order: (5, 0, 5)-(1, 1), AIC: -6.13452912761273, Final model converged
[2024-06-01T14:29:54] Estimation window: 2010-01-20 - 2012-01-11, Best order: (5, 0, 5)-(1, 1), AIC: -6.11481099935752, Final model converged
[2024-06-01T14:30:12] Estimation window: 2010-01-21 - 2012-01-12, Best order: (5, 0, 2)-(1, 1), AIC: -6.12911271046021, Final model converged
[2024-06-01T14:30:34] Estimation window: 2010-01-22 - 2012-01-13, Best order: (4, 0, 5)-(1, 1), AIC: -6.10444401358582, Final model converged
[2024-06-01T14:30:46] Estimation window: 2010-01-25 - 2012-01-17, Best order: (0, 0, 1)-(1, 1), AIC: -6.11088393645668, Final model converged
[2024-06-01T14:30:58] Estimation window: 2010-01-26 - 2012-01-18, Best order: (4, 0, 4)-(1, 1), AIC: -6.14077147409827, Final model converged
[2024-06-01T14:31:09] Estimation window: 2010-01-27 - 2012-01-19, Best order: (4, 0, 5)-(1, 1), AIC: -6.14645036261488, Final model converged
[2024-06-01T14:31:22] Estimation window: 2010-01-28 - 2012-01-20, Best order: (5, 0, 2)-(1, 1), AIC: -6.11366485666117, Final model converged
[2024-06-01T14:31:34] Estimation window: 2010-01-29 - 2012-01-23, Best order: (4, 0, 5)-(1, 1), AIC: -6.15465604377182, Final model converged
[2024-06-01T14:31:46] Estimation window: 2010-02-01 - 2012-01-24, Best order: (3, 0, 5)-(1, 1), AIC: -6.13240332089571, Final model converged
[2024-06-01T14:31:58] Estimation window: 2010-02-02 - 2012-01-25, Best order: (5, 0, 2)-(1, 1), AIC: -6.16240258331795, Final model converged
[2024-06-01T14:32:12] Estimation window: 2010-02-03 - 2012-01-26, Best order: (5, 0, 5)-(1, 1), AIC: -6.21521297317435, Final model converged
[2024-06-01T14:32:24] Estimation window: 2010-02-04 - 2012-01-27, Best order: (5, 0, 5)-(1, 1), AIC: -6.18073247417685, Final model converged
[2024-06-01T14:32:37] Estimation window: 2010-02-05 - 2012-01-30, Best order: (0, 0, 1)-(1, 1), AIC: -6.15001449873002, Final model converged
[2024-06-01T14:32:49] Estimation window: 2010-02-08 - 2012-01-31, Best order: (4, 0, 5)-(1, 1), AIC: -6.16672207679583, Final model converged
[2024-06-01T14:33:01] Estimation window: 2010-02-09 - 2012-02-01, Best order: (5, 0, 5)-(1, 1), AIC: -6.17228518947728, Final model converged
[2024-06-01T14:33:14] Estimation window: 2010-02-10 - 2012-02-02, Best order: (5, 0, 5)-(1, 1), AIC: -6.17736976481023, Final model converged
[2024-06-01T14:33:27] Estimation window: 2010-02-11 - 2012-02-03, Best order: (4, 0, 5)-(1, 1), AIC: -6.17275377590992, Final model converged
[2024-06-01T14:33:44] Estimation window: 2010-02-12 - 2012-02-06, Best order: (5, 0, 5)-(1, 1), AIC: -6.1719860086549, Final model converged
[2024-06-01T14:33:56] Estimation window: 2010-02-16 - 2012-02-07, Best order: (4, 0, 5)-(1, 1), AIC: -6.17146744036672, Final model converged
[2024-06-01T14:34:09] Estimation window: 2010-02-17 - 2012-02-08, Best order: (4, 0, 4)-(1, 1), AIC: -6.17316962610239, Final model converged
[2024-06-01T14:34:23] Estimation window: 2010-02-18 - 2012-02-09, Best order: (5, 0, 5)-(1, 1), AIC: -6.18600330313502, Final model converged
[2024-06-01T14:34:37] Estimation window: 2010-02-19 - 2012-02-10, Best order: (5, 0, 5)-(1, 1), AIC: -6.17891747578262, Final model converged
[2024-06-01T14:34:52] Estimation window: 2010-02-22 - 2012-02-13, Best order: (5, 0, 4)-(1, 1), AIC: -6.16773880691904, Final model converged
[2024-06-01T14:35:04] Estimation window: 2010-02-23 - 2012-02-14, Best order: (4, 0, 5)-(1, 1), AIC: -6.18039615117884, Final model converged
[2024-06-01T14:35:17] Estimation window: 2010-02-24 - 2012-02-15, Best order: (5, 0, 5)-(1, 1), AIC: -6.1744696821234, Final model converged
[2024-06-01T14:35:29] Estimation window: 2010-02-25 - 2012-02-16, Best order: (5, 0, 2)-(1, 1), AIC: -6.17523676082161, Final model converged
[2024-06-01T14:35:40] Estimation window: 2010-02-26 - 2012-02-17, Best order: (4, 0, 5)-(1, 1), AIC: -6.18552632043201, Final model converged
[2024-06-01T14:35:52] Estimation window: 2010-03-01 - 2012-02-21, Best order: (5, 0, 5)-(1, 1), AIC: -6.17641477995591, Final model converged
[2024-06-01T14:36:03] Estimation window: 2010-03-02 - 2012-02-22, Best order: (4, 0, 4)-(1, 1), AIC: -6.17732687258387, Final model FAILED to converge
[2024-06-01T14:36:15] Estimation window: 2010-03-03 - 2012-02-23, Best order: (5, 0, 5)-(1, 1), AIC: -6.1892883213756, Final model FAILED to converge
[2024-06-01T14:36:28] Estimation window: 2010-03-04 - 2012-02-24, Best order: (5, 0, 4)-(1, 1), AIC: -6.19745801673597, Final model converged
[2024-06-01T14:36:41] Estimation window: 2010-03-05 - 2012-02-27, Best order: (5, 0, 4)-(1, 1), AIC: -6.18723371499512, Final model converged
[2024-06-01T14:36:52] Estimation window: 2010-03-08 - 2012-02-28, Best order: (5, 0, 2)-(1, 1), AIC: -6.18885818921581, Final model converged
[2024-06-01T14:37:03] Estimation window: 2010-03-09 - 2012-02-29, Best order: (5, 0, 2)-(1, 1), AIC: -6.18567256035875, Final model converged
[2024-06-01T14:37:15] Estimation window: 2010-03-10 - 2012-03-01, Best order: (5, 0, 5)-(1, 1), AIC: -6.17472930907929, Final model converged
[2024-06-01T14:37:27] Estimation window: 2010-03-11 - 2012-03-02, Best order: (5, 0, 3)-(1, 1), AIC: -6.16350634053924, Final model converged
[2024-06-01T14:37:39] Estimation window: 2010-03-12 - 2012-03-05, Best order: (5, 0, 3)-(1, 1), AIC: -6.16274721334196, Final model converged
[2024-06-01T14:37:50] Estimation window: 2010-03-15 - 2012-03-06, Best order: (5, 0, 3)-(1, 1), AIC: -6.17324791212862, Final model converged
[2024-06-01T14:38:04] Estimation window: 2010-03-16 - 2012-03-07, Best order: (5, 0, 3)-(1, 1), AIC: -6.17261906420878, Final model converged
[2024-06-01T14:38:19] Estimation window: 2010-03-17 - 2012-03-08, Best order: (4, 0, 4)-(1, 1), AIC: -6.15660824095254, Final model converged
[2024-06-01T14:38:31] Estimation window: 2010-03-18 - 2012-03-09, Best order: (5, 0, 5)-(1, 1), AIC: -6.18032488438485, Final model converged
[2024-06-01T14:38:43] Estimation window: 2010-03-19 - 2012-03-12, Best order: (5, 0, 5)-(1, 1), AIC: -6.1771099854393, Final model converged
[2024-06-01T14:38:54] Estimation window: 2010-03-22 - 2012-03-13, Best order: (5, 0, 5)-(1, 1), AIC: -6.17878484946117, Final model converged
[2024-06-01T14:39:07] Estimation window: 2010-03-23 - 2012-03-14, Best order: (5, 0, 5)-(1, 1), AIC: -6.18417438907672, Final model converged
[2024-06-01T14:39:23] Estimation window: 2010-03-24 - 2012-03-15, Best order: (5, 0, 3)-(1, 1), AIC: -6.17123569684335, Final model converged
[2024-06-01T14:39:35] Estimation window: 2010-03-25 - 2012-03-16, Best order: (5, 0, 2)-(1, 1), AIC: -6.17053571739392, Final model converged
[2024-06-01T14:39:49] Estimation window: 2010-03-26 - 2012-03-19, Best order: (5, 0, 3)-(1, 1), AIC: -6.17060445487086, Final model converged
[2024-06-01T14:40:01] Estimation window: 2010-03-29 - 2012-03-20, Best order: (5, 0, 5)-(1, 1), AIC: -6.16470640405759, Final model converged
[2024-06-01T14:40:13] Estimation window: 2010-03-30 - 2012-03-21, Best order: (5, 0, 3)-(1, 1), AIC: -6.17435626064648, Final model converged
[2024-06-01T14:40:29] Estimation window: 2010-03-31 - 2012-03-22, Best order: (5, 0, 5)-(1, 1), AIC: -6.18125601957277, Final model converged
[2024-06-01T14:40:41] Estimation window: 2010-04-01 - 2012-03-23, Best order: (4, 0, 5)-(1, 1), AIC: -6.19658509537254, Final model FAILED to converge
[2024-06-01T14:40:54] Estimation window: 2010-04-05 - 2012-03-26, Best order: (3, 0, 5)-(1, 1), AIC: -6.17214339068879, Final model converged
[2024-06-01T14:41:06] Estimation window: 2010-04-06 - 2012-03-27, Best order: (5, 0, 3)-(1, 1), AIC: -6.17436313972924, Final model converged
[2024-06-01T14:41:19] Estimation window: 2010-04-07 - 2012-03-28, Best order: (3, 0, 5)-(1, 1), AIC: -6.175676257147, Final model converged
[2024-06-01T14:41:31] Estimation window: 2010-04-08 - 2012-03-29, Best order: (5, 0, 3)-(1, 1), AIC: -6.17591623428401, Final model converged
[2024-06-01T14:41:42] Estimation window: 2010-04-09 - 2012-03-30, Best order: (5, 0, 5)-(1, 1), AIC: -6.18196435203425, Final model converged
[2024-06-01T14:41:55] Estimation window: 2010-04-12 - 2012-04-02, Best order: (5, 0, 2)-(1, 1), AIC: -6.18278549426742, Final model converged
