[2024-06-01T17:37:37] Estimation window: 2005-12-28 - 2007-12-21, Best order: (5, 0, 5)-(1, 1), AIC: -6.88138062097188, Final model converged
[2024-06-01T17:37:52] Estimation window: 2005-12-29 - 2007-12-24, Best order: (5, 0, 5)-(1, 1), AIC: -6.89965626976596, Final model FAILED to converge
[2024-06-01T17:38:05] Estimation window: 2005-12-30 - 2007-12-26, Best order: (4, 0, 5)-(1, 1), AIC: -6.87172242098116, Final model converged
[2024-06-01T17:38:24] Estimation window: 2006-01-03 - 2007-12-27, Best order: (4, 0, 5)-(1, 1), AIC: -6.93451190693064, Final model converged
[2024-06-01T17:38:39] Estimation window: 2006-01-04 - 2007-12-28, Best order: (5, 0, 5)-(1, 1), AIC: -6.88750501657232, Final model converged
[2024-06-01T17:38:54] Estimation window: 2006-01-05 - 2007-12-31, Best order: (5, 0, 4)-(1, 1), AIC: -6.92766599473537, Final model FAILED to converge
[2024-06-01T17:39:12] Estimation window: 2006-01-06 - 2008-01-02, Best order: (5, 0, 5)-(1, 1), AIC: -6.91978693594502, Final model converged
[2024-06-01T17:39:26] Estimation window: 2006-01-09 - 2008-01-03, Best order: (2, 0, 4)-(1, 1), AIC: -6.87985499828002, Final model converged
[2024-06-01T17:39:39] Estimation window: 2006-01-10 - 2008-01-04, Best order: (4, 0, 5)-(1, 1), AIC: -6.89262356897803, Final model converged
[2024-06-01T17:39:52] Estimation window: 2006-01-11 - 2008-01-07, Best order: (2, 0, 3)-(1, 1), AIC: -6.84952915059764, Final model converged
[2024-06-01T17:40:07] Estimation window: 2006-01-12 - 2008-01-08, Best order: (5, 0, 5)-(1, 1), AIC: -6.87158220023896, Final model converged
[2024-06-01T17:40:22] Estimation window: 2006-01-13 - 2008-01-09, Best order: (2, 0, 3)-(1, 1), AIC: -6.8409386335471, Final model converged
[2024-06-01T17:40:42] Estimation window: 2006-01-17 - 2008-01-10, Best order: (5, 0, 5)-(1, 1), AIC: -6.89321113894918, Final model converged
[2024-06-01T17:40:56] Estimation window: 2006-01-18 - 2008-01-11, Best order: (5, 0, 5)-(1, 1), AIC: -6.86315165969885, Final model converged
[2024-06-01T17:41:11] Estimation window: 2006-01-19 - 2008-01-14, Best order: (5, 0, 3)-(1, 1), AIC: -6.87241735324506, Final model converged
